available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain
0,18025,0,258,2016-09-14T05:00:25,12.9,86,12.8,6,0.0
0,18629,0,258,2016-09-14T05:10:29,12.9,86,12.8,6,0.0
1,19489,0,258,2016-09-14T05:24:49,12.9,86,12.8,6,0.0
1,20093,0,258,2016-09-14T05:34:53,13.1,86,13.0,6,0.0
1,20697,0,258,2016-09-14T05:44:57,13.1,86,13.0,6,0.0
1,21301,0,258,2016-09-14T05:55:01,13.1,86,13.0,6,0.0
1,21905,0,258,2016-09-14T06:05:05,13.1,86,13.0,6,0.0
0,22811,0,258,2016-09-14T06:20:11,13.1,86,13.0,6,0.0
0,23415,0,258,2016-09-14T06:30:15,13.5,87,13.5,7,0.0
0,24021,0,258,2016-09-14T06:40:21,13.5,87,13.5,7,0.0
1,24738,0,258,2016-09-14T06:52:18,13.5,87,13.5,7,0.0
4,25385,0,258,2016-09-14T07:03:05,13.5,87,13.5,7,0.0
7,26037,0,258,2016-09-14T07:13:57,13.5,87,13.5,7,0.0
14,26692,0,258,2016-09-14T07:24:52,13.5,87,13.5,7,0.0
32,27602,0,258,2016-09-14T07:40:02,14.4,88,14.4,7,0.0
40,28205,0,258,2016-09-14T07:50:05,14.4,88,14.4,7,0.0
35,28796,0,258,2016-09-14T07:59:56,14.4,88,14.4,7,0.0
40,29402,0,258,2016-09-14T08:10:02,14.4,88,14.4,7,0.0
36,29994,0,258,2016-09-14T08:19:54,14.4,88,14.4,7,0.0
37,30621,0,258,2016-09-14T08:30:21,16.0,85,15.5,7,0.0
39,31208,0,258,2016-09-14T08:40:08,16.0,85,15.5,7,0.0
38,32120,0,258,2016-09-14T08:55:20,16.0,85,15.5,7,0.0
35,33020,0,258,2016-09-14T09:10:20,16.0,85,15.5,7,0.0
36,33617,0,258,2016-09-14T09:20:17,16.0,85,15.5,7,0.0
39,34223,0,258,2016-09-14T09:30:23,17.3,83,16.4,13,0.0
39,34922,0,258,2016-09-14T09:42:02,17.3,83,16.4,13,0.0
40,35550,0,258,2016-09-14T09:52:30,17.3,83,16.4,13,0.0
40,36293,0,258,2016-09-14T10:04:53,17.3,83,16.4,13,0.0
40,36898,0,258,2016-09-14T10:14:58,17.3,83,16.4,13,0.0
38,37792,0,258,2016-09-14T10:29:52,17.3,83,16.4,13,0.0
39,38377,0,258,2016-09-14T10:39:37,17.6,81,16.3,15,0.0
39,38986,0,258,2016-09-14T10:49:46,17.6,81,16.3,15,0.0
39,39598,0,258,2016-09-14T10:59:58,17.6,81,16.3,15,0.0
40,40326,0,258,2016-09-14T11:12:06,17.6,81,16.3,15,0.0
38,40832,0,258,2016-09-14T11:20:32,17.6,81,16.3,15,0.0
39,41251,0,258,2016-09-14T11:27:31,17.6,81,16.3,15,0.0
