available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
9,21,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
9,21,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16,0.0,0.0,30000,high,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
8,22,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16,0.0,0.0,30000,moderate,high
