available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability
1,35,48530,0,276,2019-10-03T13:28:50,12.2,87,12.3,16,0.4,0.0,20000,very low,high
0,36,49178,0,276,2019-10-03T13:39:38,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,49178,0,276,2019-10-03T13:39:38,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,49178,0,276,2019-10-03T13:39:38,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,49787,0,276,2019-10-03T13:49:47,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,49787,0,276,2019-10-03T13:49:47,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,50395,0,276,2019-10-03T13:59:55,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,50395,0,276,2019-10-03T13:59:55,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,51005,0,276,2019-10-03T14:10:05,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,51005,0,276,2019-10-03T14:10:05,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,51614,0,276,2019-10-03T14:20:14,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,36,51614,0,276,2019-10-03T14:20:14,12.0,90,12.7,21,0.0,0.0,14000,empty,high
1,35,52213,0,276,2019-10-03T14:30:13,11.9,95,13.2,20,0.0,0.0,6000,very low,high
1,35,52213,0,276,2019-10-03T14:30:13,11.9,95,13.2,20,0.0,0.0,6000,very low,high
1,35,52822,0,276,2019-10-03T14:40:22,11.9,95,13.2,20,0.0,0.0,6000,very low,high
1,35,52822,0,276,2019-10-03T14:40:22,11.9,95,13.2,20,0.0,0.0,6000,very low,high
1,35,53430,0,276,2019-10-03T14:50:30,11.9,95,13.2,20,0.0,0.0,6000,very low,high
1,35,53430,0,276,2019-10-03T14:50:30,11.9,95,13.2,20,0.0,0.0,6000,very low,high
1,35,54040,0,276,2019-10-03T15:00:40,11.9,95,13.2,20,0.0,0.0,6000,very low,high
1,35,54040,0,276,2019-10-03T15:00:40,11.9,95,13.2,20,0.0,0.0,6000,very low,high
1,35,54648,0,276,2019-10-03T15:10:48,11.9,95,13.2,20,0.0,0.0,6000,very low,high
0,36,54803,0,276,2019-10-03T15:13:23,11.9,95,13.2,20,0.0,0.0,6000,empty,high
0,36,54803,0,276,2019-10-03T15:13:23,11.9,95,13.2,20,0.0,0.0,6000,empty,high
0,36,55411,0,276,2019-10-03T15:23:31,11.9,95,13.2,20,0.0,0.0,6000,empty,high
