available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability,unix_timestamp
1,39,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21.0,0.0,0.0,14000,very low,high,436140
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19.0,0.0,0.0,6000,low,high,436143
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11.0,0.8,0.0,15000,very low,high,436146
1,39,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12.0,0.0,0.0,15000,very low,high,436149
1,39,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13.0,0.5,0.0,5000,very low,high,436157
0,40,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10.0,1.9,0.0,4000,empty,high,436160
0,40,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14.0,0.0,0.7,30000,empty,high,436162
3,37,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12.0,0.0,0.1,30000,low,high,436165
2,38,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8.0,0.0,0.0,30000,low,high,436168
20,20,72800,0,277,2019-10-04T20:13:20,9.6,99,11.8,6.0,0.0,0.0,30000,high,high,436171
21,19,82800,0,277,2019-10-04T23:00:00,11.6,98,13.3,2.0,0.0,0.0,30000,high,high,436174
15,25,26400,10,278,2019-10-05T07:20:00,11.9,94,13.1,5.0,0.0,0.0,20000,high,high,436182
13,27,36400,10,278,2019-10-05T10:06:40,14.0,89,14.2,8.0,0.0,0.0,40000,high,high,436185
13,27,46400,10,278,2019-10-05T12:53:20,14.6,96,15.9,8.0,0.4,0.0,9000,high,high,436187
17,23,56400,10,278,2019-10-05T15:40:00,13.5,94,14.6,11.0,3.7,0.0,7000,high,high,436190
18,22,66400,10,278,2019-10-05T18:26:40,13.4,98,15.0,10.0,0.4,0.0,9000,high,high,436193
16,24,76400,10,278,2019-10-05T21:13:20,13.5,94,14.6,11.0,0.2,0.0,25000,high,high,436196
17,23,0,10,279,2019-10-06T00:00:00,12.1,93,13.1,13.0,0.0,0.0,20000,high,high,436199
15,25,20000,10,279,2019-10-06T05:33:20,9.4,96,11.3,14.0,0.0,0.0,40000,high,high,436204
9,31,30000,10,279,2019-10-06T08:20:00,9.6,92,11.0,13.0,0.0,1.0,40000,moderate,high,436207
0,40,40000,10,279,2019-10-06T11:06:40,13.4,79,12.2,17.0,0.0,1.0,40000,empty,high,436210
0,40,50000,10,279,2019-10-06T13:53:20,15.0,68,11.6,16.0,0.0,1.0,40000,empty,high,436212
0,40,60000,10,279,2019-10-06T16:40:00,12.9,71,10.6,8.0,0.0,0.0,40000,empty,high,436215
5,35,70000,10,279,2019-10-06T19:26:40,10.7,82,10.6,3.0,0.0,0.0,40000,moderate,high,436218
5,35,80000,10,279,2019-10-06T22:13:20,11.2,80,10.7,5.0,0.0,0.0,35000,moderate,high,436221
11,29,23600,0,280,2019-10-07T06:33:20,13.7,85,13.4,15.0,0.0,0.0,20000,high,high,436229
0,40,33600,0,280,2019-10-07T09:20:00,14.7,87,14.5,8.0,0.0,0.0,20000,empty,high,436232
6,34,43600,0,280,2019-10-07T12:06:40,14.9,77,13.1,10.0,0.0,0.0,20000,moderate,high,436235
4,36,53600,0,280,2019-10-07T14:53:20,15.8,68,12.2,10.0,0.0,0.6,20000,low,high,436237
6,34,63600,0,280,2019-10-07T17:40:00,12.8,73,10.9,6.0,0.0,0.1,20000,moderate,high,436240
6,34,73600,0,280,2019-10-07T20:26:40,11.8,84,11.6,7.0,0.0,0.0,20000,moderate,high,436243
17,23,83600,0,280,2019-10-07T23:13:20,11.4,80,10.8,10.0,0.0,0.0,30000,high,high,436246
0,40,27200,0,281,2019-10-08T07:33:20,10.7,79,10.1,10.0,0.0,0.9,30000,empty,high,436254
0,40,37200,0,281,2019-10-08T10:20:00,12.3,71,10.1,12.0,0.0,1.0,30000,empty,high,436257
8,32,47200,0,281,2019-10-08T13:06:40,13.4,64,9.9,14.0,0.0,0.5,20000,moderate,high,436260
5,35,57200,0,281,2019-10-08T15:53:20,12.5,71,10.3,15.0,0.0,0.9,40000,moderate,high,436262
7,33,67200,0,281,2019-10-08T18:40:00,10.7,80,10.3,10.0,0.0,0.0,30000,moderate,high,436265
8,32,77200,0,281,2019-10-08T21:26:40,10.0,83,10.2,10.0,0.0,0.0,30000,moderate,high,436268
8,32,800,0,282,2019-10-09T00:13:20,9.9,83,10.1,11.0,0.0,0.0,30000,moderate,high,436271
5,35,20800,0,282,2019-10-09T05:46:40,8.3,86,9.4,9.0,0.0,0.0,35000,moderate,high,436276
0,40,30800,0,282,2019-10-09T08:33:20,9.7,83,10.0,12.0,0.0,1.0,30000,empty,high,436279
0,40,40800,0,282,2019-10-09T11:20:00,11.6,70,9.6,10.0,0.0,0.7,30000,empty,high,436282
0,40,50800,0,282,2019-10-09T14:06:40,12.5,65,9.5,14.0,0.0,1.0,40000,empty,high,436285
2,38,60800,0,282,2019-10-09T16:53:20,10.1,83,10.3,10.0,0.0,0.8,30000,low,high,436287
3,37,70800,0,282,2019-10-09T19:40:00,9.3,87,10.1,10.0,0.0,0.0,30000,low,high,436290
3,37,80800,0,282,2019-10-09T22:26:40,9.2,88,10.2,10.0,0.0,0.0,30000,low,high,436293
0,40,24400,0,283,2019-10-10T06:46:40,9.8,87,10.5,8.0,0.0,0.0,20000,empty,high,436301
