number,name,address,bike_stands,available_bike_stands,last_update
46,STRAND STREET GREAT,Strand Street Great,35,21,1474376397000
46,STRAND STREET GREAT,Strand Street Great,35,17,1474376711000
46,STRAND STREET GREAT,Strand Street Great,35,17,1474376711000
46,STRAND STREET GREAT,Strand Street Great,35,16,1474377058000
46,STRAND STREET GREAT,Strand Street Great,35,15,1474377614000
46,STRAND STREET GREAT,Strand Street Great,35,15,1474377614000
46,STRAND STREET GREAT,Strand Street Great,35,14,1474378190000
46,STRAND STREET GREAT,Strand Street Great,35,14,1474378190000
46,STRAND STREET GREAT,Strand Street Great,35,14,1474378794000
46,STRAND STREET GREAT,Strand Street Great,35,15,1474379100000
46,STRAND STREET GREAT,Strand Street Great,35,14,1474379318000
46,STRAND STREET GREAT,Strand Street Great,35,14,1474379318000
46,STRAND STREET GREAT,Strand Street Great,35,14,1474379922000
46,STRAND STREET GREAT,Strand Street Great,35,16,1474380310000
46,STRAND STREET GREAT,Strand Street Great,35,17,1474380354000
46,STRAND STREET GREAT,Strand Street Great,35,16,1474380624000
46,STRAND STREET GREAT,Strand Street Great,35,16,1474380624000
46,STRAND STREET GREAT,Strand Street Great,35,18,1474381448000
46,STRAND STREET GREAT,Strand Street Great,35,18,1474381448000
46,STRAND STREET GREAT,Strand Street Great,35,20,1474382112000
46,STRAND STREET GREAT,Strand Street Great,35,21,1474382151000
46,STRAND STREET GREAT,Strand Street Great,35,21,1474382151000
46,STRAND STREET GREAT,Strand Street Great,35,21,1474382998000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473980296000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473980296000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473980901000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473980901000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473981505000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473981505000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473982109000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473982364000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473982364000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473982967000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473982967000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473983571000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473983571000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473984175000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473984175000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473984779000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473984779000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473985383000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473985383000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473985986000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473985986000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473986590000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473986590000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473987193000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473987193000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473987797000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473987797000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473988400000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473988400000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473989004000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473989004000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473989607000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473989607000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473990212000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473990212000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473990816000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473990816000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473991420000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473991420000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473992117000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473992373000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473992373000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473992977000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473992977000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473993582000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473993582000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473994185000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473994185000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473994789000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473994789000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473995393000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473995393000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473995997000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473995997000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473996600000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473996600000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473997203000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473997203000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473997807000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473997807000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473998411000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473998431000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473998431000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473999035000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473999035000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473999638000
46,STRAND STREET GREAT,Strand Street Great,35,35,1473999638000
46,STRAND STREET GREAT,Strand Street Great,35,35,1474000242000
46,STRAND STREET GREAT,Strand Street Great,35,35,1474000242000
46,STRAND STREET GREAT,Strand Street Great,35,35,1474000845000
