available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability
8,32,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
10,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,high,high
10,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,high,high
10,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,high,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
8,32,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
10,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,high,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
8,32,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
8,32,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
8,32,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
8,32,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
9,31,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
9,31,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
9,31,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
8,32,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
8,32,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
7,33,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
7,33,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
6,34,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
5,35,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
6,34,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
5,35,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
7,33,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
