number,name,address,bike_stands,available_bike_stands,last_update
57,GRATTAN STREET,Grattan Street,23,5,1474376099000
57,GRATTAN STREET,Grattan Street,23,3,1474376778000
57,GRATTAN STREET,Grattan Street,23,3,1474376939000
57,GRATTAN STREET,Grattan Street,23,2,1474377181000
57,GRATTAN STREET,Grattan Street,23,1,1474377629000
57,GRATTAN STREET,Grattan Street,23,1,1474377629000
57,GRATTAN STREET,Grattan Street,23,1,1474378234000
57,GRATTAN STREET,Grattan Street,23,1,1474378234000
57,GRATTAN STREET,Grattan Street,23,0,1474378665000
57,GRATTAN STREET,Grattan Street,23,0,1474378665000
57,GRATTAN STREET,Grattan Street,23,0,1474379270000
57,GRATTAN STREET,Grattan Street,23,0,1474379270000
57,GRATTAN STREET,Grattan Street,23,1,1474380012000
57,GRATTAN STREET,Grattan Street,23,1,1474380012000
57,GRATTAN STREET,Grattan Street,23,2,1474380447000
57,GRATTAN STREET,Grattan Street,23,2,1474380447000
57,GRATTAN STREET,Grattan Street,23,2,1474381051000
57,GRATTAN STREET,Grattan Street,23,3,1474381391000
57,GRATTAN STREET,Grattan Street,23,3,1474381391000
57,GRATTAN STREET,Grattan Street,23,4,1474382156000
57,GRATTAN STREET,Grattan Street,23,4,1474382156000
57,GRATTAN STREET,Grattan Street,23,4,1474382761000
57,GRATTAN STREET,Grattan Street,23,5,1474382972000
57,GRATTAN STREET,Grattan Street,23,22,1473979926000
57,GRATTAN STREET,Grattan Street,23,23,1473980549000
57,GRATTAN STREET,Grattan Street,23,23,1473980549000
57,GRATTAN STREET,Grattan Street,23,23,1473981153000
57,GRATTAN STREET,Grattan Street,23,23,1473981153000
57,GRATTAN STREET,Grattan Street,23,23,1473981758000
57,GRATTAN STREET,Grattan Street,23,23,1473981758000
57,GRATTAN STREET,Grattan Street,23,23,1473982372000
57,GRATTAN STREET,Grattan Street,23,23,1473982372000
57,GRATTAN STREET,Grattan Street,23,23,1473982976000
57,GRATTAN STREET,Grattan Street,23,23,1473982976000
57,GRATTAN STREET,Grattan Street,23,23,1473983581000
57,GRATTAN STREET,Grattan Street,23,23,1473983581000
57,GRATTAN STREET,Grattan Street,23,23,1473984185000
57,GRATTAN STREET,Grattan Street,23,23,1473984185000
57,GRATTAN STREET,Grattan Street,23,23,1473984789000
57,GRATTAN STREET,Grattan Street,23,23,1473984789000
57,GRATTAN STREET,Grattan Street,23,23,1473985393000
57,GRATTAN STREET,Grattan Street,23,23,1473985393000
57,GRATTAN STREET,Grattan Street,23,23,1473985998000
57,GRATTAN STREET,Grattan Street,23,23,1473985998000
57,GRATTAN STREET,Grattan Street,23,23,1473986602000
57,GRATTAN STREET,Grattan Street,23,23,1473986602000
57,GRATTAN STREET,Grattan Street,23,23,1473987205000
57,GRATTAN STREET,Grattan Street,23,23,1473987205000
57,GRATTAN STREET,Grattan Street,23,23,1473987809000
57,GRATTAN STREET,Grattan Street,23,23,1473987809000
57,GRATTAN STREET,Grattan Street,23,23,1473988413000
57,GRATTAN STREET,Grattan Street,23,23,1473988413000
57,GRATTAN STREET,Grattan Street,23,23,1473989018000
57,GRATTAN STREET,Grattan Street,23,23,1473989018000
57,GRATTAN STREET,Grattan Street,23,23,1473989623000
57,GRATTAN STREET,Grattan Street,23,23,1473989623000
57,GRATTAN STREET,Grattan Street,23,23,1473990227000
57,GRATTAN STREET,Grattan Street,23,23,1473990227000
57,GRATTAN STREET,Grattan Street,23,23,1473990831000
57,GRATTAN STREET,Grattan Street,23,23,1473990831000
57,GRATTAN STREET,Grattan Street,23,23,1473991436000
57,GRATTAN STREET,Grattan Street,23,23,1473991436000
57,GRATTAN STREET,Grattan Street,23,23,1473992040000
57,GRATTAN STREET,Grattan Street,23,23,1473992040000
57,GRATTAN STREET,Grattan Street,23,23,1473992715000
57,GRATTAN STREET,Grattan Street,23,23,1473993047000
57,GRATTAN STREET,Grattan Street,23,23,1473993047000
57,GRATTAN STREET,Grattan Street,23,23,1473993651000
57,GRATTAN STREET,Grattan Street,23,23,1473993651000
57,GRATTAN STREET,Grattan Street,23,23,1473994255000
57,GRATTAN STREET,Grattan Street,23,23,1473994255000
57,GRATTAN STREET,Grattan Street,23,23,1473994859000
57,GRATTAN STREET,Grattan Street,23,23,1473994859000
57,GRATTAN STREET,Grattan Street,23,23,1473995464000
57,GRATTAN STREET,Grattan Street,23,23,1473995464000
57,GRATTAN STREET,Grattan Street,23,23,1473996069000
57,GRATTAN STREET,Grattan Street,23,23,1473996069000
57,GRATTAN STREET,Grattan Street,23,23,1473996673000
57,GRATTAN STREET,Grattan Street,23,23,1473996673000
57,GRATTAN STREET,Grattan Street,23,23,1473997277000
57,GRATTAN STREET,Grattan Street,23,23,1473997277000
57,GRATTAN STREET,Grattan Street,23,23,1473997881000
57,GRATTAN STREET,Grattan Street,23,23,1473997881000
57,GRATTAN STREET,Grattan Street,23,23,1473998438000
57,GRATTAN STREET,Grattan Street,23,23,1473998438000
57,GRATTAN STREET,Grattan Street,23,23,1473999042000
57,GRATTAN STREET,Grattan Street,23,23,1473999042000
57,GRATTAN STREET,Grattan Street,23,23,1473999647000
57,GRATTAN STREET,Grattan Street,23,23,1473999647000
57,GRATTAN STREET,Grattan Street,23,23,1474000251000
57,GRATTAN STREET,Grattan Street,23,23,1474000251000
57,GRATTAN STREET,Grattan Street,23,23,1474000856000
57,GRATTAN STREET,Grattan Street,23,23,1474000856000
57,GRATTAN STREET,Grattan Street,23,23,1474001460000
57,GRATTAN STREET,Grattan Street,23,23,1474001460000
57,GRATTAN STREET,Grattan Street,23,23,1474002066000
57,GRATTAN STREET,Grattan Street,23,23,1474002066000
57,GRATTAN STREET,Grattan Street,23,23,1474002670000
57,GRATTAN STREET,Grattan Street,23,23,1474002670000
57,GRATTAN STREET,Grattan Street,23,23,1474003275000
57,GRATTAN STREET,Grattan Street,23,23,1474003275000
57,GRATTAN STREET,Grattan Street,23,23,1474003879000
57,GRATTAN STREET,Grattan Street,23,23,1474003879000
57,GRATTAN STREET,Grattan Street,23,23,1474003879000
57,GRATTAN STREET,Grattan Street,23,23,1474004484000
57,GRATTAN STREET,Grattan Street,23,23,1474004484000
57,GRATTAN STREET,Grattan Street,23,23,1474005088000
57,GRATTAN STREET,Grattan Street,23,23,1474005088000
57,GRATTAN STREET,Grattan Street,23,23,1474005693000
57,GRATTAN STREET,Grattan Street,23,23,1474005693000
57,GRATTAN STREET,Grattan Street,23,23,1474006297000
57,GRATTAN STREET,Grattan Street,23,23,1474006874000
57,GRATTAN STREET,Grattan Street,23,23,1474006874000
57,GRATTAN STREET,Grattan Street,23,22,1474007326000
57,GRATTAN STREET,Grattan Street,23,22,1474007326000
57,GRATTAN STREET,Grattan Street,23,20,1474008066000
57,GRATTAN STREET,Grattan Street,23,20,1474008066000
57,GRATTAN STREET,Grattan Street,23,18,1474008667000
57,GRATTAN STREET,Grattan Street,23,17,1474008789000
57,GRATTAN STREET,Grattan Street,23,15,1474009103000
57,GRATTAN STREET,Grattan Street,23,15,1474009632000
57,GRATTAN STREET,Grattan Street,23,14,1474009776000
57,GRATTAN STREET,Grattan Street,23,12,1474010163000
57,GRATTAN STREET,Grattan Street,23,9,1474010502000
57,GRATTAN STREET,Grattan Street,23,6,1474010788000
57,GRATTAN STREET,Grattan Street,23,6,1474010996000
57,GRATTAN STREET,Grattan Street,23,5,1474011432000
57,GRATTAN STREET,Grattan Street,23,5,1474011651000
57,GRATTAN STREET,Grattan Street,23,4,1474011776000
57,GRATTAN STREET,Grattan Street,23,0,1474012290000
57,GRATTAN STREET,Grattan Street,23,0,1474012290000
57,GRATTAN STREET,Grattan Street,23,0,1474012895000
57,GRATTAN STREET,Grattan Street,23,0,1474013076000
57,GRATTAN STREET,Grattan Street,23,1,1474013542000
57,GRATTAN STREET,Grattan Street,23,0,1474013544000
57,GRATTAN STREET,Grattan Street,23,0,1474013544000
57,GRATTAN STREET,Grattan Street,23,0,1474014149000
57,GRATTAN STREET,Grattan Street,23,0,1474014149000
57,GRATTAN STREET,Grattan Street,23,1,1474014915000
57,GRATTAN STREET,Grattan Street,23,0,1474015298000
57,GRATTAN STREET,Grattan Street,23,1,1474015494000
57,GRATTAN STREET,Grattan Street,23,0,1474015705000
57,GRATTAN STREET,Grattan Street,23,0,1474015705000
57,GRATTAN STREET,Grattan Street,23,2,1474016527000
57,GRATTAN STREET,Grattan Street,23,1,1474016789000
57,GRATTAN STREET,Grattan Street,23,0,1474017091000
57,GRATTAN STREET,Grattan Street,23,0,1474017091000
57,GRATTAN STREET,Grattan Street,23,0,1474017709000
57,GRATTAN STREET,Grattan Street,23,0,1474017709000
57,GRATTAN STREET,Grattan Street,23,0,1474018313000
57,GRATTAN STREET,Grattan Street,23,0,1474018313000
57,GRATTAN STREET,Grattan Street,23,0,1474018917000
57,GRATTAN STREET,Grattan Street,23,0,1474018917000
57,GRATTAN STREET,Grattan Street,23,0,1474019521000
57,GRATTAN STREET,Grattan Street,23,0,1474019521000
57,GRATTAN STREET,Grattan Street,23,0,1474020125000
57,GRATTAN STREET,Grattan Street,23,1,1474020226000
57,GRATTAN STREET,Grattan Street,23,1,1474020226000
57,GRATTAN STREET,Grattan Street,23,1,1474020830000
57,GRATTAN STREET,Grattan Street,23,0,1474021109000
57,GRATTAN STREET,Grattan Street,23,1,1474021455000
57,GRATTAN STREET,Grattan Street,23,1,1474021455000
57,GRATTAN STREET,Grattan Street,23,1,1474022060000
57,GRATTAN STREET,Grattan Street,23,0,1474022412000
57,GRATTAN STREET,Grattan Street,23,1,1474022791000
57,GRATTAN STREET,Grattan Street,23,0,1474023078000
57,GRATTAN STREET,Grattan Street,23,0,1474023078000
57,GRATTAN STREET,Grattan Street,23,0,1474023682000
57,GRATTAN STREET,Grattan Street,23,0,1474023682000
57,GRATTAN STREET,Grattan Street,23,0,1474024327000
57,GRATTAN STREET,Grattan Street,23,1,1474024365000
57,GRATTAN STREET,Grattan Street,23,1,1474024365000
57,GRATTAN STREET,Grattan Street,23,0,1474025160000
57,GRATTAN STREET,Grattan Street,23,0,1474025160000
57,GRATTAN STREET,Grattan Street,23,0,1474025764000
57,GRATTAN STREET,Grattan Street,23,1,1474026090000
57,GRATTAN STREET,Grattan Street,23,2,1474026236000
57,GRATTAN STREET,Grattan Street,23,3,1474026715000
57,GRATTAN STREET,Grattan Street,23,3,1474026914000
57,GRATTAN STREET,Grattan Street,23,2,1474027197000
57,GRATTAN STREET,Grattan Street,23,3,1474027516000
57,GRATTAN STREET,Grattan Street,23,2,1474027740000
57,GRATTAN STREET,Grattan Street,23,2,1474027740000
57,GRATTAN STREET,Grattan Street,23,3,1474028499000
57,GRATTAN STREET,Grattan Street,23,4,1474028840000
57,GRATTAN STREET,Grattan Street,23,6,1474028990000
57,GRATTAN STREET,Grattan Street,23,3,1474029402000
57,GRATTAN STREET,Grattan Street,23,6,1474029662000
57,GRATTAN STREET,Grattan Street,23,6,1474030035000
57,GRATTAN STREET,Grattan Street,23,9,1474030287000
57,GRATTAN STREET,Grattan Street,23,9,1474030287000
57,GRATTAN STREET,Grattan Street,23,9,1474030891000
57,GRATTAN STREET,Grattan Street,23,9,1474030891000
57,GRATTAN STREET,Grattan Street,23,7,1474031380000
57,GRATTAN STREET,Grattan Street,23,6,1474031789000
57,GRATTAN STREET,Grattan Street,23,5,1474031900000
57,GRATTAN STREET,Grattan Street,23,5,1474031900000
57,GRATTAN STREET,Grattan Street,23,5,1474032504000
57,GRATTAN STREET,Grattan Street,23,5,1474032504000
57,GRATTAN STREET,Grattan Street,23,5,1474033108000
57,GRATTAN STREET,Grattan Street,23,5,1474033108000
57,GRATTAN STREET,Grattan Street,23,5,1474033713000
57,GRATTAN STREET,Grattan Street,23,5,1474033713000
57,GRATTAN STREET,Grattan Street,23,5,1474034317000
57,GRATTAN STREET,Grattan Street,23,5,1474034317000
57,GRATTAN STREET,Grattan Street,23,6,1474035105000
57,GRATTAN STREET,Grattan Street,23,6,1474035105000
57,GRATTAN STREET,Grattan Street,23,5,1474035580000
57,GRATTAN STREET,Grattan Street,23,7,1474035958000
57,GRATTAN STREET,Grattan Street,23,7,1474035958000
57,GRATTAN STREET,Grattan Street,23,8,1474036423000
57,GRATTAN STREET,Grattan Street,23,8,1474036423000
57,GRATTAN STREET,Grattan Street,23,8,1474037028000
57,GRATTAN STREET,Grattan Street,23,8,1474037028000
57,GRATTAN STREET,Grattan Street,23,7,1474037842000
57,GRATTAN STREET,Grattan Street,23,8,1474038121000
57,GRATTAN STREET,Grattan Street,23,8,1474038121000
57,GRATTAN STREET,Grattan Street,23,8,1474038725000
57,GRATTAN STREET,Grattan Street,23,8,1474038921000
57,GRATTAN STREET,Grattan Street,23,8,1474038921000
57,GRATTAN STREET,Grattan Street,23,7,1474039642000
57,GRATTAN STREET,Grattan Street,23,6,1474039858000
57,GRATTAN STREET,Grattan Street,23,6,1474040241000
57,GRATTAN STREET,Grattan Street,23,7,1474040311000
57,GRATTAN STREET,Grattan Street,23,10,1474040760000
57,GRATTAN STREET,Grattan Street,23,11,1474041119000
57,GRATTAN STREET,Grattan Street,23,13,1474041332000
57,GRATTAN STREET,Grattan Street,23,13,1474041332000
57,GRATTAN STREET,Grattan Street,23,13,1474042035000
57,GRATTAN STREET,Grattan Street,23,18,1474042328000
57,GRATTAN STREET,Grattan Street,23,23,1474042556000
57,GRATTAN STREET,Grattan Street,23,23,1474042556000
57,GRATTAN STREET,Grattan Street,23,23,1474043160000
57,GRATTAN STREET,Grattan Street,23,23,1474043160000
57,GRATTAN STREET,Grattan Street,23,23,1474043765000
57,GRATTAN STREET,Grattan Street,23,23,1474044129000
57,GRATTAN STREET,Grattan Street,23,23,1474044129000
57,GRATTAN STREET,Grattan Street,23,21,1474044456000
57,GRATTAN STREET,Grattan Street,23,21,1474044456000
57,GRATTAN STREET,Grattan Street,23,19,1474045239000
57,GRATTAN STREET,Grattan Street,23,20,1474045386000
57,GRATTAN STREET,Grattan Street,23,21,1474045930000
57,GRATTAN STREET,Grattan Street,23,22,1474046036000
57,GRATTAN STREET,Grattan Street,23,23,1474046293000
57,GRATTAN STREET,Grattan Street,23,23,1474046293000
57,GRATTAN STREET,Grattan Street,23,23,1474046897000
57,GRATTAN STREET,Grattan Street,23,23,1474046897000
57,GRATTAN STREET,Grattan Street,23,23,1474047502000
57,GRATTAN STREET,Grattan Street,23,23,1474047502000
57,GRATTAN STREET,Grattan Street,23,23,1474048106000
57,GRATTAN STREET,Grattan Street,23,23,1474048106000
57,GRATTAN STREET,Grattan Street,23,23,1474048711000
57,GRATTAN STREET,Grattan Street,23,23,1474048711000
57,GRATTAN STREET,Grattan Street,23,23,1474049315000
57,GRATTAN STREET,Grattan Street,23,22,1474049771000
57,GRATTAN STREET,Grattan Street,23,22,1474049771000
57,GRATTAN STREET,Grattan Street,23,22,1474050376000
57,GRATTAN STREET,Grattan Street,23,22,1474050376000
57,GRATTAN STREET,Grattan Street,23,22,1474050979000
57,GRATTAN STREET,Grattan Street,23,23,1474051333000
57,GRATTAN STREET,Grattan Street,23,23,1474051333000
57,GRATTAN STREET,Grattan Street,23,23,1474051937000
57,GRATTAN STREET,Grattan Street,23,23,1474052165000
57,GRATTAN STREET,Grattan Street,23,23,1474052165000
57,GRATTAN STREET,Grattan Street,23,23,1474052769000
57,GRATTAN STREET,Grattan Street,23,23,1474052769000
57,GRATTAN STREET,Grattan Street,23,23,1474053373000
57,GRATTAN STREET,Grattan Street,23,22,1474053678000
57,GRATTAN STREET,Grattan Street,23,21,1474053907000
57,GRATTAN STREET,Grattan Street,23,19,1474054081000
57,GRATTAN STREET,Grattan Street,23,19,1474054081000
57,GRATTAN STREET,Grattan Street,23,20,1474054672000
57,GRATTAN STREET,Grattan Street,23,19,1474055190000
57,GRATTAN STREET,Grattan Street,23,21,1474055346000
