number,name,address,bike_stands,available_bike_stands,last_update
70,BARROW STREET,Barrow Street,40,13,1474376481000
70,BARROW STREET,Barrow Street,40,15,1474376755000
70,BARROW STREET,Barrow Street,40,16,1474376818000
70,BARROW STREET,Barrow Street,40,17,1474377327000
70,BARROW STREET,Barrow Street,40,17,1474377661000
70,BARROW STREET,Barrow Street,40,17,1474377787000
70,BARROW STREET,Barrow Street,40,16,1474378059000
70,BARROW STREET,Barrow Street,40,17,1474378576000
70,BARROW STREET,Barrow Street,40,17,1474378576000
70,BARROW STREET,Barrow Street,40,15,1474379126000
70,BARROW STREET,Barrow Street,40,12,1474379471000
70,BARROW STREET,Barrow Street,40,11,1474379591000
70,BARROW STREET,Barrow Street,40,10,1474379888000
70,BARROW STREET,Barrow Street,40,11,1474380378000
70,BARROW STREET,Barrow Street,40,15,1474380577000
70,BARROW STREET,Barrow Street,40,14,1474380931000
70,BARROW STREET,Barrow Street,40,13,1474381151000
70,BARROW STREET,Barrow Street,40,10,1474381540000
70,BARROW STREET,Barrow Street,40,8,1474381707000
70,BARROW STREET,Barrow Street,40,8,1474381707000
70,BARROW STREET,Barrow Street,40,12,1474382416000
70,BARROW STREET,Barrow Street,40,11,1474382773000
70,BARROW STREET,Barrow Street,40,11,1474383067000
70,BARROW STREET,Barrow Street,40,32,1473980460000
70,BARROW STREET,Barrow Street,40,31,1473980774000
70,BARROW STREET,Barrow Street,40,31,1473980774000
70,BARROW STREET,Barrow Street,40,30,1473981149000
70,BARROW STREET,Barrow Street,40,30,1473981149000
70,BARROW STREET,Barrow Street,40,30,1473981754000
70,BARROW STREET,Barrow Street,40,30,1473981754000
70,BARROW STREET,Barrow Street,40,30,1473982374000
70,BARROW STREET,Barrow Street,40,30,1473982374000
70,BARROW STREET,Barrow Street,40,30,1473982978000
70,BARROW STREET,Barrow Street,40,30,1473982978000
70,BARROW STREET,Barrow Street,40,30,1473983582000
70,BARROW STREET,Barrow Street,40,30,1473983582000
70,BARROW STREET,Barrow Street,40,30,1473984187000
70,BARROW STREET,Barrow Street,40,30,1473984187000
70,BARROW STREET,Barrow Street,40,30,1473984791000
70,BARROW STREET,Barrow Street,40,30,1473984791000
70,BARROW STREET,Barrow Street,40,30,1473985396000
70,BARROW STREET,Barrow Street,40,30,1473985396000
70,BARROW STREET,Barrow Street,40,30,1473986000000
70,BARROW STREET,Barrow Street,40,30,1473986000000
70,BARROW STREET,Barrow Street,40,30,1473986603000
70,BARROW STREET,Barrow Street,40,30,1473986603000
70,BARROW STREET,Barrow Street,40,30,1473987207000
70,BARROW STREET,Barrow Street,40,30,1473987207000
70,BARROW STREET,Barrow Street,40,30,1473987811000
