number,name,address,bike_stands,available_bike_stands,last_update
90,BENSON STREET,Benson Street,40,17,1474376229000
90,BENSON STREET,Benson Street,40,16,1474376668000
90,BENSON STREET,Benson Street,40,16,1474376668000
90,BENSON STREET,Benson Street,40,16,1474377272000
90,BENSON STREET,Benson Street,40,17,1474377516000
90,BENSON STREET,Benson Street,40,16,1474377731000
90,BENSON STREET,Benson Street,40,16,1474377731000
90,BENSON STREET,Benson Street,40,16,1474378335000
90,BENSON STREET,Benson Street,40,16,1474378335000
90,BENSON STREET,Benson Street,40,17,1474378944000
90,BENSON STREET,Benson Street,40,19,1474379482000
90,BENSON STREET,Benson Street,40,18,1474379486000
90,BENSON STREET,Benson Street,40,18,1474379486000
90,BENSON STREET,Benson Street,40,18,1474380090000
90,BENSON STREET,Benson Street,40,19,1474380647000
90,BENSON STREET,Benson Street,40,19,1474380647000
90,BENSON STREET,Benson Street,40,19,1474381282000
90,BENSON STREET,Benson Street,40,20,1474381289000
90,BENSON STREET,Benson Street,40,20,1474381289000
90,BENSON STREET,Benson Street,40,20,1474381893000
90,BENSON STREET,Benson Street,40,20,1474381893000
90,BENSON STREET,Benson Street,40,20,1474382497000
90,BENSON STREET,Benson Street,40,20,1474382497000
90,BENSON STREET,Benson Street,40,37,1473980105000
90,BENSON STREET,Benson Street,40,37,1473980709000
90,BENSON STREET,Benson Street,40,37,1473980709000
90,BENSON STREET,Benson Street,40,37,1473981312000
90,BENSON STREET,Benson Street,40,37,1473981312000
90,BENSON STREET,Benson Street,40,37,1473981916000
90,BENSON STREET,Benson Street,40,37,1473981916000
90,BENSON STREET,Benson Street,40,37,1473982357000
90,BENSON STREET,Benson Street,40,37,1473982357000
90,BENSON STREET,Benson Street,40,37,1473982961000
90,BENSON STREET,Benson Street,40,37,1473982961000
90,BENSON STREET,Benson Street,40,37,1473983565000
90,BENSON STREET,Benson Street,40,37,1473983565000
90,BENSON STREET,Benson Street,40,37,1473984169000
90,BENSON STREET,Benson Street,40,37,1473984169000
90,BENSON STREET,Benson Street,40,37,1473984774000
90,BENSON STREET,Benson Street,40,37,1473984774000
90,BENSON STREET,Benson Street,40,37,1473985378000
90,BENSON STREET,Benson Street,40,37,1473985378000
90,BENSON STREET,Benson Street,40,37,1473985982000
90,BENSON STREET,Benson Street,40,37,1473985982000
90,BENSON STREET,Benson Street,40,37,1473986586000
90,BENSON STREET,Benson Street,40,37,1473986586000
90,BENSON STREET,Benson Street,40,37,1473987190000
90,BENSON STREET,Benson Street,40,37,1473987190000
90,BENSON STREET,Benson Street,40,37,1473987795000
90,BENSON STREET,Benson Street,40,37,1473987795000
90,BENSON STREET,Benson Street,40,37,1473988399000
90,BENSON STREET,Benson Street,40,37,1473988399000
90,BENSON STREET,Benson Street,40,37,1473989004000
90,BENSON STREET,Benson Street,40,37,1473989004000
90,BENSON STREET,Benson Street,40,37,1473989607000
90,BENSON STREET,Benson Street,40,37,1473989607000
90,BENSON STREET,Benson Street,40,37,1473990211000
90,BENSON STREET,Benson Street,40,37,1473990211000
90,BENSON STREET,Benson Street,40,37,1473990815000
90,BENSON STREET,Benson Street,40,37,1473990815000
90,BENSON STREET,Benson Street,40,37,1473991420000
90,BENSON STREET,Benson Street,40,37,1473991420000
90,BENSON STREET,Benson Street,40,37,1473992023000
90,BENSON STREET,Benson Street,40,37,1473992023000
90,BENSON STREET,Benson Street,40,37,1473992628000
90,BENSON STREET,Benson Street,40,37,1473992628000
90,BENSON STREET,Benson Street,40,37,1473993231000
90,BENSON STREET,Benson Street,40,37,1473993231000
90,BENSON STREET,Benson Street,40,37,1473993835000
90,BENSON STREET,Benson Street,40,37,1473993835000
90,BENSON STREET,Benson Street,40,37,1473994439000
90,BENSON STREET,Benson Street,40,37,1473994817000
90,BENSON STREET,Benson Street,40,37,1473994941000
90,BENSON STREET,Benson Street,40,37,1473994941000
90,BENSON STREET,Benson Street,40,37,1473995545000
90,BENSON STREET,Benson Street,40,37,1473995545000
90,BENSON STREET,Benson Street,40,37,1473996149000
90,BENSON STREET,Benson Street,40,37,1473996149000
90,BENSON STREET,Benson Street,40,37,1473996753000
90,BENSON STREET,Benson Street,40,37,1473996753000
90,BENSON STREET,Benson Street,40,37,1473997356000
90,BENSON STREET,Benson Street,40,37,1473997356000
90,BENSON STREET,Benson Street,40,37,1473997960000
90,BENSON STREET,Benson Street,40,37,1473997960000
90,BENSON STREET,Benson Street,40,37,1473998425000
90,BENSON STREET,Benson Street,40,37,1473998425000
90,BENSON STREET,Benson Street,40,37,1473999028000
90,BENSON STREET,Benson Street,40,37,1473999028000
90,BENSON STREET,Benson Street,40,37,1473999633000
90,BENSON STREET,Benson Street,40,37,1473999633000
90,BENSON STREET,Benson Street,40,37,1474000237000
90,BENSON STREET,Benson Street,40,37,1474000237000
90,BENSON STREET,Benson Street,40,37,1474000841000
90,BENSON STREET,Benson Street,40,37,1474000841000
90,BENSON STREET,Benson Street,40,37,1474001445000
90,BENSON STREET,Benson Street,40,37,1474001445000
90,BENSON STREET,Benson Street,40,36,1474002147000
90,BENSON STREET,Benson Street,40,35,1474002411000
90,BENSON STREET,Benson Street,40,34,1474002652000
90,BENSON STREET,Benson Street,40,40,1474003105000
90,BENSON STREET,Benson Street,40,38,1474003477000
90,BENSON STREET,Benson Street,40,38,1474003477000
90,BENSON STREET,Benson Street,40,38,1474004081000
90,BENSON STREET,Benson Street,40,38,1474004081000
90,BENSON STREET,Benson Street,40,37,1474004561000
90,BENSON STREET,Benson Street,40,35,1474004890000
90,BENSON STREET,Benson Street,40,34,1474005161000
90,BENSON STREET,Benson Street,40,35,1474005422000
90,BENSON STREET,Benson Street,40,34,1474005798000
90,BENSON STREET,Benson Street,40,31,1474006115000
90,BENSON STREET,Benson Street,40,29,1474006515000
90,BENSON STREET,Benson Street,40,24,1474006807000
90,BENSON STREET,Benson Street,40,24,1474006807000
90,BENSON STREET,Benson Street,40,24,1474007341000
90,BENSON STREET,Benson Street,40,22,1474007775000
90,BENSON STREET,Benson Street,40,20,1474007893000
90,BENSON STREET,Benson Street,40,21,1474008211000
90,BENSON STREET,Benson Street,40,35,1474008666000
90,BENSON STREET,Benson Street,40,34,1474008740000
90,BENSON STREET,Benson Street,40,30,1474009223000
90,BENSON STREET,Benson Street,40,29,1474009574000
90,BENSON STREET,Benson Street,40,30,1474009871000
90,BENSON STREET,Benson Street,40,29,1474010053000
90,BENSON STREET,Benson Street,40,30,1474010312000
90,BENSON STREET,Benson Street,40,29,1474010726000
90,BENSON STREET,Benson Street,40,29,1474010937000
90,BENSON STREET,Benson Street,40,28,1474011258000
90,BENSON STREET,Benson Street,40,27,1474011514000
90,BENSON STREET,Benson Street,40,26,1474011944000
90,BENSON STREET,Benson Street,40,24,1474012197000
90,BENSON STREET,Benson Street,40,24,1474012561000
90,BENSON STREET,Benson Street,40,23,1474012827000
90,BENSON STREET,Benson Street,40,21,1474013169000
90,BENSON STREET,Benson Street,40,21,1474013355000
90,BENSON STREET,Benson Street,40,21,1474013634000
90,BENSON STREET,Benson Street,40,19,1474014072000
90,BENSON STREET,Benson Street,40,17,1474014152000
90,BENSON STREET,Benson Street,40,16,1474014387000
90,BENSON STREET,Benson Street,40,16,1474014387000
90,BENSON STREET,Benson Street,40,15,1474015253000
90,BENSON STREET,Benson Street,40,14,1474015568000
90,BENSON STREET,Benson Street,40,14,1474015568000
90,BENSON STREET,Benson Street,40,13,1474016151000
90,BENSON STREET,Benson Street,40,13,1474016151000
90,BENSON STREET,Benson Street,40,14,1474016582000
90,BENSON STREET,Benson Street,40,14,1474016582000
90,BENSON STREET,Benson Street,40,14,1474017186000
90,BENSON STREET,Benson Street,40,14,1474017186000
90,BENSON STREET,Benson Street,40,14,1474017790000
90,BENSON STREET,Benson Street,40,12,1474018067000
90,BENSON STREET,Benson Street,40,12,1474018067000
90,BENSON STREET,Benson Street,40,11,1474018608000
90,BENSON STREET,Benson Street,40,11,1474018608000
90,BENSON STREET,Benson Street,40,11,1474019214000
90,BENSON STREET,Benson Street,40,11,1474019214000
90,BENSON STREET,Benson Street,40,11,1474019818000
90,BENSON STREET,Benson Street,40,11,1474019818000
90,BENSON STREET,Benson Street,40,11,1474020422000
90,BENSON STREET,Benson Street,40,11,1474020422000
90,BENSON STREET,Benson Street,40,11,1474021027000
90,BENSON STREET,Benson Street,40,11,1474021027000
90,BENSON STREET,Benson Street,40,10,1474021730000
90,BENSON STREET,Benson Street,40,10,1474021730000
90,BENSON STREET,Benson Street,40,9,1474022327000
90,BENSON STREET,Benson Street,40,10,1474022571000
90,BENSON STREET,Benson Street,40,10,1474022571000
90,BENSON STREET,Benson Street,40,11,1474023337000
90,BENSON STREET,Benson Street,40,12,1474023452000
90,BENSON STREET,Benson Street,40,12,1474023452000
90,BENSON STREET,Benson Street,40,13,1474024144000
90,BENSON STREET,Benson Street,40,13,1474024144000
90,BENSON STREET,Benson Street,40,13,1474024748000
90,BENSON STREET,Benson Street,40,13,1474024748000
90,BENSON STREET,Benson Street,40,12,1474025473000
90,BENSON STREET,Benson Street,40,12,1474025694000
90,BENSON STREET,Benson Street,40,12,1474026059000
90,BENSON STREET,Benson Street,40,13,1474026359000
90,BENSON STREET,Benson Street,40,14,1474026534000
90,BENSON STREET,Benson Street,40,15,1474026832000
90,BENSON STREET,Benson Street,40,15,1474026832000
90,BENSON STREET,Benson Street,40,15,1474027483000
90,BENSON STREET,Benson Street,40,15,1474027865000
90,BENSON STREET,Benson Street,40,16,1474028116000
90,BENSON STREET,Benson Street,40,16,1474028116000
90,BENSON STREET,Benson Street,40,16,1474028720000
90,BENSON STREET,Benson Street,40,16,1474028720000
90,BENSON STREET,Benson Street,40,17,1474029280000
90,BENSON STREET,Benson Street,40,17,1474029280000
90,BENSON STREET,Benson Street,40,17,1474029884000
90,BENSON STREET,Benson Street,40,16,1474030256000
90,BENSON STREET,Benson Street,40,17,1474030364000
90,BENSON STREET,Benson Street,40,17,1474030813000
90,BENSON STREET,Benson Street,40,15,1474030971000
90,BENSON STREET,Benson Street,40,15,1474030971000
90,BENSON STREET,Benson Street,40,15,1474031575000
90,BENSON STREET,Benson Street,40,15,1474031575000
90,BENSON STREET,Benson Street,40,16,1474032314000
90,BENSON STREET,Benson Street,40,16,1474032314000
90,BENSON STREET,Benson Street,40,16,1474032919000
90,BENSON STREET,Benson Street,40,16,1474032919000
90,BENSON STREET,Benson Street,40,15,1474033374000
90,BENSON STREET,Benson Street,40,15,1474033374000
90,BENSON STREET,Benson Street,40,15,1474033978000
90,BENSON STREET,Benson Street,40,15,1474034458000
90,BENSON STREET,Benson Street,40,17,1474034535000
90,BENSON STREET,Benson Street,40,18,1474035064000
90,BENSON STREET,Benson Street,40,19,1474035339000
90,BENSON STREET,Benson Street,40,19,1474035339000
90,BENSON STREET,Benson Street,40,19,1474035949000
90,BENSON STREET,Benson Street,40,19,1474036257000
90,BENSON STREET,Benson Street,40,25,1474036535000
90,BENSON STREET,Benson Street,40,26,1474036829000
90,BENSON STREET,Benson Street,40,27,1474037177000
90,BENSON STREET,Benson Street,40,31,1474037368000
90,BENSON STREET,Benson Street,40,31,1474037770000
90,BENSON STREET,Benson Street,40,32,1474037807000
90,BENSON STREET,Benson Street,40,32,1474038357000
90,BENSON STREET,Benson Street,40,33,1474038389000
90,BENSON STREET,Benson Street,40,33,1474038966000
90,BENSON STREET,Benson Street,40,33,1474038997000
90,BENSON STREET,Benson Street,40,34,1474039461000
90,BENSON STREET,Benson Street,40,35,1474039764000
90,BENSON STREET,Benson Street,40,35,1474039764000
90,BENSON STREET,Benson Street,40,36,1474040435000
90,BENSON STREET,Benson Street,40,39,1474040725000
90,BENSON STREET,Benson Street,40,40,1474041011000
90,BENSON STREET,Benson Street,40,40,1474041315000
90,BENSON STREET,Benson Street,40,40,1474041315000
90,BENSON STREET,Benson Street,40,40,1474041919000
90,BENSON STREET,Benson Street,40,40,1474042162000
90,BENSON STREET,Benson Street,40,40,1474042162000
90,BENSON STREET,Benson Street,40,40,1474042844000
90,BENSON STREET,Benson Street,40,40,1474043127000
90,BENSON STREET,Benson Street,40,40,1474043127000
90,BENSON STREET,Benson Street,40,40,1474043731000
90,BENSON STREET,Benson Street,40,40,1474044009000
90,BENSON STREET,Benson Street,40,40,1474044009000
90,BENSON STREET,Benson Street,40,40,1474044613000
90,BENSON STREET,Benson Street,40,39,1474044814000
90,BENSON STREET,Benson Street,40,40,1474045079000
90,BENSON STREET,Benson Street,40,40,1474045079000
90,BENSON STREET,Benson Street,40,38,1474045796000
90,BENSON STREET,Benson Street,40,40,1474046103000
90,BENSON STREET,Benson Street,40,40,1474046103000
90,BENSON STREET,Benson Street,40,39,1474046748000
90,BENSON STREET,Benson Street,40,40,1474046800000
90,BENSON STREET,Benson Street,40,40,1474046800000
90,BENSON STREET,Benson Street,40,40,1474047403000
90,BENSON STREET,Benson Street,40,39,1474047971000
90,BENSON STREET,Benson Street,40,39,1474047971000
90,BENSON STREET,Benson Street,40,40,1474048474000
90,BENSON STREET,Benson Street,40,40,1474048474000
90,BENSON STREET,Benson Street,40,40,1474049077000
90,BENSON STREET,Benson Street,40,40,1474049077000
90,BENSON STREET,Benson Street,40,40,1474049682000
90,BENSON STREET,Benson Street,40,40,1474049682000
90,BENSON STREET,Benson Street,40,40,1474050286000
90,BENSON STREET,Benson Street,40,40,1474050286000
90,BENSON STREET,Benson Street,40,40,1474050894000
90,BENSON STREET,Benson Street,40,40,1474050894000
90,BENSON STREET,Benson Street,40,40,1474051509000
90,BENSON STREET,Benson Street,40,40,1474051509000
90,BENSON STREET,Benson Street,40,40,1474052113000
90,BENSON STREET,Benson Street,40,40,1474052113000
90,BENSON STREET,Benson Street,40,40,1474052717000
90,BENSON STREET,Benson Street,40,40,1474052717000
90,BENSON STREET,Benson Street,40,40,1474053321000
90,BENSON STREET,Benson Street,40,40,1474053321000
90,BENSON STREET,Benson Street,40,40,1474053925000
90,BENSON STREET,Benson Street,40,40,1474053925000
90,BENSON STREET,Benson Street,40,40,1474054529000
90,BENSON STREET,Benson Street,40,40,1474054529000
90,BENSON STREET,Benson Street,40,40,1474055133000
90,BENSON STREET,Benson Street,40,40,1474055133000
90,BENSON STREET,Benson Street,40,40,1474055737000
90,BENSON STREET,Benson Street,40,40,1474055737000
