number,name,address,bike_stands,available_bike_stands,last_update
88,BLACKHALL PLACE,Blackhall Place,30,27,1474376396000
88,BLACKHALL PLACE,Blackhall Place,30,27,1474376396000
88,BLACKHALL PLACE,Blackhall Place,30,29,1474376955000
88,BLACKHALL PLACE,Blackhall Place,30,28,1474377075000
88,BLACKHALL PLACE,Blackhall Place,30,27,1474377451000
88,BLACKHALL PLACE,Blackhall Place,30,28,1474377688000
88,BLACKHALL PLACE,Blackhall Place,30,27,1474378082000
88,BLACKHALL PLACE,Blackhall Place,30,30,1474378440000
88,BLACKHALL PLACE,Blackhall Place,30,30,1474378440000
88,BLACKHALL PLACE,Blackhall Place,30,30,1474379044000
88,BLACKHALL PLACE,Blackhall Place,30,30,1474379407000
88,BLACKHALL PLACE,Blackhall Place,30,30,1474379407000
88,BLACKHALL PLACE,Blackhall Place,30,29,1474379808000
88,BLACKHALL PLACE,Blackhall Place,30,29,1474379808000
88,BLACKHALL PLACE,Blackhall Place,30,29,1474380412000
88,BLACKHALL PLACE,Blackhall Place,30,28,1474380742000
88,BLACKHALL PLACE,Blackhall Place,30,28,1474381202000
88,BLACKHALL PLACE,Blackhall Place,30,29,1474381500000
88,BLACKHALL PLACE,Blackhall Place,30,29,1474381797000
88,BLACKHALL PLACE,Blackhall Place,30,29,1474381958000
88,BLACKHALL PLACE,Blackhall Place,30,30,1474382326000
88,BLACKHALL PLACE,Blackhall Place,30,29,1474382516000
88,BLACKHALL PLACE,Blackhall Place,30,27,1474383016000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473980401000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473980401000
88,BLACKHALL PLACE,Blackhall Place,30,3,1473981071000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473981099000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473981099000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473981703000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473981703000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473982350000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473982350000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473982954000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473982954000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473983558000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473983558000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473984163000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473984163000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473984766000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473984766000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473985371000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473985371000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473985975000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473985975000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473986580000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473986580000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473987184000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473987184000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473987788000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473987788000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473988391000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473988391000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473988996000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473988996000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473989599000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473989599000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473990203000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473990203000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473990807000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473990807000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473991412000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473991412000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473992016000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473992016000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473992620000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473992620000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473993224000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473993224000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473993828000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473993828000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473994433000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473994871000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473994893000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473994893000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473995497000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473995497000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473996102000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473996102000
88,BLACKHALL PLACE,Blackhall Place,30,4,1473996706000
