number,name,address,bike_stands,available_bike_stands,last_update
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474376278000
5,CHARLEMONT PLACE,Charlemont Street,40,30,1474376585000
5,CHARLEMONT PLACE,Charlemont Street,40,29,1474377077000
5,CHARLEMONT PLACE,Charlemont Street,40,27,1474377135000
5,CHARLEMONT PLACE,Charlemont Street,40,26,1474377563000
5,CHARLEMONT PLACE,Charlemont Street,40,26,1474377883000
5,CHARLEMONT PLACE,Charlemont Street,40,25,1474378099000
5,CHARLEMONT PLACE,Charlemont Street,40,23,1474378439000
5,CHARLEMONT PLACE,Charlemont Street,40,25,1474378811000
5,CHARLEMONT PLACE,Charlemont Street,40,25,1474378955000
5,CHARLEMONT PLACE,Charlemont Street,40,24,1474379190000
5,CHARLEMONT PLACE,Charlemont Street,40,22,1474379782000
5,CHARLEMONT PLACE,Charlemont Street,40,19,1474380071000
5,CHARLEMONT PLACE,Charlemont Street,40,18,1474380339000
5,CHARLEMONT PLACE,Charlemont Street,40,18,1474380479000
5,CHARLEMONT PLACE,Charlemont Street,40,18,1474380479000
5,CHARLEMONT PLACE,Charlemont Street,40,17,1474381108000
5,CHARLEMONT PLACE,Charlemont Street,40,17,1474381108000
5,CHARLEMONT PLACE,Charlemont Street,40,18,1474381765000
5,CHARLEMONT PLACE,Charlemont Street,40,18,1474381765000
5,CHARLEMONT PLACE,Charlemont Street,40,18,1474382369000
5,CHARLEMONT PLACE,Charlemont Street,40,17,1474382580000
5,CHARLEMONT PLACE,Charlemont Street,40,17,1474382897000
5,CHARLEMONT PLACE,Charlemont Street,40,34,1473979969000
5,CHARLEMONT PLACE,Charlemont Street,40,33,1473980777000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1473980879000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1473980879000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1473981675000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473981812000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473981812000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473982341000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473982341000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473982945000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473982945000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473983549000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473983549000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473984153000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473984153000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473984757000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473984757000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473985362000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473985362000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473985966000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473985966000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473986570000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473986570000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473987174000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473987174000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473987778000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473987778000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473988383000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473988383000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473988986000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473988986000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473989715000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473989890000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473989890000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473990494000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473990494000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473991097000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473991097000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473991701000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473991701000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473992305000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473992305000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473992909000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473992909000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473993512000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473993512000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473994116000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473994116000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473994720000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473994720000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473995323000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473995323000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473995927000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473995927000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473996532000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473996532000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473997136000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473997136000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473997741000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473997741000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473998346000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473998418000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1473998418000
5,CHARLEMONT PLACE,Charlemont Street,40,30,1473999303000
5,CHARLEMONT PLACE,Charlemont Street,40,18,1473999618000
5,CHARLEMONT PLACE,Charlemont Street,40,16,1473999804000
5,CHARLEMONT PLACE,Charlemont Street,40,11,1474000217000
5,CHARLEMONT PLACE,Charlemont Street,40,3,1474000460000
5,CHARLEMONT PLACE,Charlemont Street,40,3,1474000460000
5,CHARLEMONT PLACE,Charlemont Street,40,3,1474001064000
5,CHARLEMONT PLACE,Charlemont Street,40,3,1474001064000
5,CHARLEMONT PLACE,Charlemont Street,40,3,1474001668000
5,CHARLEMONT PLACE,Charlemont Street,40,4,1474001924000
5,CHARLEMONT PLACE,Charlemont Street,40,4,1474001924000
5,CHARLEMONT PLACE,Charlemont Street,40,4,1474002613000
5,CHARLEMONT PLACE,Charlemont Street,40,4,1474002613000
5,CHARLEMONT PLACE,Charlemont Street,40,4,1474003217000
5,CHARLEMONT PLACE,Charlemont Street,40,4,1474003217000
5,CHARLEMONT PLACE,Charlemont Street,40,3,1474003780000
5,CHARLEMONT PLACE,Charlemont Street,40,3,1474003922000
5,CHARLEMONT PLACE,Charlemont Street,40,3,1474003922000
5,CHARLEMONT PLACE,Charlemont Street,40,4,1474004718000
5,CHARLEMONT PLACE,Charlemont Street,40,9,1474005002000
5,CHARLEMONT PLACE,Charlemont Street,40,10,1474005266000
5,CHARLEMONT PLACE,Charlemont Street,40,13,1474005534000
5,CHARLEMONT PLACE,Charlemont Street,40,14,1474005894000
5,CHARLEMONT PLACE,Charlemont Street,40,19,1474006202000
5,CHARLEMONT PLACE,Charlemont Street,40,21,1474006494000
5,CHARLEMONT PLACE,Charlemont Street,40,17,1474006815000
5,CHARLEMONT PLACE,Charlemont Street,40,12,1474007145000
5,CHARLEMONT PLACE,Charlemont Street,40,17,1474007459000
5,CHARLEMONT PLACE,Charlemont Street,40,18,1474007769000
5,CHARLEMONT PLACE,Charlemont Street,40,28,1474008056000
5,CHARLEMONT PLACE,Charlemont Street,40,33,1474008366000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474008658000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474008953000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474009275000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474009573000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474009849000
5,CHARLEMONT PLACE,Charlemont Street,40,26,1474010173000
5,CHARLEMONT PLACE,Charlemont Street,40,33,1474010475000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474010762000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474011076000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474011352000
5,CHARLEMONT PLACE,Charlemont Street,40,25,1474011676000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1474011962000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474012277000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474012569000
5,CHARLEMONT PLACE,Charlemont Street,40,36,1474012874000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474013121000
5,CHARLEMONT PLACE,Charlemont Street,40,33,1474013471000
5,CHARLEMONT PLACE,Charlemont Street,40,33,1474013776000
5,CHARLEMONT PLACE,Charlemont Street,40,36,1474014077000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474014370000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474014671000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474014977000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474015168000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474015550000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474015840000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474016131000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474016131000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474016735000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474016735000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474017339000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474017600000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474017967000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474018007000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1474018555000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474018819000
5,CHARLEMONT PLACE,Charlemont Street,40,36,1474018933000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474019222000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474019646000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474019884000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474019884000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474020488000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474020488000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474021260000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474021297000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474021847000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474022066000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474022066000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474022670000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474023069000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474023069000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474023673000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474023673000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474024107000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474024286000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474024851000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474024909000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474025341000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474025740000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474025896000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474025896000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474026661000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474026967000
5,CHARLEMONT PLACE,Charlemont Street,40,34,1474027251000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1474027577000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474027669000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474027931000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474028380000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474028749000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474028883000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474029145000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474029649000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474029886000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474030230000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474030230000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474030756000
5,CHARLEMONT PLACE,Charlemont Street,40,36,1474031087000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474031291000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474031560000
5,CHARLEMONT PLACE,Charlemont Street,40,36,1474032030000
5,CHARLEMONT PLACE,Charlemont Street,40,36,1474032201000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474032606000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474032974000
5,CHARLEMONT PLACE,Charlemont Street,40,36,1474033133000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1474033573000
5,CHARLEMONT PLACE,Charlemont Street,40,34,1474033662000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474034032000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474034032000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1474034749000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474034970000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474035291000
5,CHARLEMONT PLACE,Charlemont Street,40,32,1474035653000
5,CHARLEMONT PLACE,Charlemont Street,40,30,1474035871000
5,CHARLEMONT PLACE,Charlemont Street,40,29,1474036200000
5,CHARLEMONT PLACE,Charlemont Street,40,30,1474036512000
5,CHARLEMONT PLACE,Charlemont Street,40,28,1474036818000
5,CHARLEMONT PLACE,Charlemont Street,40,29,1474037144000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1474037460000
5,CHARLEMONT PLACE,Charlemont Street,40,31,1474037753000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1474038068000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1474038369000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474038675000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474038974000
5,CHARLEMONT PLACE,Charlemont Street,40,40,1474039033000
5,CHARLEMONT PLACE,Charlemont Street,40,38,1474039573000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1474039778000
5,CHARLEMONT PLACE,Charlemont Street,40,30,1474040178000
5,CHARLEMONT PLACE,Charlemont Street,40,26,1474040424000
5,CHARLEMONT PLACE,Charlemont Street,40,24,1474040745000
5,CHARLEMONT PLACE,Charlemont Street,40,21,1474041068000
5,CHARLEMONT PLACE,Charlemont Street,40,20,1474041356000
5,CHARLEMONT PLACE,Charlemont Street,40,20,1474041662000
5,CHARLEMONT PLACE,Charlemont Street,40,21,1474041954000
5,CHARLEMONT PLACE,Charlemont Street,40,19,1474042275000
5,CHARLEMONT PLACE,Charlemont Street,40,24,1474042576000
5,CHARLEMONT PLACE,Charlemont Street,40,33,1474042871000
5,CHARLEMONT PLACE,Charlemont Street,40,39,1474043155000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474043455000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1474043767000
5,CHARLEMONT PLACE,Charlemont Street,40,33,1474044072000
5,CHARLEMONT PLACE,Charlemont Street,40,37,1474044368000
5,CHARLEMONT PLACE,Charlemont Street,40,35,1474044677000
5,CHARLEMONT PLACE,Charlemont Street,40,30,1474044971000
5,CHARLEMONT PLACE,Charlemont Street,40,29,1474045252000
5,CHARLEMONT PLACE,Charlemont Street,40,25,1474045577000
5,CHARLEMONT PLACE,Charlemont Street,40,25,1474045847000
5,CHARLEMONT PLACE,Charlemont Street,40,24,1474046155000
5,CHARLEMONT PLACE,Charlemont Street,40,26,1474046452000
