number,name,address,bike_stands,available_bike_stands,last_update
54,CLONMEL STREET,Clonmel Street,33,0,1474375968000
54,CLONMEL STREET,Clonmel Street,33,0,1474376697000
54,CLONMEL STREET,Clonmel Street,33,0,1474377014000
54,CLONMEL STREET,Clonmel Street,33,1,1474377255000
54,CLONMEL STREET,Clonmel Street,33,2,1474377590000
54,CLONMEL STREET,Clonmel Street,33,2,1474377590000
54,CLONMEL STREET,Clonmel Street,33,2,1474378194000
54,CLONMEL STREET,Clonmel Street,33,3,1474378446000
54,CLONMEL STREET,Clonmel Street,33,2,1474378767000
54,CLONMEL STREET,Clonmel Street,33,2,1474378767000
54,CLONMEL STREET,Clonmel Street,33,4,1474379198000
54,CLONMEL STREET,Clonmel Street,33,4,1474379650000
54,CLONMEL STREET,Clonmel Street,33,4,1474380016000
54,CLONMEL STREET,Clonmel Street,33,3,1474380236000
54,CLONMEL STREET,Clonmel Street,33,4,1474380562000
54,CLONMEL STREET,Clonmel Street,33,4,1474380562000
54,CLONMEL STREET,Clonmel Street,33,3,1474381014000
54,CLONMEL STREET,Clonmel Street,33,2,1474381438000
54,CLONMEL STREET,Clonmel Street,33,1,1474381769000
54,CLONMEL STREET,Clonmel Street,33,0,1474381971000
54,CLONMEL STREET,Clonmel Street,33,0,1474382343000
54,CLONMEL STREET,Clonmel Street,33,0,1474382343000
54,CLONMEL STREET,Clonmel Street,33,0,1474382822000
54,CLONMEL STREET,Clonmel Street,33,28,1473980349000
54,CLONMEL STREET,Clonmel Street,33,28,1473980349000
54,CLONMEL STREET,Clonmel Street,33,28,1473981051000
54,CLONMEL STREET,Clonmel Street,33,29,1473981092000
54,CLONMEL STREET,Clonmel Street,33,29,1473981573000
54,CLONMEL STREET,Clonmel Street,33,29,1473981968000
54,CLONMEL STREET,Clonmel Street,33,32,1473982223000
54,CLONMEL STREET,Clonmel Street,33,32,1473982343000
54,CLONMEL STREET,Clonmel Street,33,32,1473982343000
54,CLONMEL STREET,Clonmel Street,33,31,1473983038000
54,CLONMEL STREET,Clonmel Street,33,31,1473983038000
54,CLONMEL STREET,Clonmel Street,33,31,1473983642000
54,CLONMEL STREET,Clonmel Street,33,31,1473983642000
54,CLONMEL STREET,Clonmel Street,33,31,1473984247000
54,CLONMEL STREET,Clonmel Street,33,31,1473984247000
54,CLONMEL STREET,Clonmel Street,33,31,1473984851000
54,CLONMEL STREET,Clonmel Street,33,31,1473984851000
54,CLONMEL STREET,Clonmel Street,33,31,1473985499000
54,CLONMEL STREET,Clonmel Street,33,31,1473985499000
54,CLONMEL STREET,Clonmel Street,33,31,1473986103000
54,CLONMEL STREET,Clonmel Street,33,31,1473986103000
54,CLONMEL STREET,Clonmel Street,33,31,1473986707000
54,CLONMEL STREET,Clonmel Street,33,31,1473986707000
54,CLONMEL STREET,Clonmel Street,33,31,1473987311000
54,CLONMEL STREET,Clonmel Street,33,31,1473987311000
54,CLONMEL STREET,Clonmel Street,33,31,1473987914000
54,CLONMEL STREET,Clonmel Street,33,31,1473988057000
54,CLONMEL STREET,Clonmel Street,33,31,1473988057000
54,CLONMEL STREET,Clonmel Street,33,31,1473988662000
54,CLONMEL STREET,Clonmel Street,33,31,1473988662000
54,CLONMEL STREET,Clonmel Street,33,31,1473989265000
54,CLONMEL STREET,Clonmel Street,33,31,1473989265000
54,CLONMEL STREET,Clonmel Street,33,31,1473989869000
54,CLONMEL STREET,Clonmel Street,33,31,1473989869000
54,CLONMEL STREET,Clonmel Street,33,31,1473990473000
54,CLONMEL STREET,Clonmel Street,33,31,1473990787000
54,CLONMEL STREET,Clonmel Street,33,31,1473990787000
54,CLONMEL STREET,Clonmel Street,33,31,1473991391000
54,CLONMEL STREET,Clonmel Street,33,31,1473991391000
54,CLONMEL STREET,Clonmel Street,33,31,1473991995000
54,CLONMEL STREET,Clonmel Street,33,31,1473991995000
54,CLONMEL STREET,Clonmel Street,33,31,1473992658000
54,CLONMEL STREET,Clonmel Street,33,31,1473992786000
54,CLONMEL STREET,Clonmel Street,33,31,1473992786000
54,CLONMEL STREET,Clonmel Street,33,31,1473993389000
54,CLONMEL STREET,Clonmel Street,33,31,1473993746000
54,CLONMEL STREET,Clonmel Street,33,31,1473993746000
54,CLONMEL STREET,Clonmel Street,33,31,1473994350000
54,CLONMEL STREET,Clonmel Street,33,31,1473994350000
54,CLONMEL STREET,Clonmel Street,33,31,1473994953000
54,CLONMEL STREET,Clonmel Street,33,31,1473994953000
54,CLONMEL STREET,Clonmel Street,33,31,1473995558000
54,CLONMEL STREET,Clonmel Street,33,31,1473995558000
54,CLONMEL STREET,Clonmel Street,33,31,1473996163000
54,CLONMEL STREET,Clonmel Street,33,31,1473996163000
54,CLONMEL STREET,Clonmel Street,33,31,1473996767000
54,CLONMEL STREET,Clonmel Street,33,31,1473996767000
54,CLONMEL STREET,Clonmel Street,33,31,1473997371000
54,CLONMEL STREET,Clonmel Street,33,31,1473997371000
54,CLONMEL STREET,Clonmel Street,33,31,1473997975000
54,CLONMEL STREET,Clonmel Street,33,31,1473997975000
54,CLONMEL STREET,Clonmel Street,33,32,1473998587000
54,CLONMEL STREET,Clonmel Street,33,32,1473998587000
54,CLONMEL STREET,Clonmel Street,33,31,1473999044000
54,CLONMEL STREET,Clonmel Street,33,31,1473999044000
54,CLONMEL STREET,Clonmel Street,33,31,1473999648000
54,CLONMEL STREET,Clonmel Street,33,31,1473999648000
54,CLONMEL STREET,Clonmel Street,33,31,1474000252000
54,CLONMEL STREET,Clonmel Street,33,31,1474000252000
54,CLONMEL STREET,Clonmel Street,33,31,1474000856000
54,CLONMEL STREET,Clonmel Street,33,31,1474000856000
54,CLONMEL STREET,Clonmel Street,33,31,1474001460000
54,CLONMEL STREET,Clonmel Street,33,30,1474001933000
54,CLONMEL STREET,Clonmel Street,33,30,1474001933000
54,CLONMEL STREET,Clonmel Street,33,30,1474002551000
54,CLONMEL STREET,Clonmel Street,33,29,1474002766000
54,CLONMEL STREET,Clonmel Street,33,29,1474002766000
54,CLONMEL STREET,Clonmel Street,33,29,1474003369000
54,CLONMEL STREET,Clonmel Street,33,29,1474003369000
54,CLONMEL STREET,Clonmel Street,33,29,1474003973000
54,CLONMEL STREET,Clonmel Street,33,31,1474004163000
54,CLONMEL STREET,Clonmel Street,33,31,1474004163000
54,CLONMEL STREET,Clonmel Street,33,29,1474004925000
54,CLONMEL STREET,Clonmel Street,33,29,1474004925000
54,CLONMEL STREET,Clonmel Street,33,29,1474005529000
54,CLONMEL STREET,Clonmel Street,33,28,1474005858000
54,CLONMEL STREET,Clonmel Street,33,28,1474005858000
54,CLONMEL STREET,Clonmel Street,33,27,1474006510000
54,CLONMEL STREET,Clonmel Street,33,27,1474006510000
54,CLONMEL STREET,Clonmel Street,33,26,1474006853000
54,CLONMEL STREET,Clonmel Street,33,26,1474007458000
54,CLONMEL STREET,Clonmel Street,33,26,1474007458000
54,CLONMEL STREET,Clonmel Street,33,27,1474008001000
54,CLONMEL STREET,Clonmel Street,33,28,1474008297000
54,CLONMEL STREET,Clonmel Street,33,24,1474008672000
54,CLONMEL STREET,Clonmel Street,33,25,1474008876000
54,CLONMEL STREET,Clonmel Street,33,26,1474009261000
54,CLONMEL STREET,Clonmel Street,33,24,1474009469000
54,CLONMEL STREET,Clonmel Street,33,23,1474009757000
54,CLONMEL STREET,Clonmel Street,33,21,1474010146000
54,CLONMEL STREET,Clonmel Street,33,21,1474010292000
54,CLONMEL STREET,Clonmel Street,33,23,1474010565000
54,CLONMEL STREET,Clonmel Street,33,24,1474011043000
54,CLONMEL STREET,Clonmel Street,33,25,1474011256000
54,CLONMEL STREET,Clonmel Street,33,23,1474011425000
54,CLONMEL STREET,Clonmel Street,33,21,1474011903000
54,CLONMEL STREET,Clonmel Street,33,16,1474012185000
54,CLONMEL STREET,Clonmel Street,33,17,1474012494000
54,CLONMEL STREET,Clonmel Street,33,15,1474012862000
54,CLONMEL STREET,Clonmel Street,33,10,1474013164000
54,CLONMEL STREET,Clonmel Street,33,7,1474013471000
54,CLONMEL STREET,Clonmel Street,33,9,1474013741000
54,CLONMEL STREET,Clonmel Street,33,9,1474014076000
54,CLONMEL STREET,Clonmel Street,33,9,1474014254000
54,CLONMEL STREET,Clonmel Street,33,8,1474014446000
54,CLONMEL STREET,Clonmel Street,33,8,1474014808000
54,CLONMEL STREET,Clonmel Street,33,6,1474015266000
54,CLONMEL STREET,Clonmel Street,33,6,1474015384000
54,CLONMEL STREET,Clonmel Street,33,3,1474015855000
54,CLONMEL STREET,Clonmel Street,33,3,1474015855000
54,CLONMEL STREET,Clonmel Street,33,2,1474016278000
54,CLONMEL STREET,Clonmel Street,33,2,1474016278000
54,CLONMEL STREET,Clonmel Street,33,1,1474017057000
54,CLONMEL STREET,Clonmel Street,33,1,1474017109000
54,CLONMEL STREET,Clonmel Street,33,1,1474017494000
54,CLONMEL STREET,Clonmel Street,33,2,1474017863000
54,CLONMEL STREET,Clonmel Street,33,4,1474018226000
54,CLONMEL STREET,Clonmel Street,33,4,1474018508000
54,CLONMEL STREET,Clonmel Street,33,5,1474018751000
54,CLONMEL STREET,Clonmel Street,33,5,1474018751000
54,CLONMEL STREET,Clonmel Street,33,6,1474019468000
54,CLONMEL STREET,Clonmel Street,33,7,1474019592000
54,CLONMEL STREET,Clonmel Street,33,7,1474020060000
54,CLONMEL STREET,Clonmel Street,33,8,1474020356000
54,CLONMEL STREET,Clonmel Street,33,8,1474020356000
54,CLONMEL STREET,Clonmel Street,33,8,1474020961000
54,CLONMEL STREET,Clonmel Street,33,8,1474021262000
54,CLONMEL STREET,Clonmel Street,33,8,1474021384000
54,CLONMEL STREET,Clonmel Street,33,8,1474021384000
