number,name,address,bike_stands,available_bike_stands,last_update
65,CONVENTION CENTRE,Convention Centre,40,40,1474376325000
65,CONVENTION CENTRE,Convention Centre,40,40,1474376325000
65,CONVENTION CENTRE,Convention Centre,40,39,1474376978000
65,CONVENTION CENTRE,Convention Centre,40,39,1474376978000
65,CONVENTION CENTRE,Convention Centre,40,40,1474377381000
65,CONVENTION CENTRE,Convention Centre,40,37,1474377916000
65,CONVENTION CENTRE,Convention Centre,40,35,1474377939000
65,CONVENTION CENTRE,Convention Centre,40,35,1474377939000
65,CONVENTION CENTRE,Convention Centre,40,36,1474378632000
65,CONVENTION CENTRE,Convention Centre,40,37,1474379030000
65,CONVENTION CENTRE,Convention Centre,40,37,1474379030000
65,CONVENTION CENTRE,Convention Centre,40,39,1474379495000
65,CONVENTION CENTRE,Convention Centre,40,38,1474380014000
65,CONVENTION CENTRE,Convention Centre,40,38,1474380026000
65,CONVENTION CENTRE,Convention Centre,40,37,1474380501000
65,CONVENTION CENTRE,Convention Centre,40,37,1474380501000
65,CONVENTION CENTRE,Convention Centre,40,38,1474381178000
65,CONVENTION CENTRE,Convention Centre,40,38,1474381178000
65,CONVENTION CENTRE,Convention Centre,40,37,1474381649000
65,CONVENTION CENTRE,Convention Centre,40,37,1474381649000
65,CONVENTION CENTRE,Convention Centre,40,37,1474382254000
65,CONVENTION CENTRE,Convention Centre,40,36,1474382479000
65,CONVENTION CENTRE,Convention Centre,40,36,1474382479000
65,CONVENTION CENTRE,Convention Centre,40,27,1473980342000
65,CONVENTION CENTRE,Convention Centre,40,27,1473980342000
65,CONVENTION CENTRE,Convention Centre,40,27,1473980946000
65,CONVENTION CENTRE,Convention Centre,40,27,1473980946000
65,CONVENTION CENTRE,Convention Centre,40,27,1473981550000
65,CONVENTION CENTRE,Convention Centre,40,27,1473981550000
65,CONVENTION CENTRE,Convention Centre,40,27,1473982155000
65,CONVENTION CENTRE,Convention Centre,40,27,1473982329000
65,CONVENTION CENTRE,Convention Centre,40,27,1473982329000
65,CONVENTION CENTRE,Convention Centre,40,27,1473982933000
65,CONVENTION CENTRE,Convention Centre,40,27,1473982933000
65,CONVENTION CENTRE,Convention Centre,40,27,1473983541000
65,CONVENTION CENTRE,Convention Centre,40,27,1473983541000
65,CONVENTION CENTRE,Convention Centre,40,27,1473984145000
65,CONVENTION CENTRE,Convention Centre,40,27,1473984145000
65,CONVENTION CENTRE,Convention Centre,40,27,1473984749000
65,CONVENTION CENTRE,Convention Centre,40,27,1473984749000
65,CONVENTION CENTRE,Convention Centre,40,27,1473985354000
65,CONVENTION CENTRE,Convention Centre,40,27,1473985354000
65,CONVENTION CENTRE,Convention Centre,40,27,1473985959000
65,CONVENTION CENTRE,Convention Centre,40,27,1473985959000
65,CONVENTION CENTRE,Convention Centre,40,27,1473986563000
65,CONVENTION CENTRE,Convention Centre,40,27,1473986563000
65,CONVENTION CENTRE,Convention Centre,40,27,1473987167000
65,CONVENTION CENTRE,Convention Centre,40,27,1473987167000
65,CONVENTION CENTRE,Convention Centre,40,27,1473987772000
65,CONVENTION CENTRE,Convention Centre,40,27,1473987772000
65,CONVENTION CENTRE,Convention Centre,40,27,1473988376000
65,CONVENTION CENTRE,Convention Centre,40,27,1473988376000
65,CONVENTION CENTRE,Convention Centre,40,27,1473988981000
65,CONVENTION CENTRE,Convention Centre,40,27,1473988981000
65,CONVENTION CENTRE,Convention Centre,40,27,1473989585000
65,CONVENTION CENTRE,Convention Centre,40,27,1473989585000
65,CONVENTION CENTRE,Convention Centre,40,27,1473990189000
65,CONVENTION CENTRE,Convention Centre,40,27,1473990189000
65,CONVENTION CENTRE,Convention Centre,40,27,1473990793000
65,CONVENTION CENTRE,Convention Centre,40,27,1473990793000
65,CONVENTION CENTRE,Convention Centre,40,27,1473991397000
65,CONVENTION CENTRE,Convention Centre,40,27,1473991397000
65,CONVENTION CENTRE,Convention Centre,40,27,1473992001000
65,CONVENTION CENTRE,Convention Centre,40,27,1473992001000
65,CONVENTION CENTRE,Convention Centre,40,27,1473992605000
65,CONVENTION CENTRE,Convention Centre,40,27,1473992605000
65,CONVENTION CENTRE,Convention Centre,40,27,1473993199000
65,CONVENTION CENTRE,Convention Centre,40,27,1473993524000
65,CONVENTION CENTRE,Convention Centre,40,27,1473993524000
65,CONVENTION CENTRE,Convention Centre,40,27,1473994128000
65,CONVENTION CENTRE,Convention Centre,40,27,1473994128000
65,CONVENTION CENTRE,Convention Centre,40,27,1473994732000
65,CONVENTION CENTRE,Convention Centre,40,27,1473994732000
65,CONVENTION CENTRE,Convention Centre,40,27,1473995336000
65,CONVENTION CENTRE,Convention Centre,40,27,1473995336000
65,CONVENTION CENTRE,Convention Centre,40,27,1473995940000
65,CONVENTION CENTRE,Convention Centre,40,27,1473995940000
65,CONVENTION CENTRE,Convention Centre,40,27,1473996544000
65,CONVENTION CENTRE,Convention Centre,40,27,1473996544000
65,CONVENTION CENTRE,Convention Centre,40,27,1473997148000
65,CONVENTION CENTRE,Convention Centre,40,27,1473997148000
65,CONVENTION CENTRE,Convention Centre,40,27,1473997753000
65,CONVENTION CENTRE,Convention Centre,40,27,1473997753000
65,CONVENTION CENTRE,Convention Centre,40,27,1473998357000
65,CONVENTION CENTRE,Convention Centre,40,27,1473998440000
65,CONVENTION CENTRE,Convention Centre,40,27,1473998440000
65,CONVENTION CENTRE,Convention Centre,40,27,1473999045000
65,CONVENTION CENTRE,Convention Centre,40,27,1473999045000
65,CONVENTION CENTRE,Convention Centre,40,30,1473999917000
65,CONVENTION CENTRE,Convention Centre,40,39,1474000178000
65,CONVENTION CENTRE,Convention Centre,40,39,1474000178000
65,CONVENTION CENTRE,Convention Centre,40,39,1474000786000
65,CONVENTION CENTRE,Convention Centre,40,39,1474000786000
65,CONVENTION CENTRE,Convention Centre,40,39,1474001390000
65,CONVENTION CENTRE,Convention Centre,40,39,1474001390000
65,CONVENTION CENTRE,Convention Centre,40,39,1474001994000
65,CONVENTION CENTRE,Convention Centre,40,39,1474001994000
65,CONVENTION CENTRE,Convention Centre,40,39,1474002599000
65,CONVENTION CENTRE,Convention Centre,40,38,1474002813000
65,CONVENTION CENTRE,Convention Centre,40,39,1474003184000
65,CONVENTION CENTRE,Convention Centre,40,39,1474003184000
65,CONVENTION CENTRE,Convention Centre,40,39,1474003789000
65,CONVENTION CENTRE,Convention Centre,40,39,1474003789000
65,CONVENTION CENTRE,Convention Centre,40,40,1474004283000
65,CONVENTION CENTRE,Convention Centre,40,40,1474004283000
