number,name,address,bike_stands,available_bike_stands,last_update
12,ECCLES STREET,Eccles Street,20,15,1474376253000
12,ECCLES STREET,Eccles Street,20,15,1474376253000
12,ECCLES STREET,Eccles Street,20,15,1474376857000
12,ECCLES STREET,Eccles Street,20,15,1474376857000
12,ECCLES STREET,Eccles Street,20,15,1474377460000
12,ECCLES STREET,Eccles Street,20,15,1474377460000
12,ECCLES STREET,Eccles Street,20,14,1474378129000
12,ECCLES STREET,Eccles Street,20,14,1474378129000
12,ECCLES STREET,Eccles Street,20,14,1474378733000
12,ECCLES STREET,Eccles Street,20,14,1474378733000
12,ECCLES STREET,Eccles Street,20,14,1474379337000
12,ECCLES STREET,Eccles Street,20,16,1474379642000
12,ECCLES STREET,Eccles Street,20,16,1474379642000
12,ECCLES STREET,Eccles Street,20,18,1474380273000
12,ECCLES STREET,Eccles Street,20,19,1474380670000
12,ECCLES STREET,Eccles Street,20,18,1474380852000
12,ECCLES STREET,Eccles Street,20,18,1474381240000
12,ECCLES STREET,Eccles Street,20,18,1474381240000
12,ECCLES STREET,Eccles Street,20,18,1474381844000
12,ECCLES STREET,Eccles Street,20,20,1474382072000
12,ECCLES STREET,Eccles Street,20,19,1474382405000
12,ECCLES STREET,Eccles Street,20,19,1474382767000
12,ECCLES STREET,Eccles Street,20,18,1474383069000
12,ECCLES STREET,Eccles Street,20,0,1473980095000
12,ECCLES STREET,Eccles Street,20,0,1473980699000
12,ECCLES STREET,Eccles Street,20,0,1473980699000
12,ECCLES STREET,Eccles Street,20,0,1473981303000
12,ECCLES STREET,Eccles Street,20,0,1473981303000
12,ECCLES STREET,Eccles Street,20,0,1473981908000
12,ECCLES STREET,Eccles Street,20,0,1473981908000
12,ECCLES STREET,Eccles Street,20,0,1473982344000
12,ECCLES STREET,Eccles Street,20,0,1473982344000
12,ECCLES STREET,Eccles Street,20,0,1473982948000
12,ECCLES STREET,Eccles Street,20,0,1473982948000
12,ECCLES STREET,Eccles Street,20,0,1473983553000
12,ECCLES STREET,Eccles Street,20,0,1473983553000
12,ECCLES STREET,Eccles Street,20,0,1473984158000
12,ECCLES STREET,Eccles Street,20,0,1473984158000
12,ECCLES STREET,Eccles Street,20,0,1473984762000
12,ECCLES STREET,Eccles Street,20,0,1473984762000
12,ECCLES STREET,Eccles Street,20,0,1473985366000
