number,name,address,bike_stands,available_bike_stands,last_update
48,EXCISE WALK,Excise Walk,40,25,1474376376000
48,EXCISE WALK,Excise Walk,40,25,1474376376000
48,EXCISE WALK,Excise Walk,40,26,1474376926000
48,EXCISE WALK,Excise Walk,40,28,1474377279000
48,EXCISE WALK,Excise Walk,40,27,1474377386000
48,EXCISE WALK,Excise Walk,40,26,1474377820000
48,EXCISE WALK,Excise Walk,40,28,1474378061000
48,EXCISE WALK,Excise Walk,40,27,1474378361000
48,EXCISE WALK,Excise Walk,40,29,1474378816000
48,EXCISE WALK,Excise Walk,40,31,1474379108000
48,EXCISE WALK,Excise Walk,40,29,1474379303000
48,EXCISE WALK,Excise Walk,40,27,1474379610000
48,EXCISE WALK,Excise Walk,40,25,1474379906000
48,EXCISE WALK,Excise Walk,40,24,1474380277000
48,EXCISE WALK,Excise Walk,40,25,1474380527000
48,EXCISE WALK,Excise Walk,40,24,1474380715000
48,EXCISE WALK,Excise Walk,40,24,1474381198000
48,EXCISE WALK,Excise Walk,40,25,1474381233000
48,EXCISE WALK,Excise Walk,40,25,1474381233000
48,EXCISE WALK,Excise Walk,40,26,1474382114000
48,EXCISE WALK,Excise Walk,40,24,1474382379000
48,EXCISE WALK,Excise Walk,40,25,1474382602000
48,EXCISE WALK,Excise Walk,40,26,1474382936000
48,EXCISE WALK,Excise Walk,40,40,1473980227000
48,EXCISE WALK,Excise Walk,40,40,1473980227000
48,EXCISE WALK,Excise Walk,40,40,1473980895000
48,EXCISE WALK,Excise Walk,40,40,1473980895000
48,EXCISE WALK,Excise Walk,40,40,1473981499000
48,EXCISE WALK,Excise Walk,40,40,1473981499000
48,EXCISE WALK,Excise Walk,40,40,1473982103000
48,EXCISE WALK,Excise Walk,40,40,1473982320000
48,EXCISE WALK,Excise Walk,40,40,1473982320000
48,EXCISE WALK,Excise Walk,40,40,1473982924000
48,EXCISE WALK,Excise Walk,40,40,1473982924000
48,EXCISE WALK,Excise Walk,40,40,1473983529000
48,EXCISE WALK,Excise Walk,40,40,1473983529000
48,EXCISE WALK,Excise Walk,40,40,1473984133000
48,EXCISE WALK,Excise Walk,40,40,1473984133000
48,EXCISE WALK,Excise Walk,40,40,1473984737000
48,EXCISE WALK,Excise Walk,40,40,1473984737000
48,EXCISE WALK,Excise Walk,40,40,1473985340000
48,EXCISE WALK,Excise Walk,40,40,1473985340000
48,EXCISE WALK,Excise Walk,40,40,1473985946000
48,EXCISE WALK,Excise Walk,40,40,1473985946000
48,EXCISE WALK,Excise Walk,40,40,1473986550000
48,EXCISE WALK,Excise Walk,40,40,1473986550000
48,EXCISE WALK,Excise Walk,40,40,1473987155000
48,EXCISE WALK,Excise Walk,40,40,1473987155000
48,EXCISE WALK,Excise Walk,40,40,1473987759000
48,EXCISE WALK,Excise Walk,40,40,1473987759000
48,EXCISE WALK,Excise Walk,40,40,1473988363000
48,EXCISE WALK,Excise Walk,40,40,1473988363000
48,EXCISE WALK,Excise Walk,40,40,1473988967000
48,EXCISE WALK,Excise Walk,40,40,1473988967000
48,EXCISE WALK,Excise Walk,40,40,1473989572000
48,EXCISE WALK,Excise Walk,40,40,1473989572000
48,EXCISE WALK,Excise Walk,40,40,1473990176000
48,EXCISE WALK,Excise Walk,40,40,1473990176000
48,EXCISE WALK,Excise Walk,40,40,1473990779000
48,EXCISE WALK,Excise Walk,40,40,1473990779000
48,EXCISE WALK,Excise Walk,40,40,1473991384000
48,EXCISE WALK,Excise Walk,40,40,1473991384000
48,EXCISE WALK,Excise Walk,40,40,1473991988000
48,EXCISE WALK,Excise Walk,40,40,1473992262000
48,EXCISE WALK,Excise Walk,40,40,1473992622000
48,EXCISE WALK,Excise Walk,40,40,1473992622000
48,EXCISE WALK,Excise Walk,40,40,1473993227000
48,EXCISE WALK,Excise Walk,40,40,1473993227000
48,EXCISE WALK,Excise Walk,40,40,1473993831000
48,EXCISE WALK,Excise Walk,40,40,1473993831000
48,EXCISE WALK,Excise Walk,40,40,1473994434000
48,EXCISE WALK,Excise Walk,40,40,1473994434000
48,EXCISE WALK,Excise Walk,40,40,1473995038000
48,EXCISE WALK,Excise Walk,40,40,1473995038000
48,EXCISE WALK,Excise Walk,40,40,1473995642000
48,EXCISE WALK,Excise Walk,40,40,1473995642000
48,EXCISE WALK,Excise Walk,40,40,1473996247000
48,EXCISE WALK,Excise Walk,40,40,1473996247000
