number,name,address,bike_stands,available_bike_stands,last_update
73,FRANCIS STREET,Francis Street,30,17,1474376264000
73,FRANCIS STREET,Francis Street,30,18,1474376646000
73,FRANCIS STREET,Francis Street,30,17,1474376974000
73,FRANCIS STREET,Francis Street,30,17,1474376974000
73,FRANCIS STREET,Francis Street,30,17,1474377542000
73,FRANCIS STREET,Francis Street,30,17,1474377542000
73,FRANCIS STREET,Francis Street,30,17,1474378146000
73,FRANCIS STREET,Francis Street,30,18,1474378300000
73,FRANCIS STREET,Francis Street,30,18,1474378671000
73,FRANCIS STREET,Francis Street,30,18,1474379029000
73,FRANCIS STREET,Francis Street,30,17,1474379260000
73,FRANCIS STREET,Francis Street,30,17,1474379260000
73,FRANCIS STREET,Francis Street,30,18,1474379989000
73,FRANCIS STREET,Francis Street,30,19,1474380288000
73,FRANCIS STREET,Francis Street,30,21,1474380601000
73,FRANCIS STREET,Francis Street,30,20,1474380698000
73,FRANCIS STREET,Francis Street,30,16,1474381212000
73,FRANCIS STREET,Francis Street,30,15,1474381309000
73,FRANCIS STREET,Francis Street,30,15,1474381309000
73,FRANCIS STREET,Francis Street,30,15,1474382057000
73,FRANCIS STREET,Francis Street,30,15,1474382057000
73,FRANCIS STREET,Francis Street,30,15,1474382490000
73,FRANCIS STREET,Francis Street,30,15,1474382972000
73,FRANCIS STREET,Francis Street,30,6,1473980379000
73,FRANCIS STREET,Francis Street,30,5,1473980601000
73,FRANCIS STREET,Francis Street,30,5,1473980601000
73,FRANCIS STREET,Francis Street,30,4,1473981096000
73,FRANCIS STREET,Francis Street,30,3,1473981568000
73,FRANCIS STREET,Francis Street,30,3,1473981568000
73,FRANCIS STREET,Francis Street,30,3,1473982172000
73,FRANCIS STREET,Francis Street,30,3,1473982372000
73,FRANCIS STREET,Francis Street,30,3,1473982372000
73,FRANCIS STREET,Francis Street,30,3,1473982976000
73,FRANCIS STREET,Francis Street,30,3,1473982976000
73,FRANCIS STREET,Francis Street,30,3,1473983579000
73,FRANCIS STREET,Francis Street,30,3,1473983579000
73,FRANCIS STREET,Francis Street,30,3,1473984182000
73,FRANCIS STREET,Francis Street,30,3,1473984182000
73,FRANCIS STREET,Francis Street,30,3,1473984785000
73,FRANCIS STREET,Francis Street,30,3,1473984785000
73,FRANCIS STREET,Francis Street,30,3,1473985389000
73,FRANCIS STREET,Francis Street,30,3,1473985389000
73,FRANCIS STREET,Francis Street,30,3,1473985993000
73,FRANCIS STREET,Francis Street,30,3,1473985993000
73,FRANCIS STREET,Francis Street,30,3,1473986597000
73,FRANCIS STREET,Francis Street,30,3,1473986597000
73,FRANCIS STREET,Francis Street,30,3,1473987202000
73,FRANCIS STREET,Francis Street,30,3,1473987202000
73,FRANCIS STREET,Francis Street,30,3,1473987806000
73,FRANCIS STREET,Francis Street,30,3,1473987806000
73,FRANCIS STREET,Francis Street,30,3,1473988409000
73,FRANCIS STREET,Francis Street,30,3,1473988409000
73,FRANCIS STREET,Francis Street,30,3,1473989013000
73,FRANCIS STREET,Francis Street,30,3,1473989013000
73,FRANCIS STREET,Francis Street,30,3,1473989617000
73,FRANCIS STREET,Francis Street,30,3,1473989617000
73,FRANCIS STREET,Francis Street,30,3,1473990221000
73,FRANCIS STREET,Francis Street,30,3,1473990221000
73,FRANCIS STREET,Francis Street,30,3,1473990825000
73,FRANCIS STREET,Francis Street,30,3,1473990825000
73,FRANCIS STREET,Francis Street,30,3,1473991430000
73,FRANCIS STREET,Francis Street,30,3,1473991430000
73,FRANCIS STREET,Francis Street,30,3,1473992034000
73,FRANCIS STREET,Francis Street,30,3,1473992034000
73,FRANCIS STREET,Francis Street,30,3,1473992638000
73,FRANCIS STREET,Francis Street,30,3,1473992638000
73,FRANCIS STREET,Francis Street,30,3,1473993241000
73,FRANCIS STREET,Francis Street,30,3,1473993241000
73,FRANCIS STREET,Francis Street,30,3,1473993927000
73,FRANCIS STREET,Francis Street,30,3,1473994053000
73,FRANCIS STREET,Francis Street,30,3,1473994053000
73,FRANCIS STREET,Francis Street,30,3,1473994657000
73,FRANCIS STREET,Francis Street,30,3,1473994657000
73,FRANCIS STREET,Francis Street,30,3,1473995262000
73,FRANCIS STREET,Francis Street,30,3,1473995262000
