number,name,address,bike_stands,available_bike_stands,last_update
69,GRAND CANAL DOCK,Grand Canal Dock,40,22,1474376471000
69,GRAND CANAL DOCK,Grand Canal Dock,40,21,1474376779000
69,GRAND CANAL DOCK,Grand Canal Dock,40,18,1474377081000
69,GRAND CANAL DOCK,Grand Canal Dock,40,17,1474377378000
69,GRAND CANAL DOCK,Grand Canal Dock,40,17,1474377548000
69,GRAND CANAL DOCK,Grand Canal Dock,40,16,1474377924000
69,GRAND CANAL DOCK,Grand Canal Dock,40,16,1474378235000
69,GRAND CANAL DOCK,Grand Canal Dock,40,16,1474378562000
69,GRAND CANAL DOCK,Grand Canal Dock,40,17,1474378753000
69,GRAND CANAL DOCK,Grand Canal Dock,40,18,1474379179000
69,GRAND CANAL DOCK,Grand Canal Dock,40,17,1474379383000
69,GRAND CANAL DOCK,Grand Canal Dock,40,15,1474379700000
69,GRAND CANAL DOCK,Grand Canal Dock,40,13,1474379905000
69,GRAND CANAL DOCK,Grand Canal Dock,40,14,1474380299000
69,GRAND CANAL DOCK,Grand Canal Dock,40,12,1474380443000
69,GRAND CANAL DOCK,Grand Canal Dock,40,11,1474380924000
69,GRAND CANAL DOCK,Grand Canal Dock,40,12,1474381270000
69,GRAND CANAL DOCK,Grand Canal Dock,40,11,1474381565000
69,GRAND CANAL DOCK,Grand Canal Dock,40,9,1474381862000
69,GRAND CANAL DOCK,Grand Canal Dock,40,7,1474381905000
69,GRAND CANAL DOCK,Grand Canal Dock,40,6,1474382456000
69,GRAND CANAL DOCK,Grand Canal Dock,40,6,1474382738000
69,GRAND CANAL DOCK,Grand Canal Dock,40,8,1474383017000
69,GRAND CANAL DOCK,Grand Canal Dock,40,38,1473980197000
69,GRAND CANAL DOCK,Grand Canal Dock,40,38,1473980197000
69,GRAND CANAL DOCK,Grand Canal Dock,40,39,1473980976000
69,GRAND CANAL DOCK,Grand Canal Dock,40,39,1473980976000
69,GRAND CANAL DOCK,Grand Canal Dock,40,38,1473981614000
69,GRAND CANAL DOCK,Grand Canal Dock,40,38,1473981614000
69,GRAND CANAL DOCK,Grand Canal Dock,40,38,1473981614000
69,GRAND CANAL DOCK,Grand Canal Dock,40,38,1473982337000
69,GRAND CANAL DOCK,Grand Canal Dock,40,37,1473982627000
69,GRAND CANAL DOCK,Grand Canal Dock,40,37,1473982627000
69,GRAND CANAL DOCK,Grand Canal Dock,40,37,1473983231000
69,GRAND CANAL DOCK,Grand Canal Dock,40,37,1473983231000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473983879000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473983879000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473984483000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473984483000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473985087000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473985087000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473985691000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473985691000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473986296000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473986296000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473986901000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473986901000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473987505000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473987505000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473988109000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473988109000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473988713000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473988713000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473989317000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473989317000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473989922000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473989922000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473990526000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473990526000
69,GRAND CANAL DOCK,Grand Canal Dock,40,35,1473991130000
