number,name,address,bike_stands,available_bike_stands,last_update
18,GRANTHAM STREET,Grantham Street,30,9,1474376296000
18,GRANTHAM STREET,Grantham Street,30,9,1474376550000
18,GRANTHAM STREET,Grantham Street,30,11,1474376991000
18,GRANTHAM STREET,Grantham Street,30,12,1474377142000
18,GRANTHAM STREET,Grantham Street,30,12,1474377438000
18,GRANTHAM STREET,Grantham Street,30,12,1474377438000
18,GRANTHAM STREET,Grantham Street,30,14,1474378191000
18,GRANTHAM STREET,Grantham Street,30,13,1474378515000
18,GRANTHAM STREET,Grantham Street,30,14,1474378552000
18,GRANTHAM STREET,Grantham Street,30,13,1474378841000
18,GRANTHAM STREET,Grantham Street,30,12,1474379355000
18,GRANTHAM STREET,Grantham Street,30,11,1474379442000
18,GRANTHAM STREET,Grantham Street,30,10,1474379904000
18,GRANTHAM STREET,Grantham Street,30,9,1474380191000
18,GRANTHAM STREET,Grantham Street,30,9,1474380191000
18,GRANTHAM STREET,Grantham Street,30,7,1474380803000
18,GRANTHAM STREET,Grantham Street,30,6,1474381172000
18,GRANTHAM STREET,Grantham Street,30,6,1474381172000
18,GRANTHAM STREET,Grantham Street,30,7,1474381809000
18,GRANTHAM STREET,Grantham Street,30,5,1474381890000
18,GRANTHAM STREET,Grantham Street,30,5,1474381890000
18,GRANTHAM STREET,Grantham Street,30,6,1474382473000
18,GRANTHAM STREET,Grantham Street,30,6,1474382473000
18,GRANTHAM STREET,Grantham Street,30,9,1473980363000
18,GRANTHAM STREET,Grantham Street,30,10,1473980605000
18,GRANTHAM STREET,Grantham Street,30,9,1473980758000
18,GRANTHAM STREET,Grantham Street,30,9,1473980758000
18,GRANTHAM STREET,Grantham Street,30,10,1473981516000
18,GRANTHAM STREET,Grantham Street,30,10,1473981516000
18,GRANTHAM STREET,Grantham Street,30,10,1473982120000
18,GRANTHAM STREET,Grantham Street,30,9,1473982308000
18,GRANTHAM STREET,Grantham Street,30,8,1473982689000
18,GRANTHAM STREET,Grantham Street,30,8,1473982689000
18,GRANTHAM STREET,Grantham Street,30,8,1473983293000
18,GRANTHAM STREET,Grantham Street,30,8,1473983293000
18,GRANTHAM STREET,Grantham Street,30,8,1473983897000
18,GRANTHAM STREET,Grantham Street,30,8,1473983897000
18,GRANTHAM STREET,Grantham Street,30,8,1473984501000
18,GRANTHAM STREET,Grantham Street,30,8,1473984501000
18,GRANTHAM STREET,Grantham Street,30,8,1473985106000
18,GRANTHAM STREET,Grantham Street,30,8,1473985106000
18,GRANTHAM STREET,Grantham Street,30,8,1473985710000
18,GRANTHAM STREET,Grantham Street,30,8,1473985710000
18,GRANTHAM STREET,Grantham Street,30,8,1473986316000
18,GRANTHAM STREET,Grantham Street,30,8,1473986316000
18,GRANTHAM STREET,Grantham Street,30,8,1473986921000
18,GRANTHAM STREET,Grantham Street,30,8,1473986921000
18,GRANTHAM STREET,Grantham Street,30,8,1473987525000
18,GRANTHAM STREET,Grantham Street,30,8,1473987525000
18,GRANTHAM STREET,Grantham Street,30,8,1473988130000
18,GRANTHAM STREET,Grantham Street,30,8,1473988130000
18,GRANTHAM STREET,Grantham Street,30,8,1473988734000
18,GRANTHAM STREET,Grantham Street,30,8,1473988734000
18,GRANTHAM STREET,Grantham Street,30,8,1473989338000
18,GRANTHAM STREET,Grantham Street,30,8,1473989338000
18,GRANTHAM STREET,Grantham Street,30,8,1473989943000
18,GRANTHAM STREET,Grantham Street,30,8,1473989943000
18,GRANTHAM STREET,Grantham Street,30,8,1473990498000
18,GRANTHAM STREET,Grantham Street,30,8,1473990869000
18,GRANTHAM STREET,Grantham Street,30,8,1473990869000
18,GRANTHAM STREET,Grantham Street,30,8,1473991473000
18,GRANTHAM STREET,Grantham Street,30,8,1473991473000
18,GRANTHAM STREET,Grantham Street,30,8,1473992077000
18,GRANTHAM STREET,Grantham Street,30,8,1473992077000
18,GRANTHAM STREET,Grantham Street,30,8,1473992682000
18,GRANTHAM STREET,Grantham Street,30,8,1473992682000
18,GRANTHAM STREET,Grantham Street,30,8,1473993286000
18,GRANTHAM STREET,Grantham Street,30,8,1473993286000
18,GRANTHAM STREET,Grantham Street,30,8,1473993890000
18,GRANTHAM STREET,Grantham Street,30,8,1473993890000
18,GRANTHAM STREET,Grantham Street,30,8,1473994495000
18,GRANTHAM STREET,Grantham Street,30,8,1473994495000
18,GRANTHAM STREET,Grantham Street,30,8,1473995098000
18,GRANTHAM STREET,Grantham Street,30,8,1473995098000
18,GRANTHAM STREET,Grantham Street,30,8,1473995702000
18,GRANTHAM STREET,Grantham Street,30,8,1473995702000
18,GRANTHAM STREET,Grantham Street,30,8,1473996311000
18,GRANTHAM STREET,Grantham Street,30,8,1473996311000
18,GRANTHAM STREET,Grantham Street,30,8,1473996915000
18,GRANTHAM STREET,Grantham Street,30,8,1473996915000
18,GRANTHAM STREET,Grantham Street,30,8,1473996915000
18,GRANTHAM STREET,Grantham Street,30,8,1473997519000
18,GRANTHAM STREET,Grantham Street,30,8,1473997519000
18,GRANTHAM STREET,Grantham Street,30,8,1473998123000
18,GRANTHAM STREET,Grantham Street,30,8,1473998429000
18,GRANTHAM STREET,Grantham Street,30,8,1473998429000
18,GRANTHAM STREET,Grantham Street,30,8,1473999033000
18,GRANTHAM STREET,Grantham Street,30,8,1473999033000
18,GRANTHAM STREET,Grantham Street,30,8,1473999637000
18,GRANTHAM STREET,Grantham Street,30,8,1474000158000
18,GRANTHAM STREET,Grantham Street,30,14,1474000378000
18,GRANTHAM STREET,Grantham Street,30,15,1474000763000
18,GRANTHAM STREET,Grantham Street,30,15,1474000763000
18,GRANTHAM STREET,Grantham Street,30,15,1474001367000
18,GRANTHAM STREET,Grantham Street,30,14,1474001686000
18,GRANTHAM STREET,Grantham Street,30,14,1474001686000
18,GRANTHAM STREET,Grantham Street,30,14,1474002291000
18,GRANTHAM STREET,Grantham Street,30,15,1474002367000
18,GRANTHAM STREET,Grantham Street,30,15,1474002367000
18,GRANTHAM STREET,Grantham Street,30,15,1474003195000
18,GRANTHAM STREET,Grantham Street,30,15,1474003507000
18,GRANTHAM STREET,Grantham Street,30,15,1474003507000
18,GRANTHAM STREET,Grantham Street,30,15,1474004115000
18,GRANTHAM STREET,Grantham Street,30,15,1474004115000
18,GRANTHAM STREET,Grantham Street,30,14,1474004692000
18,GRANTHAM STREET,Grantham Street,30,15,1474004938000
18,GRANTHAM STREET,Grantham Street,30,15,1474005238000
18,GRANTHAM STREET,Grantham Street,30,16,1474005576000
18,GRANTHAM STREET,Grantham Street,30,16,1474005905000
18,GRANTHAM STREET,Grantham Street,30,17,1474006208000
18,GRANTHAM STREET,Grantham Street,30,17,1474006516000
18,GRANTHAM STREET,Grantham Street,30,18,1474006518000
18,GRANTHAM STREET,Grantham Street,30,17,1474007072000
18,GRANTHAM STREET,Grantham Street,30,18,1474007476000
18,GRANTHAM STREET,Grantham Street,30,18,1474007652000
18,GRANTHAM STREET,Grantham Street,30,18,1474008043000
18,GRANTHAM STREET,Grantham Street,30,20,1474008346000
18,GRANTHAM STREET,Grantham Street,30,20,1474008676000
18,GRANTHAM STREET,Grantham Street,30,19,1474008961000
18,GRANTHAM STREET,Grantham Street,30,20,1474009258000
18,GRANTHAM STREET,Grantham Street,30,23,1474009575000
18,GRANTHAM STREET,Grantham Street,30,23,1474009847000
18,GRANTHAM STREET,Grantham Street,30,25,1474010136000
18,GRANTHAM STREET,Grantham Street,30,29,1474010445000
18,GRANTHAM STREET,Grantham Street,30,28,1474010751000
18,GRANTHAM STREET,Grantham Street,30,28,1474011065000
18,GRANTHAM STREET,Grantham Street,30,27,1474011351000
18,GRANTHAM STREET,Grantham Street,30,28,1474011676000
18,GRANTHAM STREET,Grantham Street,30,28,1474011959000
18,GRANTHAM STREET,Grantham Street,30,28,1474012267000
18,GRANTHAM STREET,Grantham Street,30,29,1474012509000
18,GRANTHAM STREET,Grantham Street,30,29,1474012859000
18,GRANTHAM STREET,Grantham Street,30,26,1474013173000
18,GRANTHAM STREET,Grantham Street,30,24,1474013449000
18,GRANTHAM STREET,Grantham Street,30,26,1474013743000
18,GRANTHAM STREET,Grantham Street,30,26,1474014076000
18,GRANTHAM STREET,Grantham Street,30,24,1474014352000
18,GRANTHAM STREET,Grantham Street,30,24,1474014633000
18,GRANTHAM STREET,Grantham Street,30,28,1474014976000
18,GRANTHAM STREET,Grantham Street,30,28,1474015261000
18,GRANTHAM STREET,Grantham Street,30,29,1474015289000
18,GRANTHAM STREET,Grantham Street,30,29,1474015802000
18,GRANTHAM STREET,Grantham Street,30,27,1474016132000
18,GRANTHAM STREET,Grantham Street,30,29,1474016440000
18,GRANTHAM STREET,Grantham Street,30,29,1474016632000
18,GRANTHAM STREET,Grantham Street,30,28,1474017058000
18,GRANTHAM STREET,Grantham Street,30,29,1474017334000
18,GRANTHAM STREET,Grantham Street,30,29,1474017334000
18,GRANTHAM STREET,Grantham Street,30,29,1474017962000
18,GRANTHAM STREET,Grantham Street,30,29,1474018132000
18,GRANTHAM STREET,Grantham Street,30,29,1474018132000
18,GRANTHAM STREET,Grantham Street,30,28,1474018860000
18,GRANTHAM STREET,Grantham Street,30,25,1474019155000
18,GRANTHAM STREET,Grantham Street,30,24,1474019257000
18,GRANTHAM STREET,Grantham Street,30,25,1474019754000
18,GRANTHAM STREET,Grantham Street,30,24,1474019906000
18,GRANTHAM STREET,Grantham Street,30,24,1474020263000
18,GRANTHAM STREET,Grantham Street,30,25,1474020646000
18,GRANTHAM STREET,Grantham Street,30,26,1474020832000
18,GRANTHAM STREET,Grantham Street,30,25,1474021274000
18,GRANTHAM STREET,Grantham Street,30,26,1474021449000
18,GRANTHAM STREET,Grantham Street,30,25,1474021855000
18,GRANTHAM STREET,Grantham Street,30,27,1474022153000
18,GRANTHAM STREET,Grantham Street,30,29,1474022453000
18,GRANTHAM STREET,Grantham Street,30,29,1474022760000
18,GRANTHAM STREET,Grantham Street,30,29,1474022805000
18,GRANTHAM STREET,Grantham Street,30,29,1474023231000
18,GRANTHAM STREET,Grantham Street,30,29,1474023527000
18,GRANTHAM STREET,Grantham Street,30,29,1474023900000
18,GRANTHAM STREET,Grantham Street,30,29,1474024200000
18,GRANTHAM STREET,Grantham Street,30,29,1474024200000
18,GRANTHAM STREET,Grantham Street,30,29,1474024848000
18,GRANTHAM STREET,Grantham Street,30,27,1474025178000
18,GRANTHAM STREET,Grantham Street,30,30,1474025365000
18,GRANTHAM STREET,Grantham Street,30,29,1474025675000
18,GRANTHAM STREET,Grantham Street,30,29,1474025675000
18,GRANTHAM STREET,Grantham Street,30,30,1474026207000
18,GRANTHAM STREET,Grantham Street,30,29,1474026620000
18,GRANTHAM STREET,Grantham Street,30,29,1474026897000
18,GRANTHAM STREET,Grantham Street,30,28,1474027126000
18,GRANTHAM STREET,Grantham Street,30,28,1474027574000
18,GRANTHAM STREET,Grantham Street,30,28,1474027682000
18,GRANTHAM STREET,Grantham Street,30,26,1474028170000
18,GRANTHAM STREET,Grantham Street,30,30,1474028348000
18,GRANTHAM STREET,Grantham Street,30,28,1474028777000
18,GRANTHAM STREET,Grantham Street,30,30,1474029075000
18,GRANTHAM STREET,Grantham Street,30,30,1474029338000
18,GRANTHAM STREET,Grantham Street,30,29,1474029610000
18,GRANTHAM STREET,Grantham Street,30,27,1474029959000
18,GRANTHAM STREET,Grantham Street,30,30,1474030277000
18,GRANTHAM STREET,Grantham Street,30,27,1474030541000
18,GRANTHAM STREET,Grantham Street,30,28,1474030614000
18,GRANTHAM STREET,Grantham Street,30,26,1474031087000
18,GRANTHAM STREET,Grantham Street,30,28,1474031305000
18,GRANTHAM STREET,Grantham Street,30,30,1474031706000
18,GRANTHAM STREET,Grantham Street,30,30,1474031706000
18,GRANTHAM STREET,Grantham Street,30,30,1474032310000
18,GRANTHAM STREET,Grantham Street,30,29,1474032475000
18,GRANTHAM STREET,Grantham Street,30,29,1474032951000
18,GRANTHAM STREET,Grantham Street,30,30,1474032990000
18,GRANTHAM STREET,Grantham Street,30,28,1474033489000
18,GRANTHAM STREET,Grantham Street,30,27,1474033827000
18,GRANTHAM STREET,Grantham Street,30,29,1474034144000
18,GRANTHAM STREET,Grantham Street,30,30,1474034301000
18,GRANTHAM STREET,Grantham Street,30,29,1474034690000
18,GRANTHAM STREET,Grantham Street,30,30,1474034826000
18,GRANTHAM STREET,Grantham Street,30,29,1474035373000
18,GRANTHAM STREET,Grantham Street,30,29,1474035373000
18,GRANTHAM STREET,Grantham Street,30,27,1474035947000
18,GRANTHAM STREET,Grantham Street,30,27,1474035947000
18,GRANTHAM STREET,Grantham Street,30,25,1474036473000
18,GRANTHAM STREET,Grantham Street,30,23,1474036717000
18,GRANTHAM STREET,Grantham Street,30,22,1474036998000
18,GRANTHAM STREET,Grantham Street,30,21,1474037435000
18,GRANTHAM STREET,Grantham Street,30,21,1474037435000
18,GRANTHAM STREET,Grantham Street,30,21,1474038066000
18,GRANTHAM STREET,Grantham Street,30,24,1474038351000
18,GRANTHAM STREET,Grantham Street,30,27,1474038544000
18,GRANTHAM STREET,Grantham Street,30,27,1474038942000
18,GRANTHAM STREET,Grantham Street,30,28,1474039218000
18,GRANTHAM STREET,Grantham Street,30,25,1474039560000
18,GRANTHAM STREET,Grantham Street,30,24,1474039825000
18,GRANTHAM STREET,Grantham Street,30,22,1474040073000
18,GRANTHAM STREET,Grantham Street,30,20,1474040320000
18,GRANTHAM STREET,Grantham Street,30,23,1474040741000
18,GRANTHAM STREET,Grantham Street,30,23,1474041055000
18,GRANTHAM STREET,Grantham Street,30,26,1474041361000
18,GRANTHAM STREET,Grantham Street,30,29,1474041638000
18,GRANTHAM STREET,Grantham Street,30,29,1474041959000
18,GRANTHAM STREET,Grantham Street,30,30,1474042163000
18,GRANTHAM STREET,Grantham Street,30,30,1474042546000
