number,name,address,bike_stands,available_bike_stands,last_update
4,GREEK STREET,Greek Street,20,16,1474376417000
4,GREEK STREET,Greek Street,20,16,1474376704000
4,GREEK STREET,Greek Street,20,16,1474376704000
4,GREEK STREET,Greek Street,20,17,1474377353000
4,GREEK STREET,Greek Street,20,17,1474377523000
4,GREEK STREET,Greek Street,20,16,1474377686000
4,GREEK STREET,Greek Street,20,16,1474378100000
4,GREEK STREET,Greek Street,20,17,1474378446000
4,GREEK STREET,Greek Street,20,17,1474378446000
4,GREEK STREET,Greek Street,20,17,1474379184000
4,GREEK STREET,Greek Street,20,18,1474379235000
4,GREEK STREET,Greek Street,20,18,1474379235000
4,GREEK STREET,Greek Street,20,18,1474379838000
4,GREEK STREET,Greek Street,20,18,1474379838000
4,GREEK STREET,Greek Street,20,18,1474380442000
4,GREEK STREET,Greek Street,20,18,1474380442000
4,GREEK STREET,Greek Street,20,18,1474381046000
4,GREEK STREET,Greek Street,20,17,1474381571000
4,GREEK STREET,Greek Street,20,17,1474381571000
4,GREEK STREET,Greek Street,20,18,1474382075000
4,GREEK STREET,Greek Street,20,17,1474382399000
4,GREEK STREET,Greek Street,20,16,1474382494000
4,GREEK STREET,Greek Street,20,16,1474382494000
4,GREEK STREET,Greek Street,20,1,1473979900000
4,GREEK STREET,Greek Street,20,0,1473980577000
4,GREEK STREET,Greek Street,20,0,1473980577000
4,GREEK STREET,Greek Street,20,2,1473981260000
4,GREEK STREET,Greek Street,20,2,1473981260000
4,GREEK STREET,Greek Street,20,3,1473981872000
4,GREEK STREET,Greek Street,20,5,1473982216000
4,GREEK STREET,Greek Street,20,5,1473982322000
4,GREEK STREET,Greek Street,20,4,1473982719000
4,GREEK STREET,Greek Street,20,4,1473982719000
4,GREEK STREET,Greek Street,20,4,1473983323000
4,GREEK STREET,Greek Street,20,4,1473983323000
4,GREEK STREET,Greek Street,20,4,1473983927000
4,GREEK STREET,Greek Street,20,4,1473983927000
4,GREEK STREET,Greek Street,20,4,1473984530000
4,GREEK STREET,Greek Street,20,4,1473984530000
4,GREEK STREET,Greek Street,20,4,1473985134000
4,GREEK STREET,Greek Street,20,4,1473985134000
4,GREEK STREET,Greek Street,20,4,1473985738000
4,GREEK STREET,Greek Street,20,4,1473985738000
4,GREEK STREET,Greek Street,20,4,1473986343000
4,GREEK STREET,Greek Street,20,4,1473986343000
4,GREEK STREET,Greek Street,20,4,1473986946000
4,GREEK STREET,Greek Street,20,4,1473986946000
4,GREEK STREET,Greek Street,20,4,1473987550000
4,GREEK STREET,Greek Street,20,4,1473987550000
4,GREEK STREET,Greek Street,20,4,1473988155000
4,GREEK STREET,Greek Street,20,4,1473988155000
4,GREEK STREET,Greek Street,20,4,1473988759000
4,GREEK STREET,Greek Street,20,4,1473988759000
4,GREEK STREET,Greek Street,20,4,1473989362000
4,GREEK STREET,Greek Street,20,4,1473989657000
4,GREEK STREET,Greek Street,20,4,1473989900000
4,GREEK STREET,Greek Street,20,4,1473989900000
4,GREEK STREET,Greek Street,20,4,1473990503000
4,GREEK STREET,Greek Street,20,4,1473990503000
4,GREEK STREET,Greek Street,20,4,1473991107000
4,GREEK STREET,Greek Street,20,4,1473991107000
4,GREEK STREET,Greek Street,20,4,1473991710000
4,GREEK STREET,Greek Street,20,4,1473991710000
4,GREEK STREET,Greek Street,20,4,1473992314000
4,GREEK STREET,Greek Street,20,4,1473992314000
4,GREEK STREET,Greek Street,20,4,1473992918000
4,GREEK STREET,Greek Street,20,4,1473992918000
4,GREEK STREET,Greek Street,20,4,1473993522000
4,GREEK STREET,Greek Street,20,4,1473993522000
4,GREEK STREET,Greek Street,20,4,1473994125000
4,GREEK STREET,Greek Street,20,4,1473994125000
4,GREEK STREET,Greek Street,20,4,1473994729000
4,GREEK STREET,Greek Street,20,4,1473994729000
4,GREEK STREET,Greek Street,20,4,1473995332000
4,GREEK STREET,Greek Street,20,4,1473995332000
4,GREEK STREET,Greek Street,20,4,1473995937000
4,GREEK STREET,Greek Street,20,4,1473995937000
4,GREEK STREET,Greek Street,20,4,1473996541000
4,GREEK STREET,Greek Street,20,4,1473996541000
4,GREEK STREET,Greek Street,20,4,1473997146000
4,GREEK STREET,Greek Street,20,4,1473997146000
4,GREEK STREET,Greek Street,20,4,1473997749000
4,GREEK STREET,Greek Street,20,4,1473997749000
4,GREEK STREET,Greek Street,20,4,1473998354000
4,GREEK STREET,Greek Street,20,4,1473998423000
4,GREEK STREET,Greek Street,20,3,1473998941000
4,GREEK STREET,Greek Street,20,3,1473998941000
4,GREEK STREET,Greek Street,20,3,1473999598000
4,GREEK STREET,Greek Street,20,4,1473999623000
4,GREEK STREET,Greek Street,20,4,1473999623000
4,GREEK STREET,Greek Street,20,4,1474000227000
4,GREEK STREET,Greek Street,20,4,1474000227000
