number,name,address,bike_stands,available_bike_stands,last_update
49,GUILD STREET,Guild Street,40,33,1474376269000
49,GUILD STREET,Guild Street,40,32,1474376731000
49,GUILD STREET,Guild Street,40,31,1474376828000
49,GUILD STREET,Guild Street,40,31,1474376828000
49,GUILD STREET,Guild Street,40,31,1474377432000
49,GUILD STREET,Guild Street,40,31,1474377814000
49,GUILD STREET,Guild Street,40,33,1474378084000
49,GUILD STREET,Guild Street,40,33,1474378084000
49,GUILD STREET,Guild Street,40,34,1474378778000
49,GUILD STREET,Guild Street,40,34,1474378778000
49,GUILD STREET,Guild Street,40,35,1474379483000
49,GUILD STREET,Guild Street,40,36,1474379508000
49,GUILD STREET,Guild Street,40,36,1474379508000
49,GUILD STREET,Guild Street,40,36,1474380178000
49,GUILD STREET,Guild Street,40,36,1474380178000
49,GUILD STREET,Guild Street,40,38,1474380972000
49,GUILD STREET,Guild Street,40,38,1474380972000
49,GUILD STREET,Guild Street,40,38,1474381576000
49,GUILD STREET,Guild Street,40,39,1474381805000
49,GUILD STREET,Guild Street,40,40,1474382087000
49,GUILD STREET,Guild Street,40,40,1474382087000
49,GUILD STREET,Guild Street,40,39,1474382754000
49,GUILD STREET,Guild Street,40,40,1474382941000
49,GUILD STREET,Guild Street,40,38,1473979883000
49,GUILD STREET,Guild Street,40,38,1473980487000
49,GUILD STREET,Guild Street,40,38,1473981066000
49,GUILD STREET,Guild Street,40,39,1473981113000
49,GUILD STREET,Guild Street,40,39,1473981113000
49,GUILD STREET,Guild Street,40,39,1473981717000
49,GUILD STREET,Guild Street,40,39,1473981717000
49,GUILD STREET,Guild Street,40,39,1473982338000
49,GUILD STREET,Guild Street,40,39,1473982338000
49,GUILD STREET,Guild Street,40,39,1473982942000
49,GUILD STREET,Guild Street,40,39,1473982942000
49,GUILD STREET,Guild Street,40,39,1473983546000
49,GUILD STREET,Guild Street,40,39,1473983546000
49,GUILD STREET,Guild Street,40,39,1473984150000
49,GUILD STREET,Guild Street,40,39,1473984150000
49,GUILD STREET,Guild Street,40,39,1473984754000
49,GUILD STREET,Guild Street,40,39,1473984754000
49,GUILD STREET,Guild Street,40,39,1473985358000
49,GUILD STREET,Guild Street,40,39,1473985358000
49,GUILD STREET,Guild Street,40,39,1473985962000
49,GUILD STREET,Guild Street,40,39,1473985962000
49,GUILD STREET,Guild Street,40,39,1473986566000
49,GUILD STREET,Guild Street,40,39,1473986566000
49,GUILD STREET,Guild Street,40,39,1473987170000
49,GUILD STREET,Guild Street,40,39,1473987170000
49,GUILD STREET,Guild Street,40,39,1473987774000
49,GUILD STREET,Guild Street,40,39,1473987774000
49,GUILD STREET,Guild Street,40,39,1473988379000
49,GUILD STREET,Guild Street,40,39,1473988379000
49,GUILD STREET,Guild Street,40,39,1473988983000
49,GUILD STREET,Guild Street,40,39,1473988983000
49,GUILD STREET,Guild Street,40,39,1473989588000
49,GUILD STREET,Guild Street,40,39,1473989588000
49,GUILD STREET,Guild Street,40,39,1473990192000
49,GUILD STREET,Guild Street,40,39,1473990192000
49,GUILD STREET,Guild Street,40,39,1473990797000
49,GUILD STREET,Guild Street,40,39,1473990797000
49,GUILD STREET,Guild Street,40,39,1473991401000
49,GUILD STREET,Guild Street,40,39,1473991401000
49,GUILD STREET,Guild Street,40,39,1473992004000
49,GUILD STREET,Guild Street,40,39,1473992344000
49,GUILD STREET,Guild Street,40,39,1473992617000
49,GUILD STREET,Guild Street,40,39,1473992617000
49,GUILD STREET,Guild Street,40,39,1473993222000
49,GUILD STREET,Guild Street,40,39,1473993222000
49,GUILD STREET,Guild Street,40,39,1473993826000
49,GUILD STREET,Guild Street,40,39,1473993826000
49,GUILD STREET,Guild Street,40,39,1473994431000
49,GUILD STREET,Guild Street,40,39,1473994431000
49,GUILD STREET,Guild Street,40,39,1473995035000
49,GUILD STREET,Guild Street,40,39,1473995035000
49,GUILD STREET,Guild Street,40,39,1473995640000
49,GUILD STREET,Guild Street,40,39,1473995640000
49,GUILD STREET,Guild Street,40,39,1473996244000
49,GUILD STREET,Guild Street,40,39,1473996244000
49,GUILD STREET,Guild Street,40,39,1473996849000
49,GUILD STREET,Guild Street,40,39,1473996849000
49,GUILD STREET,Guild Street,40,39,1473997453000
49,GUILD STREET,Guild Street,40,39,1473997453000
49,GUILD STREET,Guild Street,40,39,1473998058000
49,GUILD STREET,Guild Street,40,39,1473998430000
49,GUILD STREET,Guild Street,40,39,1473998430000
49,GUILD STREET,Guild Street,40,39,1473999034000
49,GUILD STREET,Guild Street,40,39,1473999034000
49,GUILD STREET,Guild Street,40,39,1473999638000
49,GUILD STREET,Guild Street,40,39,1473999638000
49,GUILD STREET,Guild Street,40,38,1474000133000
49,GUILD STREET,Guild Street,40,38,1474000133000
49,GUILD STREET,Guild Street,40,38,1474000737000
49,GUILD STREET,Guild Street,40,38,1474000737000
49,GUILD STREET,Guild Street,40,38,1474001341000
49,GUILD STREET,Guild Street,40,37,1474001670000
49,GUILD STREET,Guild Street,40,36,1474001845000
49,GUILD STREET,Guild Street,40,36,1474001845000
49,GUILD STREET,Guild Street,40,37,1474002642000
49,GUILD STREET,Guild Street,40,36,1474002904000
49,GUILD STREET,Guild Street,40,36,1474002904000
49,GUILD STREET,Guild Street,40,36,1474003509000
49,GUILD STREET,Guild Street,40,36,1474003509000
49,GUILD STREET,Guild Street,40,36,1474004112000
49,GUILD STREET,Guild Street,40,36,1474004451000
49,GUILD STREET,Guild Street,40,36,1474004451000
49,GUILD STREET,Guild Street,40,36,1474005057000
49,GUILD STREET,Guild Street,40,37,1474005205000
49,GUILD STREET,Guild Street,40,39,1474005665000
49,GUILD STREET,Guild Street,40,39,1474005665000
49,GUILD STREET,Guild Street,40,40,1474006200000
49,GUILD STREET,Guild Street,40,40,1474006200000
49,GUILD STREET,Guild Street,40,39,1474006831000
49,GUILD STREET,Guild Street,40,40,1474007034000
49,GUILD STREET,Guild Street,40,40,1474007538000
49,GUILD STREET,Guild Street,40,40,1474007763000
49,GUILD STREET,Guild Street,40,36,1474008010000
49,GUILD STREET,Guild Street,40,40,1474008356000
49,GUILD STREET,Guild Street,40,39,1474008728000
49,GUILD STREET,Guild Street,40,38,1474009034000
49,GUILD STREET,Guild Street,40,40,1474009276000
49,GUILD STREET,Guild Street,40,38,1474009627000
49,GUILD STREET,Guild Street,40,40,1474009923000
49,GUILD STREET,Guild Street,40,40,1474010167000
49,GUILD STREET,Guild Street,40,40,1474010523000
49,GUILD STREET,Guild Street,40,38,1474010840000
49,GUILD STREET,Guild Street,40,40,1474011129000
49,GUILD STREET,Guild Street,40,39,1474011439000
49,GUILD STREET,Guild Street,40,38,1474011739000
49,GUILD STREET,Guild Street,40,37,1474012039000
49,GUILD STREET,Guild Street,40,39,1474012334000
49,GUILD STREET,Guild Street,40,33,1474012640000
49,GUILD STREET,Guild Street,40,38,1474012911000
49,GUILD STREET,Guild Street,40,40,1474013200000
49,GUILD STREET,Guild Street,40,37,1474013542000
49,GUILD STREET,Guild Street,40,40,1474013610000
49,GUILD STREET,Guild Street,40,36,1474014109000
49,GUILD STREET,Guild Street,40,31,1474014410000
49,GUILD STREET,Guild Street,40,28,1474014572000
49,GUILD STREET,Guild Street,40,27,1474014928000
49,GUILD STREET,Guild Street,40,28,1474015338000
49,GUILD STREET,Guild Street,40,32,1474015639000
49,GUILD STREET,Guild Street,40,34,1474015938000
49,GUILD STREET,Guild Street,40,34,1474016201000
49,GUILD STREET,Guild Street,40,34,1474016201000
49,GUILD STREET,Guild Street,40,35,1474016776000
49,GUILD STREET,Guild Street,40,34,1474016967000
49,GUILD STREET,Guild Street,40,35,1474017424000
49,GUILD STREET,Guild Street,40,37,1474017563000
49,GUILD STREET,Guild Street,40,37,1474017563000
49,GUILD STREET,Guild Street,40,34,1474018226000
49,GUILD STREET,Guild Street,40,34,1474018226000
49,GUILD STREET,Guild Street,40,34,1474018831000
49,GUILD STREET,Guild Street,40,34,1474018831000
49,GUILD STREET,Guild Street,40,34,1474019436000
49,GUILD STREET,Guild Street,40,33,1474019588000
49,GUILD STREET,Guild Street,40,33,1474019588000
49,GUILD STREET,Guild Street,40,33,1474020373000
49,GUILD STREET,Guild Street,40,32,1474020586000
49,GUILD STREET,Guild Street,40,32,1474020586000
49,GUILD STREET,Guild Street,40,33,1474021335000
49,GUILD STREET,Guild Street,40,33,1474021592000
49,GUILD STREET,Guild Street,40,34,1474021911000
49,GUILD STREET,Guild Street,40,34,1474021911000
49,GUILD STREET,Guild Street,40,34,1474022515000
49,GUILD STREET,Guild Street,40,34,1474022515000
49,GUILD STREET,Guild Street,40,34,1474023120000
49,GUILD STREET,Guild Street,40,33,1474023217000
49,GUILD STREET,Guild Street,40,33,1474023217000
49,GUILD STREET,Guild Street,40,34,1474024015000
49,GUILD STREET,Guild Street,40,34,1474024015000
49,GUILD STREET,Guild Street,40,33,1474024547000
49,GUILD STREET,Guild Street,40,33,1474024547000
49,GUILD STREET,Guild Street,40,34,1474025034000
49,GUILD STREET,Guild Street,40,35,1474025404000
49,GUILD STREET,Guild Street,40,34,1474025802000
49,GUILD STREET,Guild Street,40,33,1474025861000
49,GUILD STREET,Guild Street,40,33,1474026309000
49,GUILD STREET,Guild Street,40,34,1474026703000
49,GUILD STREET,Guild Street,40,33,1474026824000
49,GUILD STREET,Guild Street,40,36,1474027335000
49,GUILD STREET,Guild Street,40,36,1474027600000
49,GUILD STREET,Guild Street,40,33,1474027898000
49,GUILD STREET,Guild Street,40,36,1474028213000
49,GUILD STREET,Guild Street,40,32,1474028493000
49,GUILD STREET,Guild Street,40,30,1474028725000
49,GUILD STREET,Guild Street,40,29,1474029104000
49,GUILD STREET,Guild Street,40,30,1474029340000
49,GUILD STREET,Guild Street,40,31,1474029696000
49,GUILD STREET,Guild Street,40,31,1474029953000
49,GUILD STREET,Guild Street,40,29,1474030095000
49,GUILD STREET,Guild Street,40,30,1474030524000
49,GUILD STREET,Guild Street,40,31,1474030893000
49,GUILD STREET,Guild Street,40,30,1474031080000
49,GUILD STREET,Guild Street,40,28,1474031530000
49,GUILD STREET,Guild Street,40,28,1474031530000
49,GUILD STREET,Guild Street,40,28,1474032135000
49,GUILD STREET,Guild Street,40,29,1474032302000
49,GUILD STREET,Guild Street,40,29,1474032302000
49,GUILD STREET,Guild Street,40,27,1474032966000
49,GUILD STREET,Guild Street,40,26,1474033108000
49,GUILD STREET,Guild Street,40,27,1474033596000
49,GUILD STREET,Guild Street,40,28,1474033790000
49,GUILD STREET,Guild Street,40,27,1474034182000
49,GUILD STREET,Guild Street,40,26,1474034521000
49,GUILD STREET,Guild Street,40,28,1474034716000
49,GUILD STREET,Guild Street,40,28,1474034997000
49,GUILD STREET,Guild Street,40,30,1474035440000
49,GUILD STREET,Guild Street,40,28,1474035652000
49,GUILD STREET,Guild Street,40,26,1474036013000
49,GUILD STREET,Guild Street,40,26,1474036013000
49,GUILD STREET,Guild Street,40,26,1474036517000
49,GUILD STREET,Guild Street,40,23,1474036869000
49,GUILD STREET,Guild Street,40,21,1474037233000
49,GUILD STREET,Guild Street,40,22,1474037507000
49,GUILD STREET,Guild Street,40,22,1474037839000
49,GUILD STREET,Guild Street,40,18,1474037991000
49,GUILD STREET,Guild Street,40,18,1474037991000
49,GUILD STREET,Guild Street,40,19,1474038713000
49,GUILD STREET,Guild Street,40,21,1474039035000
49,GUILD STREET,Guild Street,40,18,1474039198000
49,GUILD STREET,Guild Street,40,21,1474039626000
49,GUILD STREET,Guild Street,40,20,1474039917000
49,GUILD STREET,Guild Street,40,22,1474040086000
49,GUILD STREET,Guild Street,40,20,1474040525000
49,GUILD STREET,Guild Street,40,22,1474040841000
49,GUILD STREET,Guild Street,40,22,1474041099000
49,GUILD STREET,Guild Street,40,19,1474041210000
49,GUILD STREET,Guild Street,40,21,1474041721000
49,GUILD STREET,Guild Street,40,20,1474042040000
49,GUILD STREET,Guild Street,40,17,1474042335000
49,GUILD STREET,Guild Street,40,23,1474042620000
49,GUILD STREET,Guild Street,40,22,1474042917000
49,GUILD STREET,Guild Street,40,22,1474043137000
49,GUILD STREET,Guild Street,40,21,1474043540000
49,GUILD STREET,Guild Street,40,28,1474043826000
49,GUILD STREET,Guild Street,40,27,1474044115000
49,GUILD STREET,Guild Street,40,30,1474044391000
49,GUILD STREET,Guild Street,40,33,1474044717000
49,GUILD STREET,Guild Street,40,39,1474045041000
49,GUILD STREET,Guild Street,40,36,1474045325000
49,GUILD STREET,Guild Street,40,37,1474045545000
49,GUILD STREET,Guild Street,40,36,1474045916000
49,GUILD STREET,Guild Street,40,36,1474046023000
49,GUILD STREET,Guild Street,40,36,1474046539000
49,GUILD STREET,Guild Street,40,39,1474046695000
49,GUILD STREET,Guild Street,40,37,1474047130000
49,GUILD STREET,Guild Street,40,40,1474047399000
49,GUILD STREET,Guild Street,40,38,1474047726000
49,GUILD STREET,Guild Street,40,36,1474047894000
49,GUILD STREET,Guild Street,40,35,1474048243000
49,GUILD STREET,Guild Street,40,37,1474048622000
49,GUILD STREET,Guild Street,40,37,1474048920000
49,GUILD STREET,Guild Street,40,34,1474049240000
49,GUILD STREET,Guild Street,40,38,1474049539000
49,GUILD STREET,Guild Street,40,39,1474049841000
49,GUILD STREET,Guild Street,40,38,1474050098000
49,GUILD STREET,Guild Street,40,40,1474050350000
49,GUILD STREET,Guild Street,40,40,1474050350000
49,GUILD STREET,Guild Street,40,40,1474050954000
49,GUILD STREET,Guild Street,40,38,1474051303000
49,GUILD STREET,Guild Street,40,38,1474051640000
49,GUILD STREET,Guild Street,40,40,1474051797000
49,GUILD STREET,Guild Street,40,40,1474051797000
49,GUILD STREET,Guild Street,40,39,1474052488000
49,GUILD STREET,Guild Street,40,40,1474052682000
49,GUILD STREET,Guild Street,40,39,1474053135000
49,GUILD STREET,Guild Street,40,40,1474053308000
49,GUILD STREET,Guild Street,40,40,1474053308000
49,GUILD STREET,Guild Street,40,39,1474054019000
49,GUILD STREET,Guild Street,40,40,1474054095000
49,GUILD STREET,Guild Street,40,40,1474054095000
49,GUILD STREET,Guild Street,40,40,1474054700000
49,GUILD STREET,Guild Street,40,40,1474054700000
49,GUILD STREET,Guild Street,40,39,1474055319000
49,GUILD STREET,Guild Street,40,38,1474055737000
49,GUILD STREET,Guild Street,40,40,1474056025000
49,GUILD STREET,Guild Street,40,40,1474056025000
49,GUILD STREET,Guild Street,40,40,1474056630000
49,GUILD STREET,Guild Street,40,40,1474056956000
49,GUILD STREET,Guild Street,40,40,1474056956000
49,GUILD STREET,Guild Street,40,40,1474057560000
49,GUILD STREET,Guild Street,40,40,1474057560000
49,GUILD STREET,Guild Street,40,39,1474058196000
49,GUILD STREET,Guild Street,40,39,1474058196000
49,GUILD STREET,Guild Street,40,39,1474058801000
49,GUILD STREET,Guild Street,40,40,1474058978000
49,GUILD STREET,Guild Street,40,40,1474058978000
49,GUILD STREET,Guild Street,40,38,1474059481000
49,GUILD STREET,Guild Street,40,38,1474059481000
49,GUILD STREET,Guild Street,40,39,1474060084000
49,GUILD STREET,Guild Street,40,40,1474060546000
49,GUILD STREET,Guild Street,40,40,1474060546000
49,GUILD STREET,Guild Street,40,40,1474061150000
49,GUILD STREET,Guild Street,40,40,1474061150000
49,GUILD STREET,Guild Street,40,40,1474061755000
49,GUILD STREET,Guild Street,40,40,1474061755000
49,GUILD STREET,Guild Street,40,40,1474062359000
49,GUILD STREET,Guild Street,40,40,1474062359000
49,GUILD STREET,Guild Street,40,40,1474062964000
49,GUILD STREET,Guild Street,40,39,1474063336000
49,GUILD STREET,Guild Street,40,40,1474063377000
49,GUILD STREET,Guild Street,40,40,1474063377000
49,GUILD STREET,Guild Street,40,40,1474063980000
49,GUILD STREET,Guild Street,40,39,1474064420000
49,GUILD STREET,Guild Street,40,38,1474064596000
49,GUILD STREET,Guild Street,40,39,1474064960000
49,GUILD STREET,Guild Street,40,39,1474064960000
49,GUILD STREET,Guild Street,40,37,1474065724000
49,GUILD STREET,Guild Street,40,36,1474065751000
49,GUILD STREET,Guild Street,40,37,1474066266000
49,GUILD STREET,Guild Street,40,38,1474066610000
49,GUILD STREET,Guild Street,40,28,1474585102000
49,GUILD STREET,Guild Street,40,27,1474585416000
49,GUILD STREET,Guild Street,40,27,1474585416000
49,GUILD STREET,Guild Street,40,27,1474586020000
49,GUILD STREET,Guild Street,40,27,1474586020000
49,GUILD STREET,Guild Street,40,28,1474586504000
49,GUILD STREET,Guild Street,40,30,1474586894000
