number,name,address,bike_stands,available_bike_stands,last_update
68,HANOVER QUAY,Hanover Quay,40,11,1474376435000
68,HANOVER QUAY,Hanover Quay,40,9,1474376740000
68,HANOVER QUAY,Hanover Quay,40,8,1474376919000
68,HANOVER QUAY,Hanover Quay,40,9,1474377300000
68,HANOVER QUAY,Hanover Quay,40,7,1474377526000
68,HANOVER QUAY,Hanover Quay,40,6,1474377710000
68,HANOVER QUAY,Hanover Quay,40,8,1474378137000
68,HANOVER QUAY,Hanover Quay,40,9,1474378326000
68,HANOVER QUAY,Hanover Quay,40,9,1474378847000
68,HANOVER QUAY,Hanover Quay,40,11,1474379146000
68,HANOVER QUAY,Hanover Quay,40,13,1474379395000
68,HANOVER QUAY,Hanover Quay,40,12,1474379718000
68,HANOVER QUAY,Hanover Quay,40,11,1474380052000
68,HANOVER QUAY,Hanover Quay,40,11,1474380316000
68,HANOVER QUAY,Hanover Quay,40,12,1474380675000
68,HANOVER QUAY,Hanover Quay,40,12,1474380675000
68,HANOVER QUAY,Hanover Quay,40,13,1474381274000
68,HANOVER QUAY,Hanover Quay,40,14,1474381310000
68,HANOVER QUAY,Hanover Quay,40,12,1474381840000
68,HANOVER QUAY,Hanover Quay,40,13,1474382131000
68,HANOVER QUAY,Hanover Quay,40,13,1474382131000
68,HANOVER QUAY,Hanover Quay,40,12,1474382524000
68,HANOVER QUAY,Hanover Quay,40,12,1474382524000
68,HANOVER QUAY,Hanover Quay,40,35,1473979984000
68,HANOVER QUAY,Hanover Quay,40,35,1473980589000
68,HANOVER QUAY,Hanover Quay,40,35,1473980589000
68,HANOVER QUAY,Hanover Quay,40,35,1473981192000
68,HANOVER QUAY,Hanover Quay,40,36,1473981540000
68,HANOVER QUAY,Hanover Quay,40,36,1473981540000
68,HANOVER QUAY,Hanover Quay,40,35,1473982196000
68,HANOVER QUAY,Hanover Quay,40,35,1473982336000
68,HANOVER QUAY,Hanover Quay,40,34,1473982794000
68,HANOVER QUAY,Hanover Quay,40,34,1473982794000
68,HANOVER QUAY,Hanover Quay,40,34,1473983398000
68,HANOVER QUAY,Hanover Quay,40,34,1473983398000
68,HANOVER QUAY,Hanover Quay,40,34,1473984002000
68,HANOVER QUAY,Hanover Quay,40,34,1473984002000
68,HANOVER QUAY,Hanover Quay,40,34,1473984606000
68,HANOVER QUAY,Hanover Quay,40,34,1473984606000
68,HANOVER QUAY,Hanover Quay,40,34,1473985211000
68,HANOVER QUAY,Hanover Quay,40,34,1473985211000
68,HANOVER QUAY,Hanover Quay,40,34,1473985815000
68,HANOVER QUAY,Hanover Quay,40,34,1473985815000
68,HANOVER QUAY,Hanover Quay,40,34,1473986420000
68,HANOVER QUAY,Hanover Quay,40,34,1473986420000
68,HANOVER QUAY,Hanover Quay,40,34,1473987023000
68,HANOVER QUAY,Hanover Quay,40,34,1473987023000
68,HANOVER QUAY,Hanover Quay,40,34,1473987628000
68,HANOVER QUAY,Hanover Quay,40,34,1473987628000
68,HANOVER QUAY,Hanover Quay,40,34,1473988232000
68,HANOVER QUAY,Hanover Quay,40,34,1473988232000
68,HANOVER QUAY,Hanover Quay,40,34,1473988837000
68,HANOVER QUAY,Hanover Quay,40,34,1473988837000
68,HANOVER QUAY,Hanover Quay,40,34,1473989441000
68,HANOVER QUAY,Hanover Quay,40,34,1473989441000
68,HANOVER QUAY,Hanover Quay,40,34,1473990046000
68,HANOVER QUAY,Hanover Quay,40,34,1473990046000
68,HANOVER QUAY,Hanover Quay,40,34,1473990649000
68,HANOVER QUAY,Hanover Quay,40,34,1473990649000
68,HANOVER QUAY,Hanover Quay,40,34,1473991254000
68,HANOVER QUAY,Hanover Quay,40,34,1473991254000
68,HANOVER QUAY,Hanover Quay,40,34,1473991858000
68,HANOVER QUAY,Hanover Quay,40,34,1473991858000
68,HANOVER QUAY,Hanover Quay,40,34,1473992463000
68,HANOVER QUAY,Hanover Quay,40,34,1473992463000
68,HANOVER QUAY,Hanover Quay,40,34,1473993066000
68,HANOVER QUAY,Hanover Quay,40,34,1473993379000
68,HANOVER QUAY,Hanover Quay,40,34,1473993606000
