number,name,address,bike_stands,available_bike_stands,last_update
15,HARDWICKE STREET,Hardwicke Street,16,14,1474376123000
15,HARDWICKE STREET,Hardwicke Street,16,15,1474376483000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474376884000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474376884000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474377489000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474377489000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474378093000
15,HARDWICKE STREET,Hardwicke Street,16,15,1474378311000
15,HARDWICKE STREET,Hardwicke Street,16,15,1474378311000
15,HARDWICKE STREET,Hardwicke Street,16,15,1474378916000
15,HARDWICKE STREET,Hardwicke Street,16,15,1474378916000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474379545000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474379976000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474379976000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474380580000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474380580000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474381184000
15,HARDWICKE STREET,Hardwicke Street,16,15,1474381463000
15,HARDWICKE STREET,Hardwicke Street,16,15,1474381463000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474382035000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474382035000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474382639000
15,HARDWICKE STREET,Hardwicke Street,16,16,1474382639000
15,HARDWICKE STREET,Hardwicke Street,16,5,1473980066000
15,HARDWICKE STREET,Hardwicke Street,16,4,1473980640000
15,HARDWICKE STREET,Hardwicke Street,16,4,1473980640000
15,HARDWICKE STREET,Hardwicke Street,16,4,1473981244000
15,HARDWICKE STREET,Hardwicke Street,16,3,1473981472000
15,HARDWICKE STREET,Hardwicke Street,16,2,1473981952000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473982209000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473982329000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473982329000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473982933000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473982933000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473983536000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473983536000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473984141000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473984141000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473984745000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473984745000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473985349000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473985349000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473985953000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473985953000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473986558000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473986558000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473987162000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473987162000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473987767000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473987767000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473988371000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473988371000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473988975000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473988975000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473989579000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473989579000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473990317000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473990497000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473990497000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473991102000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473991102000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473991705000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473991705000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473992309000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473992309000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473992913000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473992913000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473993517000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473993517000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473994120000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473994120000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473994724000
15,HARDWICKE STREET,Hardwicke Street,16,0,1473994724000
