number,name,address,bike_stands,available_bike_stands,last_update
55,HATCH STREET,Hatch Street,36,13,1474376347000
55,HATCH STREET,Hatch Street,36,14,1474376657000
55,HATCH STREET,Hatch Street,36,13,1474376934000
55,HATCH STREET,Hatch Street,36,13,1474376934000
55,HATCH STREET,Hatch Street,36,15,1474377533000
55,HATCH STREET,Hatch Street,36,13,1474377840000
55,HATCH STREET,Hatch Street,36,13,1474378047000
55,HATCH STREET,Hatch Street,36,15,1474378398000
55,HATCH STREET,Hatch Street,36,15,1474378398000
55,HATCH STREET,Hatch Street,36,15,1474379002000
55,HATCH STREET,Hatch Street,36,15,1474379002000
55,HATCH STREET,Hatch Street,36,15,1474379608000
55,HATCH STREET,Hatch Street,36,13,1474379981000
55,HATCH STREET,Hatch Street,36,12,1474380271000
55,HATCH STREET,Hatch Street,36,12,1474380271000
55,HATCH STREET,Hatch Street,36,12,1474380876000
55,HATCH STREET,Hatch Street,36,12,1474381184000
55,HATCH STREET,Hatch Street,36,11,1474381325000
55,HATCH STREET,Hatch Street,36,11,1474381325000
55,HATCH STREET,Hatch Street,36,11,1474381929000
55,HATCH STREET,Hatch Street,36,11,1474382383000
55,HATCH STREET,Hatch Street,36,14,1474382670000
55,HATCH STREET,Hatch Street,36,13,1474382874000
55,HATCH STREET,Hatch Street,36,36,1473980191000
55,HATCH STREET,Hatch Street,36,35,1473980640000
55,HATCH STREET,Hatch Street,36,35,1473980640000
55,HATCH STREET,Hatch Street,36,35,1473981244000
55,HATCH STREET,Hatch Street,36,35,1473981244000
55,HATCH STREET,Hatch Street,36,35,1473981847000
55,HATCH STREET,Hatch Street,36,35,1473981847000
55,HATCH STREET,Hatch Street,36,35,1473982332000
55,HATCH STREET,Hatch Street,36,35,1473982332000
55,HATCH STREET,Hatch Street,36,35,1473982937000
55,HATCH STREET,Hatch Street,36,35,1473982937000
55,HATCH STREET,Hatch Street,36,35,1473983541000
55,HATCH STREET,Hatch Street,36,35,1473983541000
