number,name,address,bike_stands,available_bike_stands,last_update
47,HERBERT STREET,Herbert Street,40,4,1474376358000
47,HERBERT STREET,Herbert Street,40,4,1474376358000
47,HERBERT STREET,Herbert Street,40,4,1474376962000
47,HERBERT STREET,Herbert Street,40,4,1474376962000
47,HERBERT STREET,Herbert Street,40,4,1474377567000
47,HERBERT STREET,Herbert Street,40,4,1474377567000
47,HERBERT STREET,Herbert Street,40,4,1474378171000
47,HERBERT STREET,Herbert Street,40,4,1474378500000
47,HERBERT STREET,Herbert Street,40,5,1474378802000
47,HERBERT STREET,Herbert Street,40,7,1474379108000
47,HERBERT STREET,Herbert Street,40,7,1474379406000
47,HERBERT STREET,Herbert Street,40,8,1474379623000
47,HERBERT STREET,Herbert Street,40,8,1474379623000
47,HERBERT STREET,Herbert Street,40,8,1474380227000
47,HERBERT STREET,Herbert Street,40,8,1474380548000
47,HERBERT STREET,Herbert Street,40,10,1474380881000
47,HERBERT STREET,Herbert Street,40,10,1474380881000
47,HERBERT STREET,Herbert Street,40,10,1474381486000
47,HERBERT STREET,Herbert Street,40,8,1474381646000
47,HERBERT STREET,Herbert Street,40,8,1474381646000
47,HERBERT STREET,Herbert Street,40,8,1474382372000
47,HERBERT STREET,Herbert Street,40,9,1474382521000
47,HERBERT STREET,Herbert Street,40,9,1474382521000
47,HERBERT STREET,Herbert Street,40,40,1473980371000
47,HERBERT STREET,Herbert Street,40,40,1473980371000
47,HERBERT STREET,Herbert Street,40,40,1473980975000
47,HERBERT STREET,Herbert Street,40,40,1473980975000
47,HERBERT STREET,Herbert Street,40,40,1473981578000
47,HERBERT STREET,Herbert Street,40,40,1473981578000
47,HERBERT STREET,Herbert Street,40,40,1473982182000
47,HERBERT STREET,Herbert Street,40,40,1473982380000
47,HERBERT STREET,Herbert Street,40,40,1473982380000
47,HERBERT STREET,Herbert Street,40,40,1473982984000
47,HERBERT STREET,Herbert Street,40,40,1473982984000
47,HERBERT STREET,Herbert Street,40,40,1473983588000
47,HERBERT STREET,Herbert Street,40,40,1473983588000
47,HERBERT STREET,Herbert Street,40,40,1473984192000
47,HERBERT STREET,Herbert Street,40,40,1473984192000
47,HERBERT STREET,Herbert Street,40,40,1473984796000
47,HERBERT STREET,Herbert Street,40,40,1473984796000
47,HERBERT STREET,Herbert Street,40,40,1473985401000
47,HERBERT STREET,Herbert Street,40,40,1473985401000
47,HERBERT STREET,Herbert Street,40,40,1473986006000
47,HERBERT STREET,Herbert Street,40,40,1473986006000
47,HERBERT STREET,Herbert Street,40,40,1473986611000
47,HERBERT STREET,Herbert Street,40,40,1473986611000
47,HERBERT STREET,Herbert Street,40,40,1473987215000
47,HERBERT STREET,Herbert Street,40,40,1473987215000
47,HERBERT STREET,Herbert Street,40,40,1473987819000
47,HERBERT STREET,Herbert Street,40,40,1473987819000
47,HERBERT STREET,Herbert Street,40,40,1473988423000
47,HERBERT STREET,Herbert Street,40,40,1473988423000
47,HERBERT STREET,Herbert Street,40,40,1473989026000
47,HERBERT STREET,Herbert Street,40,40,1473989026000
47,HERBERT STREET,Herbert Street,40,40,1473989630000
47,HERBERT STREET,Herbert Street,40,40,1473989630000
47,HERBERT STREET,Herbert Street,40,40,1473990234000
47,HERBERT STREET,Herbert Street,40,40,1473990234000
47,HERBERT STREET,Herbert Street,40,40,1473990839000
47,HERBERT STREET,Herbert Street,40,40,1473990839000
47,HERBERT STREET,Herbert Street,40,40,1473991443000
47,HERBERT STREET,Herbert Street,40,40,1473991443000
47,HERBERT STREET,Herbert Street,40,40,1473992048000
47,HERBERT STREET,Herbert Street,40,40,1473992433000
47,HERBERT STREET,Herbert Street,40,40,1473992524000
47,HERBERT STREET,Herbert Street,40,40,1473992524000
47,HERBERT STREET,Herbert Street,40,40,1473993128000
47,HERBERT STREET,Herbert Street,40,40,1473993128000
47,HERBERT STREET,Herbert Street,40,40,1473993733000
47,HERBERT STREET,Herbert Street,40,40,1473993733000
47,HERBERT STREET,Herbert Street,40,40,1473994337000
47,HERBERT STREET,Herbert Street,40,40,1473994337000
47,HERBERT STREET,Herbert Street,40,40,1473994941000
47,HERBERT STREET,Herbert Street,40,40,1473994941000
47,HERBERT STREET,Herbert Street,40,40,1473995545000
47,HERBERT STREET,Herbert Street,40,40,1473995545000
47,HERBERT STREET,Herbert Street,40,40,1473996150000
47,HERBERT STREET,Herbert Street,40,40,1473996150000
47,HERBERT STREET,Herbert Street,40,40,1473996754000
47,HERBERT STREET,Herbert Street,40,40,1473996754000
47,HERBERT STREET,Herbert Street,40,40,1473997359000
47,HERBERT STREET,Herbert Street,40,40,1473997359000
47,HERBERT STREET,Herbert Street,40,40,1473997962000
47,HERBERT STREET,Herbert Street,40,40,1473998424000
47,HERBERT STREET,Herbert Street,40,40,1473998424000
47,HERBERT STREET,Herbert Street,40,40,1473999027000
47,HERBERT STREET,Herbert Street,40,40,1473999027000
47,HERBERT STREET,Herbert Street,40,40,1473999631000
47,HERBERT STREET,Herbert Street,40,40,1473999631000
47,HERBERT STREET,Herbert Street,40,40,1474000235000
47,HERBERT STREET,Herbert Street,40,40,1474000235000
47,HERBERT STREET,Herbert Street,40,40,1474000839000
47,HERBERT STREET,Herbert Street,40,40,1474000839000
47,HERBERT STREET,Herbert Street,40,40,1474001443000
47,HERBERT STREET,Herbert Street,40,40,1474001443000
47,HERBERT STREET,Herbert Street,40,40,1474002047000
47,HERBERT STREET,Herbert Street,40,40,1474002047000
47,HERBERT STREET,Herbert Street,40,40,1474002651000
47,HERBERT STREET,Herbert Street,40,40,1474002651000
47,HERBERT STREET,Herbert Street,40,40,1474003256000
47,HERBERT STREET,Herbert Street,40,39,1474003354000
47,HERBERT STREET,Herbert Street,40,39,1474003354000
47,HERBERT STREET,Herbert Street,40,39,1474003958000
47,HERBERT STREET,Herbert Street,40,40,1474004449000
47,HERBERT STREET,Herbert Street,40,40,1474004449000
47,HERBERT STREET,Herbert Street,40,40,1474005053000
47,HERBERT STREET,Herbert Street,40,40,1474005053000
47,HERBERT STREET,Herbert Street,40,40,1474005657000
47,HERBERT STREET,Herbert Street,40,40,1474005657000
47,HERBERT STREET,Herbert Street,40,40,1474006262000
47,HERBERT STREET,Herbert Street,40,40,1474006262000
47,HERBERT STREET,Herbert Street,40,40,1474006866000
47,HERBERT STREET,Herbert Street,40,40,1474006866000
47,HERBERT STREET,Herbert Street,40,40,1474007470000
47,HERBERT STREET,Herbert Street,40,39,1474007725000
47,HERBERT STREET,Herbert Street,40,36,1474008110000
47,HERBERT STREET,Herbert Street,40,35,1474008385000
47,HERBERT STREET,Herbert Street,40,35,1474008385000
47,HERBERT STREET,Herbert Street,40,34,1474008825000
47,HERBERT STREET,Herbert Street,40,30,1474009302000
