number,name,address,bike_stands,available_bike_stands,last_update
7,HIGH STREET,High Street,29,28,1474376412000
7,HIGH STREET,High Street,29,29,1474376441000
7,HIGH STREET,High Street,29,29,1474376441000
7,HIGH STREET,High Street,29,28,1474377087000
7,HIGH STREET,High Street,29,22,1474377608000
7,HIGH STREET,High Street,29,13,1474377873000
7,HIGH STREET,High Street,29,9,1474378011000
7,HIGH STREET,High Street,29,10,1474378485000
7,HIGH STREET,High Street,29,11,1474378521000
7,HIGH STREET,High Street,29,11,1474378521000
7,HIGH STREET,High Street,29,11,1474379126000
7,HIGH STREET,High Street,29,11,1474379495000
7,HIGH STREET,High Street,29,11,1474379495000
7,HIGH STREET,High Street,29,12,1474380204000
7,HIGH STREET,High Street,29,12,1474380204000
7,HIGH STREET,High Street,29,12,1474380888000
7,HIGH STREET,High Street,29,13,1474380925000
7,HIGH STREET,High Street,29,13,1474380925000
7,HIGH STREET,High Street,29,12,1474381654000
7,HIGH STREET,High Street,29,10,1474382103000
7,HIGH STREET,High Street,29,11,1474382415000
7,HIGH STREET,High Street,29,13,1474382524000
7,HIGH STREET,High Street,29,13,1474382524000
7,HIGH STREET,High Street,29,8,1473980032000
7,HIGH STREET,High Street,29,8,1473980636000
7,HIGH STREET,High Street,29,10,1473980957000
7,HIGH STREET,High Street,29,10,1473981236000
7,HIGH STREET,High Street,29,10,1473981236000
7,HIGH STREET,High Street,29,11,1473981789000
7,HIGH STREET,High Street,29,12,1473982128000
7,HIGH STREET,High Street,29,12,1473982306000
7,HIGH STREET,High Street,29,12,1473982306000
7,HIGH STREET,High Street,29,12,1473983009000
7,HIGH STREET,High Street,29,12,1473983169000
7,HIGH STREET,High Street,29,12,1473983169000
7,HIGH STREET,High Street,29,12,1473983773000
7,HIGH STREET,High Street,29,12,1473983773000
7,HIGH STREET,High Street,29,12,1473984376000
7,HIGH STREET,High Street,29,12,1473984376000
7,HIGH STREET,High Street,29,12,1473984980000
7,HIGH STREET,High Street,29,12,1473984980000
7,HIGH STREET,High Street,29,12,1473985584000
7,HIGH STREET,High Street,29,12,1473985584000
7,HIGH STREET,High Street,29,12,1473986189000
7,HIGH STREET,High Street,29,12,1473986189000
7,HIGH STREET,High Street,29,12,1473986793000
7,HIGH STREET,High Street,29,12,1473986793000
7,HIGH STREET,High Street,29,12,1473987396000
7,HIGH STREET,High Street,29,12,1473987396000
7,HIGH STREET,High Street,29,12,1473988001000
7,HIGH STREET,High Street,29,12,1473988001000
7,HIGH STREET,High Street,29,12,1473988604000
7,HIGH STREET,High Street,29,12,1473988604000
7,HIGH STREET,High Street,29,12,1473989208000
7,HIGH STREET,High Street,29,12,1473989208000
7,HIGH STREET,High Street,29,12,1473990036000
7,HIGH STREET,High Street,29,12,1473990151000
7,HIGH STREET,High Street,29,12,1473990151000
7,HIGH STREET,High Street,29,12,1473990755000
7,HIGH STREET,High Street,29,12,1473990755000
7,HIGH STREET,High Street,29,12,1473991359000
7,HIGH STREET,High Street,29,12,1473991359000
7,HIGH STREET,High Street,29,12,1473991962000
7,HIGH STREET,High Street,29,12,1473991962000
7,HIGH STREET,High Street,29,12,1473992566000
7,HIGH STREET,High Street,29,12,1473992566000
7,HIGH STREET,High Street,29,12,1473993170000
7,HIGH STREET,High Street,29,12,1473993170000
7,HIGH STREET,High Street,29,12,1473993774000
7,HIGH STREET,High Street,29,12,1473993774000
7,HIGH STREET,High Street,29,12,1473994379000
7,HIGH STREET,High Street,29,12,1473994379000
7,HIGH STREET,High Street,29,12,1473994982000
7,HIGH STREET,High Street,29,12,1473994982000
7,HIGH STREET,High Street,29,12,1473995586000
7,HIGH STREET,High Street,29,12,1473995586000
