number,name,address,bike_stands,available_bike_stands,last_update
20,JAMES STREET EAST,James Street East,30,12,1474376302000
20,JAMES STREET EAST,James Street East,30,9,1474376635000
20,JAMES STREET EAST,James Street East,30,8,1474376998000
20,JAMES STREET EAST,James Street East,30,8,1474376998000
20,JAMES STREET EAST,James Street East,30,8,1474377602000
20,JAMES STREET EAST,James Street East,30,9,1474377872000
20,JAMES STREET EAST,James Street East,30,9,1474377872000
20,JAMES STREET EAST,James Street East,30,10,1474378525000
20,JAMES STREET EAST,James Street East,30,9,1474378604000
20,JAMES STREET EAST,James Street East,30,9,1474378604000
20,JAMES STREET EAST,James Street East,30,9,1474379209000
20,JAMES STREET EAST,James Street East,30,11,1474379568000
20,JAMES STREET EAST,James Street East,30,11,1474380025000
20,JAMES STREET EAST,James Street East,30,11,1474380025000
20,JAMES STREET EAST,James Street East,30,11,1474380629000
20,JAMES STREET EAST,James Street East,30,12,1474380815000
20,JAMES STREET EAST,James Street East,30,11,1474381200000
20,JAMES STREET EAST,James Street East,30,11,1474381200000
20,JAMES STREET EAST,James Street East,30,13,1474381856000
20,JAMES STREET EAST,James Street East,30,13,1474381856000
20,JAMES STREET EAST,James Street East,30,13,1474382461000
20,JAMES STREET EAST,James Street East,30,14,1474382680000
20,JAMES STREET EAST,James Street East,30,16,1474382919000
20,JAMES STREET EAST,James Street East,30,30,1473979948000
20,JAMES STREET EAST,James Street East,30,30,1473980552000
20,JAMES STREET EAST,James Street East,30,30,1473980552000
20,JAMES STREET EAST,James Street East,30,30,1473981156000
20,JAMES STREET EAST,James Street East,30,30,1473981156000
20,JAMES STREET EAST,James Street East,30,30,1473981759000
20,JAMES STREET EAST,James Street East,30,30,1473981759000
20,JAMES STREET EAST,James Street East,30,30,1473982351000
20,JAMES STREET EAST,James Street East,30,30,1473982351000
20,JAMES STREET EAST,James Street East,30,30,1473982955000
20,JAMES STREET EAST,James Street East,30,30,1473982955000
20,JAMES STREET EAST,James Street East,30,30,1473983558000
20,JAMES STREET EAST,James Street East,30,30,1473983558000
20,JAMES STREET EAST,James Street East,30,30,1473984162000
20,JAMES STREET EAST,James Street East,30,30,1473984162000
20,JAMES STREET EAST,James Street East,30,30,1473984765000
20,JAMES STREET EAST,James Street East,30,30,1473984765000
20,JAMES STREET EAST,James Street East,30,30,1473985369000
20,JAMES STREET EAST,James Street East,30,30,1473985369000
20,JAMES STREET EAST,James Street East,30,30,1473985973000
20,JAMES STREET EAST,James Street East,30,30,1473985973000
20,JAMES STREET EAST,James Street East,30,30,1473986576000
20,JAMES STREET EAST,James Street East,30,30,1473986576000
20,JAMES STREET EAST,James Street East,30,30,1473987180000
20,JAMES STREET EAST,James Street East,30,30,1473987180000
20,JAMES STREET EAST,James Street East,30,30,1473987784000
20,JAMES STREET EAST,James Street East,30,30,1473987784000
20,JAMES STREET EAST,James Street East,30,30,1473988388000
20,JAMES STREET EAST,James Street East,30,30,1473988388000
20,JAMES STREET EAST,James Street East,30,30,1473988992000
20,JAMES STREET EAST,James Street East,30,30,1473988992000
20,JAMES STREET EAST,James Street East,30,30,1473989596000
20,JAMES STREET EAST,James Street East,30,30,1473989596000
20,JAMES STREET EAST,James Street East,30,30,1473990200000
20,JAMES STREET EAST,James Street East,30,30,1473990616000
20,JAMES STREET EAST,James Street East,30,30,1473990789000
20,JAMES STREET EAST,James Street East,30,30,1473990789000
20,JAMES STREET EAST,James Street East,30,30,1473991393000
20,JAMES STREET EAST,James Street East,30,30,1473991393000
20,JAMES STREET EAST,James Street East,30,30,1473991997000
20,JAMES STREET EAST,James Street East,30,30,1473991997000
20,JAMES STREET EAST,James Street East,30,30,1473992600000
20,JAMES STREET EAST,James Street East,30,30,1473992600000
20,JAMES STREET EAST,James Street East,30,30,1473993204000
20,JAMES STREET EAST,James Street East,30,30,1473993204000
20,JAMES STREET EAST,James Street East,30,30,1473993808000
20,JAMES STREET EAST,James Street East,30,30,1473993808000
20,JAMES STREET EAST,James Street East,30,30,1473994412000
20,JAMES STREET EAST,James Street East,30,30,1473994412000
20,JAMES STREET EAST,James Street East,30,30,1473995015000
20,JAMES STREET EAST,James Street East,30,30,1473995015000
20,JAMES STREET EAST,James Street East,30,30,1473995620000
20,JAMES STREET EAST,James Street East,30,30,1473995620000
20,JAMES STREET EAST,James Street East,30,30,1473996224000
20,JAMES STREET EAST,James Street East,30,30,1473996224000
20,JAMES STREET EAST,James Street East,30,30,1473996827000
20,JAMES STREET EAST,James Street East,30,30,1473996827000
20,JAMES STREET EAST,James Street East,30,30,1473997431000
20,JAMES STREET EAST,James Street East,30,30,1473997431000
20,JAMES STREET EAST,James Street East,30,30,1473998034000
20,JAMES STREET EAST,James Street East,30,30,1473998417000
20,JAMES STREET EAST,James Street East,30,30,1473998417000
20,JAMES STREET EAST,James Street East,30,30,1473998417000
20,JAMES STREET EAST,James Street East,30,30,1473999021000
20,JAMES STREET EAST,James Street East,30,30,1473999021000
20,JAMES STREET EAST,James Street East,30,30,1473999626000
20,JAMES STREET EAST,James Street East,30,30,1473999626000
20,JAMES STREET EAST,James Street East,30,30,1474000229000
20,JAMES STREET EAST,James Street East,30,30,1474000229000
20,JAMES STREET EAST,James Street East,30,30,1474000834000
20,JAMES STREET EAST,James Street East,30,30,1474000834000
20,JAMES STREET EAST,James Street East,30,30,1474001437000
20,JAMES STREET EAST,James Street East,30,30,1474001437000
20,JAMES STREET EAST,James Street East,30,30,1474002042000
20,JAMES STREET EAST,James Street East,30,30,1474002042000
20,JAMES STREET EAST,James Street East,30,29,1474002677000
20,JAMES STREET EAST,James Street East,30,28,1474003002000
20,JAMES STREET EAST,James Street East,30,28,1474003002000
20,JAMES STREET EAST,James Street East,30,27,1474003532000
20,JAMES STREET EAST,James Street East,30,27,1474003532000
