number,name,address,bike_stands,available_bike_stands,last_update
71,KEVIN STREET,Kevin Street,40,22,1474376301000
71,KEVIN STREET,Kevin Street,40,19,1474376702000
71,KEVIN STREET,Kevin Street,40,23,1474377013000
71,KEVIN STREET,Kevin Street,40,23,1474377287000
71,KEVIN STREET,Kevin Street,40,22,1474377539000
71,KEVIN STREET,Kevin Street,40,21,1474377717000
71,KEVIN STREET,Kevin Street,40,20,1474378194000
71,KEVIN STREET,Kevin Street,40,18,1474378369000
71,KEVIN STREET,Kevin Street,40,19,1474378713000
71,KEVIN STREET,Kevin Street,40,20,1474378873000
71,KEVIN STREET,Kevin Street,40,20,1474378873000
71,KEVIN STREET,Kevin Street,40,20,1474379478000
71,KEVIN STREET,Kevin Street,40,21,1474379922000
71,KEVIN STREET,Kevin Street,40,23,1474380314000
71,KEVIN STREET,Kevin Street,40,23,1474380314000
71,KEVIN STREET,Kevin Street,40,23,1474380891000
71,KEVIN STREET,Kevin Street,40,29,1474381212000
71,KEVIN STREET,Kevin Street,40,32,1474381440000
71,KEVIN STREET,Kevin Street,40,32,1474381815000
71,KEVIN STREET,Kevin Street,40,33,1474382105000
71,KEVIN STREET,Kevin Street,40,34,1474382384000
71,KEVIN STREET,Kevin Street,40,33,1474382671000
71,KEVIN STREET,Kevin Street,40,34,1474382941000
71,KEVIN STREET,Kevin Street,40,40,1473979827000
71,KEVIN STREET,Kevin Street,40,40,1473980431000
71,KEVIN STREET,Kevin Street,40,40,1473980431000
71,KEVIN STREET,Kevin Street,40,39,1473981248000
71,KEVIN STREET,Kevin Street,40,39,1473981248000
71,KEVIN STREET,Kevin Street,40,39,1473981852000
71,KEVIN STREET,Kevin Street,40,39,1473981852000
71,KEVIN STREET,Kevin Street,40,39,1473982374000
71,KEVIN STREET,Kevin Street,40,39,1473982374000
71,KEVIN STREET,Kevin Street,40,39,1473982979000
71,KEVIN STREET,Kevin Street,40,39,1473982979000
71,KEVIN STREET,Kevin Street,40,39,1473983583000
71,KEVIN STREET,Kevin Street,40,39,1473983583000
71,KEVIN STREET,Kevin Street,40,39,1473984187000
71,KEVIN STREET,Kevin Street,40,39,1473984187000
71,KEVIN STREET,Kevin Street,40,39,1473984792000
71,KEVIN STREET,Kevin Street,40,39,1473984792000
71,KEVIN STREET,Kevin Street,40,39,1473985396000
71,KEVIN STREET,Kevin Street,40,39,1473985396000
71,KEVIN STREET,Kevin Street,40,39,1473986002000
71,KEVIN STREET,Kevin Street,40,39,1473986002000
71,KEVIN STREET,Kevin Street,40,39,1473986606000
71,KEVIN STREET,Kevin Street,40,39,1473986606000
71,KEVIN STREET,Kevin Street,40,39,1473987210000
71,KEVIN STREET,Kevin Street,40,39,1473987210000
71,KEVIN STREET,Kevin Street,40,39,1473987814000
71,KEVIN STREET,Kevin Street,40,39,1473987814000
71,KEVIN STREET,Kevin Street,40,39,1473988418000
