number,name,address,bike_stands,available_bike_stands,last_update
66,NEW CENTRAL BANK,New Central Bank,40,21,1474376269000
66,NEW CENTRAL BANK,New Central Bank,40,19,1474376698000
66,NEW CENTRAL BANK,New Central Bank,40,19,1474376887000
66,NEW CENTRAL BANK,New Central Bank,40,18,1474377144000
66,NEW CENTRAL BANK,New Central Bank,40,18,1474377144000
66,NEW CENTRAL BANK,New Central Bank,40,15,1474377853000
66,NEW CENTRAL BANK,New Central Bank,40,14,1474378051000
66,NEW CENTRAL BANK,New Central Bank,40,14,1474378051000
66,NEW CENTRAL BANK,New Central Bank,40,16,1474378780000
66,NEW CENTRAL BANK,New Central Bank,40,17,1474378832000
66,NEW CENTRAL BANK,New Central Bank,40,17,1474379401000
66,NEW CENTRAL BANK,New Central Bank,40,17,1474379401000
66,NEW CENTRAL BANK,New Central Bank,40,16,1474379941000
66,NEW CENTRAL BANK,New Central Bank,40,17,1474380105000
66,NEW CENTRAL BANK,New Central Bank,40,17,1474380105000
66,NEW CENTRAL BANK,New Central Bank,40,17,1474380710000
66,NEW CENTRAL BANK,New Central Bank,40,15,1474381182000
66,NEW CENTRAL BANK,New Central Bank,40,15,1474381182000
66,NEW CENTRAL BANK,New Central Bank,40,15,1474381786000
66,NEW CENTRAL BANK,New Central Bank,40,15,1474381786000
66,NEW CENTRAL BANK,New Central Bank,40,16,1474382268000
66,NEW CENTRAL BANK,New Central Bank,40,17,1474382540000
66,NEW CENTRAL BANK,New Central Bank,40,18,1474382989000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473980159000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473980763000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473980763000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473981367000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473981367000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473981971000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473981971000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473982378000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473982378000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473982982000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473982982000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473983585000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473983585000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473984190000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473984190000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473984794000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473984794000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473985398000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473985398000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473986002000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473986002000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473986607000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473986607000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473987210000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473987210000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473987815000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473987815000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473988419000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473988419000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473989024000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473989024000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473989628000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473989628000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473990232000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473990232000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473990836000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473990836000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473991441000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473991441000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473992045000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473992045000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473992649000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473992649000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473993256000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473993659000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473993659000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473994263000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473994263000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473994867000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473994867000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473995472000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473995472000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473996076000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473996076000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473996680000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473996680000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473996680000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473997284000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473997284000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473997888000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473998462000
66,NEW CENTRAL BANK,New Central Bank,40,20,1473998462000
66,NEW CENTRAL BANK,New Central Bank,40,29,1473999070000
66,NEW CENTRAL BANK,New Central Bank,40,30,1473999094000
66,NEW CENTRAL BANK,New Central Bank,40,30,1473999094000
66,NEW CENTRAL BANK,New Central Bank,40,30,1473999698000
66,NEW CENTRAL BANK,New Central Bank,40,30,1473999698000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474000301000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474000301000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474000906000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474000906000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474001509000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474001509000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474002114000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474002114000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474002718000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474002718000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474003322000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474003837000
66,NEW CENTRAL BANK,New Central Bank,40,28,1474004043000
66,NEW CENTRAL BANK,New Central Bank,40,28,1474004320000
66,NEW CENTRAL BANK,New Central Bank,40,27,1474004687000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474004957000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474005308000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474005494000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474005494000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474006160000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474006535000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474006860000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474007166000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474007541000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474007786000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474008113000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474008377000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474008522000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474008935000
66,NEW CENTRAL BANK,New Central Bank,40,32,1474009247000
66,NEW CENTRAL BANK,New Central Bank,40,27,1474009558000
66,NEW CENTRAL BANK,New Central Bank,40,28,1474009861000
66,NEW CENTRAL BANK,New Central Bank,40,28,1474010129000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474010538000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474010838000
66,NEW CENTRAL BANK,New Central Bank,40,33,1474011026000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474011413000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474011698000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474012036000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474012256000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474012256000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474012721000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474013170000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474013341000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474013341000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474013944000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474014211000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474014211000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474014815000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474014815000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474015420000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474015767000
66,NEW CENTRAL BANK,New Central Bank,40,34,1474016215000
66,NEW CENTRAL BANK,New Central Bank,40,34,1474016215000
66,NEW CENTRAL BANK,New Central Bank,40,34,1474016819000
66,NEW CENTRAL BANK,New Central Bank,40,33,1474017127000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474017436000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474017639000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474017878000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474017878000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474018628000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474018628000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474019232000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474019532000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474019557000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474019557000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474020162000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474020458000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474020777000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474020777000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474021381000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474021800000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474021800000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474022404000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474022404000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474023030000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474023304000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474023304000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474023908000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474023908000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474024603000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474024603000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474025030000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474025030000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474025763000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474025763000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474026168000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474026550000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474026895000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474027248000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474027615000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474027615000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474028220000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474028479000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474028606000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474029102000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474029215000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474029629000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474029851000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474030145000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474030458000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474030458000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474031061000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474031061000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474031665000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474032066000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474032327000
66,NEW CENTRAL BANK,New Central Bank,40,33,1474032648000
66,NEW CENTRAL BANK,New Central Bank,40,34,1474032980000
66,NEW CENTRAL BANK,New Central Bank,40,33,1474033197000
66,NEW CENTRAL BANK,New Central Bank,40,31,1474033614000
66,NEW CENTRAL BANK,New Central Bank,40,31,1474033614000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474034141000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474034141000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474034762000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474035141000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474035144000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474035144000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474035940000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474036222000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474036222000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474036827000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474037100000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474037481000
66,NEW CENTRAL BANK,New Central Bank,40,29,1474037481000
66,NEW CENTRAL BANK,New Central Bank,40,28,1474038134000
66,NEW CENTRAL BANK,New Central Bank,40,28,1474038240000
66,NEW CENTRAL BANK,New Central Bank,40,26,1474038677000
66,NEW CENTRAL BANK,New Central Bank,40,31,1474039023000
66,NEW CENTRAL BANK,New Central Bank,40,30,1474039209000
66,NEW CENTRAL BANK,New Central Bank,40,32,1474039522000
66,NEW CENTRAL BANK,New Central Bank,40,33,1474039735000
66,NEW CENTRAL BANK,New Central Bank,40,33,1474039735000
66,NEW CENTRAL BANK,New Central Bank,40,34,1474040392000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474040685000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474041125000
66,NEW CENTRAL BANK,New Central Bank,40,34,1474041213000
66,NEW CENTRAL BANK,New Central Bank,40,35,1474041707000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474041842000
66,NEW CENTRAL BANK,New Central Bank,40,36,1474041842000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474042470000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474042844000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474043211000
66,NEW CENTRAL BANK,New Central Bank,40,37,1474043471000
66,NEW CENTRAL BANK,New Central Bank,40,39,1474043780000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474044012000
66,NEW CENTRAL BANK,New Central Bank,40,38,1474044360000
66,NEW CENTRAL BANK,New Central Bank,40,40,1474044592000
