number,name,address,bike_stands,available_bike_stands,last_update
43,PORTOBELLO ROAD,Portobello Road,30,20,1474376116000
43,PORTOBELLO ROAD,Portobello Road,30,20,1474376116000
43,PORTOBELLO ROAD,Portobello Road,30,20,1474377013000
43,PORTOBELLO ROAD,Portobello Road,30,19,1474377206000
43,PORTOBELLO ROAD,Portobello Road,30,19,1474377479000
43,PORTOBELLO ROAD,Portobello Road,30,19,1474377479000
43,PORTOBELLO ROAD,Portobello Road,30,20,1474378178000
43,PORTOBELLO ROAD,Portobello Road,30,20,1474378178000
43,PORTOBELLO ROAD,Portobello Road,30,20,1474378781000
43,PORTOBELLO ROAD,Portobello Road,30,20,1474378781000
43,PORTOBELLO ROAD,Portobello Road,30,21,1474379328000
43,PORTOBELLO ROAD,Portobello Road,30,22,1474379714000
43,PORTOBELLO ROAD,Portobello Road,30,23,1474379771000
43,PORTOBELLO ROAD,Portobello Road,30,22,1474380292000
43,PORTOBELLO ROAD,Portobello Road,30,22,1474380565000
43,PORTOBELLO ROAD,Portobello Road,30,24,1474380916000
43,PORTOBELLO ROAD,Portobello Road,30,22,1474381199000
43,PORTOBELLO ROAD,Portobello Road,30,22,1474381502000
43,PORTOBELLO ROAD,Portobello Road,30,22,1474381816000
43,PORTOBELLO ROAD,Portobello Road,30,23,1474382103000
43,PORTOBELLO ROAD,Portobello Road,30,24,1474382364000
43,PORTOBELLO ROAD,Portobello Road,30,24,1474382364000
43,PORTOBELLO ROAD,Portobello Road,30,23,1474382968000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473980196000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473980196000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473980800000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473980800000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473981404000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473981404000
43,PORTOBELLO ROAD,Portobello Road,30,5,1473981980000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473982360000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473982360000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473982964000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473982964000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473983568000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473983568000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473984172000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473984172000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473984778000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473984778000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473985382000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473985382000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473985986000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473985986000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473986591000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473986591000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473987195000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473987195000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473987798000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473987798000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473988402000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473988402000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473989006000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473989006000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473989610000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473989610000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473990214000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473990214000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473990819000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473990819000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473991422000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473991422000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473991998000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473992248000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473992248000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473992852000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473992852000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473993456000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473993456000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473994060000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473994060000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473994664000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473994664000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473995268000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473995268000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473995871000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473995871000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473996476000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473996476000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473997080000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473997080000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473997684000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473997684000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473998289000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473998429000
43,PORTOBELLO ROAD,Portobello Road,30,4,1473998429000
43,PORTOBELLO ROAD,Portobello Road,30,5,1473999177000
43,PORTOBELLO ROAD,Portobello Road,30,5,1473999177000
43,PORTOBELLO ROAD,Portobello Road,30,5,1473999781000
43,PORTOBELLO ROAD,Portobello Road,30,5,1473999781000
43,PORTOBELLO ROAD,Portobello Road,30,5,1474000384000
43,PORTOBELLO ROAD,Portobello Road,30,5,1474000384000
43,PORTOBELLO ROAD,Portobello Road,30,5,1474000988000
43,PORTOBELLO ROAD,Portobello Road,30,6,1474001353000
43,PORTOBELLO ROAD,Portobello Road,30,7,1474001566000
43,PORTOBELLO ROAD,Portobello Road,30,7,1474001566000
43,PORTOBELLO ROAD,Portobello Road,30,8,1474002159000
43,PORTOBELLO ROAD,Portobello Road,30,8,1474002159000
43,PORTOBELLO ROAD,Portobello Road,30,8,1474002763000
43,PORTOBELLO ROAD,Portobello Road,30,10,1474003213000
43,PORTOBELLO ROAD,Portobello Road,30,13,1474003350000
43,PORTOBELLO ROAD,Portobello Road,30,14,1474003657000
43,PORTOBELLO ROAD,Portobello Road,30,15,1474004108000
43,PORTOBELLO ROAD,Portobello Road,30,18,1474004325000
43,PORTOBELLO ROAD,Portobello Road,30,5,1474004667000
43,PORTOBELLO ROAD,Portobello Road,30,5,1474004667000
43,PORTOBELLO ROAD,Portobello Road,30,6,1474005203000
43,PORTOBELLO ROAD,Portobello Road,30,7,1474005611000
43,PORTOBELLO ROAD,Portobello Road,30,12,1474005886000
43,PORTOBELLO ROAD,Portobello Road,30,17,1474006214000
43,PORTOBELLO ROAD,Portobello Road,30,19,1474006309000
43,PORTOBELLO ROAD,Portobello Road,30,24,1474006806000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474007102000
43,PORTOBELLO ROAD,Portobello Road,30,24,1474007468000
43,PORTOBELLO ROAD,Portobello Road,30,20,1474007708000
43,PORTOBELLO ROAD,Portobello Road,30,24,1474008073000
43,PORTOBELLO ROAD,Portobello Road,30,27,1474008356000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474008631000
43,PORTOBELLO ROAD,Portobello Road,30,29,1474008965000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474008999000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474008999000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474009804000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474009804000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474010342000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474010342000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474010958000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474010958000
43,PORTOBELLO ROAD,Portobello Road,30,30,1474011637000
