number,name,address,bike_stands,available_bike_stands,last_update
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,22,1474376355000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,19,1474376622000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,17,1474376930000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,15,1474377339000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,16,1474377444000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,15,1474377961000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,14,1474378090000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,14,1474378563000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,14,1474378848000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,13,1474379116000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,15,1474379472000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,17,1474379647000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,16,1474379831000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,17,1474380121000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,17,1474380121000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,19,1474380873000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,21,1474381271000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,21,1474381497000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,21,1474381723000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,9,1474382170000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,10,1474382352000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,9,1474382722000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,10,1474382969000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,34,1473980034000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,34,1473980638000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,34,1473981057000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473981100000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473981100000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473981704000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473981704000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473982377000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473982377000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473982981000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473982981000
58,SIR PATRICK DUN'S,Sir Patrick's Dun,40,35,1473983585000
