number,name,address,bike_stands,available_bike_stands,last_update
42,SMITHFIELD NORTH,Smithfield North,30,29,1474376281000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474376641000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474376908000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474377285000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474377285000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474377826000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474377826000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474378517000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474378547000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474378938000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474378938000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474379542000
42,SMITHFIELD NORTH,Smithfield North,30,27,1474380014000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474380294000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474380600000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474380600000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474381134000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474381134000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474381738000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474381963000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474382212000
42,SMITHFIELD NORTH,Smithfield North,30,26,1474382496000
42,SMITHFIELD NORTH,Smithfield North,30,25,1474382793000
42,SMITHFIELD NORTH,Smithfield North,30,5,1473980427000
42,SMITHFIELD NORTH,Smithfield North,30,4,1473980587000
42,SMITHFIELD NORTH,Smithfield North,30,4,1473980587000
42,SMITHFIELD NORTH,Smithfield North,30,4,1473981191000
42,SMITHFIELD NORTH,Smithfield North,30,4,1473981191000
42,SMITHFIELD NORTH,Smithfield North,30,3,1473981758000
42,SMITHFIELD NORTH,Smithfield North,30,2,1473982239000
42,SMITHFIELD NORTH,Smithfield North,30,2,1473982351000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473982629000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473982629000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473983232000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473983232000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473983836000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473983836000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473984441000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473984441000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473985045000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473985045000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473985648000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473985648000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473986252000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473986252000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473986856000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473986856000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473987460000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473987460000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473988064000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473988064000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473988668000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473988668000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473989273000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473989273000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473989877000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473989877000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473990481000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473990481000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473991085000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473991085000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473991689000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473992059000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473992059000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473992663000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473992663000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473993266000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473993266000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473993870000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473993870000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473994474000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473994474000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473995077000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473995077000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473995682000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473995682000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473996285000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473996285000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473996888000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473996888000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473997492000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473997492000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473998096000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473998096000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473998429000
42,SMITHFIELD NORTH,Smithfield North,30,1,1473998967000
42,SMITHFIELD NORTH,Smithfield North,30,3,1473999274000
42,SMITHFIELD NORTH,Smithfield North,30,3,1473999274000
42,SMITHFIELD NORTH,Smithfield North,30,3,1473999878000
42,SMITHFIELD NORTH,Smithfield North,30,5,1474000190000
42,SMITHFIELD NORTH,Smithfield North,30,5,1474000190000
42,SMITHFIELD NORTH,Smithfield North,30,5,1474000794000
42,SMITHFIELD NORTH,Smithfield North,30,5,1474000794000
42,SMITHFIELD NORTH,Smithfield North,30,5,1474001398000
42,SMITHFIELD NORTH,Smithfield North,30,5,1474001398000
42,SMITHFIELD NORTH,Smithfield North,30,5,1474002003000
42,SMITHFIELD NORTH,Smithfield North,30,4,1474002203000
42,SMITHFIELD NORTH,Smithfield North,30,5,1474002613000
42,SMITHFIELD NORTH,Smithfield North,30,6,1474002728000
42,SMITHFIELD NORTH,Smithfield North,30,6,1474003205000
42,SMITHFIELD NORTH,Smithfield North,30,7,1474003418000
42,SMITHFIELD NORTH,Smithfield North,30,10,1474003816000
42,SMITHFIELD NORTH,Smithfield North,30,13,1474004040000
42,SMITHFIELD NORTH,Smithfield North,30,14,1474004379000
42,SMITHFIELD NORTH,Smithfield North,30,16,1474004484000
42,SMITHFIELD NORTH,Smithfield North,30,16,1474004484000
42,SMITHFIELD NORTH,Smithfield North,30,15,1474005137000
42,SMITHFIELD NORTH,Smithfield North,30,17,1474005605000
42,SMITHFIELD NORTH,Smithfield North,30,17,1474005605000
42,SMITHFIELD NORTH,Smithfield North,30,18,1474005966000
42,SMITHFIELD NORTH,Smithfield North,30,18,1474005966000
42,SMITHFIELD NORTH,Smithfield North,30,18,1474006801000
42,SMITHFIELD NORTH,Smithfield North,30,22,1474007139000
42,SMITHFIELD NORTH,Smithfield North,30,25,1474007464000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474007714000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474007714000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474008318000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474008318000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474008922000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474008922000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474009547000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474009781000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474010167000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474010450000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474010450000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474011054000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474011324000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474011324000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474011859000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474012182000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474012426000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474012863000
42,SMITHFIELD NORTH,Smithfield North,30,26,1474013125000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474013447000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474013644000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474014053000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474014119000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474014656000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474014874000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474015270000
42,SMITHFIELD NORTH,Smithfield North,30,29,1474015372000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474015634000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474015634000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474016237000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474016237000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474016841000
42,SMITHFIELD NORTH,Smithfield North,30,30,1474016841000
42,SMITHFIELD NORTH,Smithfield North,30,28,1474017589000
