number,name,address,bike_stands,available_bike_stands,last_update
35,SMITHFIELD,Smithfield,30,29,1474376161000
35,SMITHFIELD,Smithfield,30,27,1474376767000
35,SMITHFIELD,Smithfield,30,27,1474376767000
35,SMITHFIELD,Smithfield,30,26,1474377342000
35,SMITHFIELD,Smithfield,30,28,1474377679000
35,SMITHFIELD,Smithfield,30,28,1474377679000
35,SMITHFIELD,Smithfield,30,29,1474378153000
35,SMITHFIELD,Smithfield,30,29,1474378441000
35,SMITHFIELD,Smithfield,30,30,1474378772000
35,SMITHFIELD,Smithfield,30,28,1474379141000
35,SMITHFIELD,Smithfield,30,29,1474379313000
35,SMITHFIELD,Smithfield,30,29,1474379771000
35,SMITHFIELD,Smithfield,30,27,1474379969000
35,SMITHFIELD,Smithfield,30,27,1474379969000
35,SMITHFIELD,Smithfield,30,28,1474380568000
35,SMITHFIELD,Smithfield,30,28,1474380807000
35,SMITHFIELD,Smithfield,30,28,1474380807000
35,SMITHFIELD,Smithfield,30,28,1474381582000
35,SMITHFIELD,Smithfield,30,27,1474381607000
35,SMITHFIELD,Smithfield,30,28,1474382043000
35,SMITHFIELD,Smithfield,30,28,1474382043000
35,SMITHFIELD,Smithfield,30,28,1474382781000
35,SMITHFIELD,Smithfield,30,28,1474383040000
35,SMITHFIELD,Smithfield,30,7,1473980082000
35,SMITHFIELD,Smithfield,30,7,1473980686000
35,SMITHFIELD,Smithfield,30,6,1473981006000
35,SMITHFIELD,Smithfield,30,7,1473981218000
35,SMITHFIELD,Smithfield,30,7,1473981218000
35,SMITHFIELD,Smithfield,30,7,1473981822000
35,SMITHFIELD,Smithfield,30,9,1473982180000
35,SMITHFIELD,Smithfield,30,9,1473982321000
35,SMITHFIELD,Smithfield,30,9,1473982321000
35,SMITHFIELD,Smithfield,30,9,1473982925000
35,SMITHFIELD,Smithfield,30,9,1473982925000
35,SMITHFIELD,Smithfield,30,9,1473983528000
35,SMITHFIELD,Smithfield,30,9,1473983528000
35,SMITHFIELD,Smithfield,30,9,1473984132000
35,SMITHFIELD,Smithfield,30,9,1473984132000
35,SMITHFIELD,Smithfield,30,9,1473984736000
35,SMITHFIELD,Smithfield,30,9,1473984736000
35,SMITHFIELD,Smithfield,30,9,1473985340000
35,SMITHFIELD,Smithfield,30,9,1473985340000
35,SMITHFIELD,Smithfield,30,9,1473985946000
35,SMITHFIELD,Smithfield,30,9,1473985946000
35,SMITHFIELD,Smithfield,30,9,1473986550000
35,SMITHFIELD,Smithfield,30,9,1473986550000
35,SMITHFIELD,Smithfield,30,9,1473987154000
35,SMITHFIELD,Smithfield,30,9,1473987154000
35,SMITHFIELD,Smithfield,30,9,1473987758000
35,SMITHFIELD,Smithfield,30,9,1473987758000
35,SMITHFIELD,Smithfield,30,9,1473988361000
35,SMITHFIELD,Smithfield,30,9,1473988361000
35,SMITHFIELD,Smithfield,30,9,1473988965000
35,SMITHFIELD,Smithfield,30,9,1473988965000
35,SMITHFIELD,Smithfield,30,9,1473989569000
35,SMITHFIELD,Smithfield,30,9,1473989569000
35,SMITHFIELD,Smithfield,30,9,1473990173000
35,SMITHFIELD,Smithfield,30,9,1473990173000
35,SMITHFIELD,Smithfield,30,9,1473990777000
35,SMITHFIELD,Smithfield,30,9,1473990777000
35,SMITHFIELD,Smithfield,30,9,1473991516000
35,SMITHFIELD,Smithfield,30,9,1473991778000
35,SMITHFIELD,Smithfield,30,9,1473991778000
35,SMITHFIELD,Smithfield,30,9,1473992382000
35,SMITHFIELD,Smithfield,30,9,1473992382000
35,SMITHFIELD,Smithfield,30,9,1473992986000
35,SMITHFIELD,Smithfield,30,9,1473992986000
35,SMITHFIELD,Smithfield,30,9,1473993591000
35,SMITHFIELD,Smithfield,30,9,1473993591000
35,SMITHFIELD,Smithfield,30,9,1473994194000
35,SMITHFIELD,Smithfield,30,9,1473994194000
35,SMITHFIELD,Smithfield,30,9,1473994798000
35,SMITHFIELD,Smithfield,30,9,1473994798000
35,SMITHFIELD,Smithfield,30,9,1473995401000
35,SMITHFIELD,Smithfield,30,9,1473995401000
35,SMITHFIELD,Smithfield,30,9,1473996006000
35,SMITHFIELD,Smithfield,30,9,1473996006000
