number,name,address,bike_stands,available_bike_stands,last_update
91,SOUTH DOCK ROAD,South Dock Road,30,16,1474376392000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474376712000
91,SOUTH DOCK ROAD,South Dock Road,30,18,1474376872000
91,SOUTH DOCK ROAD,South Dock Road,30,18,1474376872000
91,SOUTH DOCK ROAD,South Dock Road,30,18,1474377476000
91,SOUTH DOCK ROAD,South Dock Road,30,18,1474377476000
91,SOUTH DOCK ROAD,South Dock Road,30,18,1474378080000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474378482000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474378482000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474379087000
91,SOUTH DOCK ROAD,South Dock Road,30,17,1474379386000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474379535000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474379535000
91,SOUTH DOCK ROAD,South Dock Road,30,18,1474380260000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474380611000
91,SOUTH DOCK ROAD,South Dock Road,30,20,1474380685000
91,SOUTH DOCK ROAD,South Dock Road,30,21,1474380976000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1474381392000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1474381392000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1474382101000
91,SOUTH DOCK ROAD,South Dock Road,30,21,1474382347000
91,SOUTH DOCK ROAD,South Dock Road,30,21,1474382347000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1474382801000
91,SOUTH DOCK ROAD,South Dock Road,30,7,1473980074000
91,SOUTH DOCK ROAD,South Dock Road,30,6,1473980564000
91,SOUTH DOCK ROAD,South Dock Road,30,4,1473980759000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473981271000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473981271000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473981875000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473981875000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473982377000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473982377000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473982982000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473982982000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473983586000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473983586000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473984190000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473984190000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473984795000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473984795000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473985399000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473985399000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473986005000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473986005000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473986609000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473986609000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473987214000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473987214000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473987817000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473987817000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473988421000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473988421000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473989026000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473989026000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473989630000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473989630000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473990234000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473990234000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473990837000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473990837000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473991441000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473991441000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473992045000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473992045000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473992649000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473992649000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473993252000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473993252000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473993856000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473993856000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473994460000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473994806000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473995141000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473995141000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473995745000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473995745000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473996349000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473996349000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473996954000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473996954000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473997558000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473997558000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473998163000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473998443000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473998443000
91,SOUTH DOCK ROAD,South Dock Road,30,5,1473999048000
91,SOUTH DOCK ROAD,South Dock Road,30,17,1473999343000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1473999502000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1473999502000
91,SOUTH DOCK ROAD,South Dock Road,30,23,1474000021000
91,SOUTH DOCK ROAD,South Dock Road,30,23,1474000021000
91,SOUTH DOCK ROAD,South Dock Road,30,23,1474000624000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1474001084000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1474001084000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1474001688000
91,SOUTH DOCK ROAD,South Dock Road,30,22,1474001688000
91,SOUTH DOCK ROAD,South Dock Road,30,20,1474002169000
91,SOUTH DOCK ROAD,South Dock Road,30,20,1474002169000
91,SOUTH DOCK ROAD,South Dock Road,30,20,1474002772000
91,SOUTH DOCK ROAD,South Dock Road,30,20,1474002772000
91,SOUTH DOCK ROAD,South Dock Road,30,20,1474003377000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474003824000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474003824000
91,SOUTH DOCK ROAD,South Dock Road,30,20,1474004229000
91,SOUTH DOCK ROAD,South Dock Road,30,18,1474004684000
91,SOUTH DOCK ROAD,South Dock Road,30,15,1474004999000
91,SOUTH DOCK ROAD,South Dock Road,30,15,1474004999000
91,SOUTH DOCK ROAD,South Dock Road,30,13,1474005668000
91,SOUTH DOCK ROAD,South Dock Road,30,17,1474005871000
91,SOUTH DOCK ROAD,South Dock Road,30,16,1474006194000
91,SOUTH DOCK ROAD,South Dock Road,30,17,1474006570000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474006758000
91,SOUTH DOCK ROAD,South Dock Road,30,20,1474007192000
91,SOUTH DOCK ROAD,South Dock Road,30,17,1474007540000
91,SOUTH DOCK ROAD,South Dock Road,30,15,1474007839000
91,SOUTH DOCK ROAD,South Dock Road,30,16,1474008121000
91,SOUTH DOCK ROAD,South Dock Road,30,18,1474008395000
91,SOUTH DOCK ROAD,South Dock Road,30,21,1474008723000
91,SOUTH DOCK ROAD,South Dock Road,30,23,1474009033000
91,SOUTH DOCK ROAD,South Dock Road,30,21,1474009322000
91,SOUTH DOCK ROAD,South Dock Road,30,19,1474009627000
91,SOUTH DOCK ROAD,South Dock Road,30,21,1474009920000
91,SOUTH DOCK ROAD,South Dock Road,30,23,1474010219000
91,SOUTH DOCK ROAD,South Dock Road,30,27,1474010534000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474010815000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474011122000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474011409000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474011734000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474011994000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474012281000
91,SOUTH DOCK ROAD,South Dock Road,30,28,1474012630000
91,SOUTH DOCK ROAD,South Dock Road,30,26,1474012879000
91,SOUTH DOCK ROAD,South Dock Road,30,28,1474013199000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474013391000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474013748000
91,SOUTH DOCK ROAD,South Dock Road,30,28,1474014117000
91,SOUTH DOCK ROAD,South Dock Road,30,26,1474014368000
91,SOUTH DOCK ROAD,South Dock Road,30,25,1474014618000
91,SOUTH DOCK ROAD,South Dock Road,30,27,1474015009000
91,SOUTH DOCK ROAD,South Dock Road,30,25,1474015174000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474015603000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474015652000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474015652000
91,SOUTH DOCK ROAD,South Dock Road,30,28,1474016542000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474016651000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474017136000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474017351000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474017655000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474017944000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474017944000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474018544000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474018544000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474019037000
91,SOUTH DOCK ROAD,South Dock Road,30,30,1474019500000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474019695000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474019695000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474020299000
91,SOUTH DOCK ROAD,South Dock Road,30,28,1474020660000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474021029000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474021029000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474021633000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474021633000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474022238000
91,SOUTH DOCK ROAD,South Dock Road,30,29,1474022238000
