number,name,address,bike_stands,available_bike_stands,last_update
51,YORK STREET WEST,York Street West,40,0,1474376125000
51,YORK STREET WEST,York Street West,40,0,1474376731000
51,YORK STREET WEST,York Street West,40,1,1474377010000
51,YORK STREET WEST,York Street West,40,1,1474377010000
51,YORK STREET WEST,York Street West,40,1,1474377669000
51,YORK STREET WEST,York Street West,40,1,1474377669000
51,YORK STREET WEST,York Street West,40,1,1474378274000
51,YORK STREET WEST,York Street West,40,1,1474378274000
51,YORK STREET WEST,York Street West,40,2,1474378771000
51,YORK STREET WEST,York Street West,40,2,1474378771000
51,YORK STREET WEST,York Street West,40,3,1474379382000
51,YORK STREET WEST,York Street West,40,2,1474379729000
51,YORK STREET WEST,York Street West,40,2,1474379908000
51,YORK STREET WEST,York Street West,40,1,1474380290000
51,YORK STREET WEST,York Street West,40,0,1474380454000
51,YORK STREET WEST,York Street West,40,0,1474380454000
51,YORK STREET WEST,York Street West,40,0,1474381058000
51,YORK STREET WEST,York Street West,40,0,1474381577000
51,YORK STREET WEST,York Street West,40,0,1474381839000
51,YORK STREET WEST,York Street West,40,1,1474382173000
51,YORK STREET WEST,York Street West,40,2,1474382429000
51,YORK STREET WEST,York Street West,40,3,1474382746000
51,YORK STREET WEST,York Street West,40,3,1474382746000
51,YORK STREET WEST,York Street West,40,40,1473980095000
51,YORK STREET WEST,York Street West,40,40,1473980698000
51,YORK STREET WEST,York Street West,40,40,1473980698000
51,YORK STREET WEST,York Street West,40,40,1473981302000
51,YORK STREET WEST,York Street West,40,40,1473981302000
51,YORK STREET WEST,York Street West,40,40,1473981906000
51,YORK STREET WEST,York Street West,40,40,1473981906000
51,YORK STREET WEST,York Street West,40,40,1473982370000
51,YORK STREET WEST,York Street West,40,40,1473982370000
51,YORK STREET WEST,York Street West,40,40,1473982974000
51,YORK STREET WEST,York Street West,40,40,1473982974000
51,YORK STREET WEST,York Street West,40,40,1473983578000
51,YORK STREET WEST,York Street West,40,40,1473983578000
51,YORK STREET WEST,York Street West,40,40,1473984182000
51,YORK STREET WEST,York Street West,40,40,1473984182000
51,YORK STREET WEST,York Street West,40,40,1473984786000
51,YORK STREET WEST,York Street West,40,40,1473984786000
51,YORK STREET WEST,York Street West,40,40,1473985390000
51,YORK STREET WEST,York Street West,40,40,1473985390000
51,YORK STREET WEST,York Street West,40,40,1473985994000
51,YORK STREET WEST,York Street West,40,40,1473985994000
51,YORK STREET WEST,York Street West,40,40,1473986598000
51,YORK STREET WEST,York Street West,40,40,1473986598000
51,YORK STREET WEST,York Street West,40,40,1473987202000
51,YORK STREET WEST,York Street West,40,40,1473987202000
51,YORK STREET WEST,York Street West,40,40,1473987806000
51,YORK STREET WEST,York Street West,40,40,1473987806000
51,YORK STREET WEST,York Street West,40,40,1473988410000
51,YORK STREET WEST,York Street West,40,40,1473988410000
51,YORK STREET WEST,York Street West,40,40,1473989015000
51,YORK STREET WEST,York Street West,40,40,1473989015000
51,YORK STREET WEST,York Street West,40,40,1473989619000
51,YORK STREET WEST,York Street West,40,40,1473989619000
51,YORK STREET WEST,York Street West,40,40,1473990224000
51,YORK STREET WEST,York Street West,40,40,1473990224000
51,YORK STREET WEST,York Street West,40,40,1473990828000
51,YORK STREET WEST,York Street West,40,40,1473990828000
51,YORK STREET WEST,York Street West,40,40,1473991433000
51,YORK STREET WEST,York Street West,40,40,1473991433000
51,YORK STREET WEST,York Street West,40,40,1473992036000
51,YORK STREET WEST,York Street West,40,40,1473992415000
51,YORK STREET WEST,York Street West,40,40,1473992618000
51,YORK STREET WEST,York Street West,40,40,1473992618000
51,YORK STREET WEST,York Street West,40,40,1473993222000
51,YORK STREET WEST,York Street West,40,40,1473993222000
51,YORK STREET WEST,York Street West,40,40,1473993825000
51,YORK STREET WEST,York Street West,40,40,1473993825000
51,YORK STREET WEST,York Street West,40,40,1473994430000
51,YORK STREET WEST,York Street West,40,40,1473994430000
51,YORK STREET WEST,York Street West,40,40,1473995033000
51,YORK STREET WEST,York Street West,40,40,1473995033000
51,YORK STREET WEST,York Street West,40,40,1473995637000
51,YORK STREET WEST,York Street West,40,40,1473995637000
51,YORK STREET WEST,York Street West,40,40,1473996241000
51,YORK STREET WEST,York Street West,40,40,1473996241000
51,YORK STREET WEST,York Street West,40,40,1473996845000
51,YORK STREET WEST,York Street West,40,40,1473996845000
51,YORK STREET WEST,York Street West,40,40,1473997448000
51,YORK STREET WEST,York Street West,40,40,1473997448000
51,YORK STREET WEST,York Street West,40,40,1473998052000
51,YORK STREET WEST,York Street West,40,40,1473998052000
51,YORK STREET WEST,York Street West,40,40,1473998429000
51,YORK STREET WEST,York Street West,40,40,1473998429000
51,YORK STREET WEST,York Street West,40,40,1473999033000
51,YORK STREET WEST,York Street West,40,40,1473999033000
51,YORK STREET WEST,York Street West,40,40,1473999636000
