available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain
32,59470,0,256,2016-09-12T16:31:10,19.6,71,16.3,10,0.0
6,64632,0,256,2016-09-12T17:57:12,19.0,72,15.8,10,0.0
10,69444,0,256,2016-09-12T19:17:24,18.0,78,16.0,8,0.0
40,62605,0,257,2016-09-13T17:23:25,15.9,75,13.5,8,0.0
30,28522,0,258,2016-09-14T07:55:22,14.4,88,14.4,7,0.0
37,59378,0,258,2016-09-14T16:29:38,18.6,80,17.1,10,0.0
19,64741,0,258,2016-09-14T17:59:01,16.8,87,16.6,8,0.0
16,21681,0,259,2016-09-15T06:01:21,14.0,98,15.6,2,0.0
28,27377,0,259,2016-09-15T07:36:17,15.3,87,15.1,10,0.0
19,66380,0,259,2016-09-15T18:26:20,16.4,80,15.0,11,0.0
18,19218,0,260,2016-09-16T05:20:18,9.1,92,10.6,10,0.0
28,27656,0,260,2016-09-16T07:40:56,11.0,87,11.5,13,0.0
26,29773,0,260,2016-09-16T08:16:13,11.0,87,11.5,13,0.0
25,31276,0,260,2016-09-16T08:41:16,12.8,80,11.8,13,0.0
27,25983,1,262,2016-09-18T07:13:03,9.9,96,11.7,5,0.0
18,56775,1,262,2016-09-18T15:46:15,14.5,91,15.0,10,0.4
16,26341,0,263,2016-09-19T07:19:01,8.4,96,10.6,8,0.1
1,21599,0,264,2016-09-20T05:59:59,10.6,72,9.3,4,0.0
35,27316,0,264,2016-09-20T07:35:16,11.9,69,9.6,4,0.0
27,29121,0,264,2016-09-20T08:05:21,11.9,69,9.6,4,0.0
29,37507,0,264,2016-09-20T10:25:07,14.6,51,8.4,5,0.0
20,59601,0,264,2016-09-20T16:33:21,13.7,62,9.6,11,0.0
32,59895,0,264,2016-09-20T16:38:15,13.7,62,9.6,11,0.0
15,65897,0,264,2016-09-20T18:18:17,13.0,65,9.7,10,0.0
1,20014,0,265,2016-09-21T05:33:34,12.3,72,10.3,10,0.0
