available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability,unix_timestamp
10,20,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16.0,0.0,0.0,30000,high,high,440238
9,21,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16.0,0.0,0.0,30000,moderate,high,440241
9,21,44800,10,82,2020-03-22T12:26:40,3.5,76,6.0,16.0,0.0,0.0,30000,moderate,high,440244
7,23,54800,10,82,2020-03-22T15:13:20,3.5,76,6.0,16.0,0.0,0.0,30000,moderate,high,440247
8,22,64800,10,82,2020-03-22T18:00:00,3.5,76,6.0,16.0,0.0,0.0,30000,moderate,high,440250
13,17,8634,10,95,2020-04-04T02:23:54,7.67,81,,2.6,0.0,,10000,high,high,440545
13,17,9243,10,95,2020-04-04T02:34:03,7.53,81,,2.1,0.0,,10000,high,high,440545
10,20,41233,10,96,2020-04-05T11:27:13,13.19,58,,10.3,0.0,,10000,high,high,440578
10,20,41842,10,96,2020-04-05T11:37:22,13.96,62,,9.3,0.0,,10000,high,high,440578
10,20,42450,10,96,2020-04-05T11:47:30,13.96,62,,9.3,0.0,,10000,high,high,440578
10,20,43058,10,96,2020-04-05T11:57:38,13.87,58,,10.3,0.0,,10000,high,high,440578
10,20,43666,10,96,2020-04-05T12:07:46,13.87,58,,10.3,0.0,,10000,high,high,440579
10,20,44275,10,96,2020-04-05T12:17:55,13.5,58,,9.8,0.0,,10000,high,high,440579
10,20,44884,10,96,2020-04-05T12:28:04,13.63,58,,9.8,0.0,,10000,high,high,440579
10,20,45492,10,96,2020-04-05T12:38:12,13.63,58,,9.8,0.0,,10000,high,high,440579
10,20,46101,10,96,2020-04-05T12:48:21,13.91,66,,7.7,0.0,,10000,high,high,440579
10,20,46710,10,96,2020-04-05T12:58:30,13.85,58,,9.8,0.0,,10000,high,high,440579
10,20,47320,10,96,2020-04-05T13:08:40,13.85,58,,9.8,0.0,,10000,high,high,440580
10,20,47928,10,96,2020-04-05T13:18:48,14.06,67,,9.3,0.0,,10000,high,high,440580
10,20,48536,10,96,2020-04-05T13:28:56,14.06,67,,9.3,0.0,,10000,high,high,440580
10,20,49144,10,96,2020-04-05T13:39:04,13.93,67,,8.7,0.0,,10000,high,high,440580
10,20,49753,10,96,2020-04-05T13:49:13,13.65,67,,8.7,0.0,,10000,high,high,440580
10,20,50363,10,96,2020-04-05T13:59:23,13.65,67,,8.7,0.0,,10000,high,high,440580
10,20,50972,10,96,2020-04-05T14:09:32,13.47,67,,10.8,0.0,,10000,high,high,440581
10,20,51581,10,96,2020-04-05T14:19:41,13.24,67,,10.8,0.0,,10000,high,high,440581
10,20,52190,10,96,2020-04-05T14:29:50,13.24,67,,10.8,0.0,,10000,high,high,440581
10,20,52798,10,96,2020-04-05T14:39:58,12.9,76,,12.3,0.0,,10000,high,high,440581
10,20,53407,10,96,2020-04-05T14:50:07,12.96,76,,12.3,0.0,,10000,high,high,440581
10,20,54016,10,96,2020-04-05T15:00:16,12.96,76,,12.3,0.0,,10000,high,high,440582
10,20,54632,10,96,2020-04-05T15:10:32,12.96,76,,10.8,0.0,,10000,high,high,440582
10,20,55241,10,96,2020-04-05T15:20:41,12.73,76,,10.8,0.25,,10000,high,high,440582
10,20,55849,10,96,2020-04-05T15:30:49,12.73,76,,10.8,0.25,,10000,high,high,440582
10,20,56458,10,96,2020-04-05T15:40:58,12.61,76,,9.8,0.25,,10000,high,high,440582
10,20,57067,10,96,2020-04-05T15:51:07,12.61,76,,9.8,0.25,,10000,high,high,440582
10,20,57676,10,96,2020-04-05T16:01:16,12.61,76,,9.8,0.25,,10000,high,high,440583
