available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability,unix_timestamp
4,16,55841,0,256,2016-09-12T15:30:41,19.2,75,16.6,16.0,0.0,0.1,60000,low,high,1473690641
5,35,8611,10,95,2020-04-04T02:23:31,7.67,81,,2.6,0.0,,10000,moderate,high,1585963411
5,35,9219,10,95,2020-04-04T02:33:39,7.53,81,,2.1,0.0,,10000,moderate,high,1585964019
4,36,41238,10,96,2020-04-05T11:27:18,13.19,58,,10.3,0.0,,10000,low,high,1586082438
3,37,41845,10,96,2020-04-05T11:37:25,13.96,62,,9.3,0.0,,10000,low,high,1586083045
5,35,42295,10,96,2020-04-05T11:44:55,13.96,62,,9.3,0.0,,10000,moderate,high,1586083495
4,36,42707,10,96,2020-04-05T11:51:47,13.82,62,,9.3,0.0,,10000,low,high,1586083907
3,37,43315,10,96,2020-04-05T12:01:55,13.87,58,,10.3,0.0,,10000,low,high,1586084515
3,37,43923,10,96,2020-04-05T12:12:03,13.5,58,,9.8,0.0,,10000,low,high,1586085123
2,38,44312,10,96,2020-04-05T12:18:32,13.5,58,,9.8,0.0,,10000,low,high,1586085512
1,39,44920,10,96,2020-04-05T12:28:40,13.63,58,,9.8,0.0,,10000,very low,high,1586086120
1,39,45529,10,96,2020-04-05T12:38:49,13.63,58,,9.8,0.0,,10000,very low,high,1586086729
1,39,46137,10,96,2020-04-05T12:48:57,13.91,66,,7.7,0.0,,10000,very low,high,1586087337
1,39,46746,10,96,2020-04-05T12:59:06,13.85,58,,9.8,0.0,,10000,very low,high,1586087946
1,39,47354,10,96,2020-04-05T13:09:14,14.14,67,,9.3,0.0,,10000,very low,high,1586088554
0,40,47981,10,96,2020-04-05T13:19:41,14.06,67,,9.3,0.0,,10000,empty,high,1586089181
1,39,48761,10,96,2020-04-05T13:32:41,13.88,67,,9.3,0.0,,10000,very low,high,1586089961
2,38,49435,10,96,2020-04-05T13:43:55,13.93,67,,8.7,0.0,,10000,low,high,1586090635
2,38,50043,10,96,2020-04-05T13:54:03,13.65,67,,8.7,0.0,,10000,low,high,1586091243
2,38,50375,10,96,2020-04-05T13:59:35,13.65,67,,8.7,0.0,,10000,low,high,1586091575
0,40,50922,10,96,2020-04-05T14:08:42,13.47,67,,10.8,0.0,,10000,empty,high,1586092122
0,40,51530,10,96,2020-04-05T14:18:50,13.24,67,,10.8,0.0,,10000,empty,high,1586092730
0,40,52138,10,96,2020-04-05T14:28:58,13.24,67,,10.8,0.0,,10000,empty,high,1586093338
0,40,52746,10,96,2020-04-05T14:39:06,12.9,76,,12.3,0.0,,10000,empty,high,1586093946
1,39,53233,10,96,2020-04-05T14:47:13,12.9,76,,12.3,0.0,,10000,very low,high,1586094433
2,38,53557,10,96,2020-04-05T14:52:37,12.96,76,,12.3,0.0,,10000,low,high,1586094757
3,37,54190,10,96,2020-04-05T15:03:10,12.96,76,,12.3,0.0,,10000,low,high,1586095390
3,37,54655,10,96,2020-04-05T15:10:55,12.96,76,,10.8,0.0,,10000,low,high,1586095855
3,37,55263,10,96,2020-04-05T15:21:03,12.73,76,,10.8,0.25,,10000,low,high,1586096463
3,37,55871,10,96,2020-04-05T15:31:11,12.73,76,,10.8,0.25,,10000,low,high,1586097071
4,36,56092,10,96,2020-04-05T15:34:52,12.61,76,,9.8,0.25,,10000,low,high,1586097292
4,36,56421,10,96,2020-04-05T15:40:21,12.61,76,,9.8,0.25,,10000,low,high,1586097621
