available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability
4,36,49087,0,276,2019-10-03T13:38:07,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,36,49100,0,276,2019-10-03T13:38:20,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,36,49100,0,276,2019-10-03T13:38:20,12.0,90,12.7,21,0.0,0.0,14000,low,high
3,37,49457,0,276,2019-10-03T13:44:17,12.0,90,12.7,21,0.0,0.0,14000,low,high
3,37,49457,0,276,2019-10-03T13:44:17,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,50066,0,276,2019-10-03T13:54:26,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,50066,0,276,2019-10-03T13:54:26,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,50675,0,276,2019-10-03T14:04:35,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,50675,0,276,2019-10-03T14:04:35,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,51285,0,276,2019-10-03T14:14:45,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,51285,0,276,2019-10-03T14:14:45,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,51893,0,276,2019-10-03T14:24:53,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,51893,0,276,2019-10-03T14:24:53,12.0,90,12.7,21,0.0,0.0,14000,low,high
3,37,52624,0,276,2019-10-03T14:37:04,11.9,95,13.2,20,0.0,0.0,6000,low,high
3,37,52624,0,276,2019-10-03T14:37:04,11.9,95,13.2,20,0.0,0.0,6000,low,high
3,37,53234,0,276,2019-10-03T14:47:14,11.9,95,13.2,20,0.0,0.0,6000,low,high
3,37,53234,0,276,2019-10-03T14:47:14,11.9,95,13.2,20,0.0,0.0,6000,low,high
3,37,53234,0,276,2019-10-03T14:47:14,11.9,95,13.2,20,0.0,0.0,6000,low,high
3,37,53842,0,276,2019-10-03T14:57:22,11.9,95,13.2,20,0.0,0.0,6000,low,high
0,40,54421,0,276,2019-10-03T15:07:01,11.9,95,13.2,20,0.0,0.0,6000,empty,high
0,40,54421,0,276,2019-10-03T15:07:01,11.9,95,13.2,20,0.0,0.0,6000,empty,high
0,40,55030,0,276,2019-10-03T15:17:10,11.9,95,13.2,20,0.0,0.0,6000,empty,high
0,40,55030,0,276,2019-10-03T15:17:10,11.9,95,13.2,20,0.0,0.0,6000,empty,high
0,40,55639,0,276,2019-10-03T15:27:19,11.9,95,13.2,20,0.0,0.0,6000,empty,high
0,40,55639,0,276,2019-10-03T15:27:19,11.9,95,13.2,20,0.0,0.0,6000,empty,high
