available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability,unix_timestamp
10,30,24800,10,82,2020-03-22T06:53:20,3.5,76,6.0,16.0,0.0,0.0,30000,high,high,1584860000
10,30,34800,10,82,2020-03-22T09:40:00,3.5,76,6.0,16.0,0.0,0.0,30000,high,high,1584870000
12,28,44800,10,82,2020-03-22T12:26:40,3.5,76,6.0,16.0,0.0,0.0,30000,high,high,1584880000
10,30,54800,10,82,2020-03-22T15:13:20,3.5,76,6.0,16.0,0.0,0.0,30000,high,high,1584890000
10,30,64800,10,82,2020-03-22T18:00:00,3.5,76,6.0,16.0,0.0,0.0,30000,high,high,1584900000
5,35,8661,10,95,2020-04-04T02:24:21,7.67,81,,2.6,0.0,,10000,moderate,high,1585963461
5,35,9317,10,95,2020-04-04T02:35:17,7.53,81,,2.1,0.0,,10000,moderate,high,1585964117
5,35,9466,10,95,2020-04-04T02:37:46,7.53,81,,2.1,0.0,,10000,moderate,high,1585964266
5,35,9552,10,95,2020-04-04T02:39:12,7.53,81,,2.1,0.0,,10000,moderate,high,1585964352
9,31,41248,10,96,2020-04-05T11:27:28,13.19,58,,10.3,0.0,,10000,moderate,high,1586082448
9,31,41857,10,96,2020-04-05T11:37:37,13.96,62,,9.3,0.0,,10000,moderate,high,1586083057
9,31,42466,10,96,2020-04-05T11:47:46,13.96,62,,9.3,0.0,,10000,moderate,high,1586083666
8,32,43057,10,96,2020-04-05T11:57:37,13.87,58,,10.3,0.0,,10000,moderate,high,1586084257
7,33,43666,10,96,2020-04-05T12:07:46,13.87,58,,10.3,0.0,,10000,moderate,high,1586084866
8,32,44282,10,96,2020-04-05T12:18:02,13.5,58,,9.8,0.0,,10000,moderate,high,1586085482
8,32,44891,10,96,2020-04-05T12:28:11,13.63,58,,9.8,0.0,,10000,moderate,high,1586086091
8,32,45500,10,96,2020-04-05T12:38:20,13.63,58,,9.8,0.0,,10000,moderate,high,1586086700
8,32,46109,10,96,2020-04-05T12:48:29,13.91,66,,7.7,0.0,,10000,moderate,high,1586087309
8,32,46717,10,96,2020-04-05T12:58:37,13.85,58,,9.8,0.0,,10000,moderate,high,1586087917
10,30,47337,10,96,2020-04-05T13:08:57,13.85,58,,9.8,0.0,,10000,high,high,1586088537
10,30,47945,10,96,2020-04-05T13:19:05,14.06,67,,9.3,0.0,,10000,high,high,1586089145
10,30,48553,10,96,2020-04-05T13:29:13,13.88,67,,9.3,0.0,,10000,high,high,1586089753
10,30,49162,10,96,2020-04-05T13:39:22,13.93,67,,8.7,0.0,,10000,high,high,1586090362
10,30,49771,10,96,2020-04-05T13:49:31,13.65,67,,8.7,0.0,,10000,high,high,1586090971
10,30,50380,10,96,2020-04-05T13:59:40,13.65,67,,8.7,0.0,,10000,high,high,1586091580
10,30,50988,10,96,2020-04-05T14:09:48,13.47,67,,10.8,0.0,,10000,high,high,1586092188
10,30,51596,10,96,2020-04-05T14:19:56,13.24,67,,10.8,0.0,,10000,high,high,1586092796
10,30,52205,10,96,2020-04-05T14:30:05,13.24,67,,10.8,0.0,,10000,high,high,1586093405
10,30,52814,10,96,2020-04-05T14:40:14,12.9,76,,12.3,0.0,,10000,high,high,1586094014
10,30,53423,10,96,2020-04-05T14:50:23,12.96,76,,12.3,0.0,,10000,high,high,1586094623
10,30,54032,10,96,2020-04-05T15:00:32,12.96,76,,12.3,0.0,,10000,high,high,1586095232
10,30,54807,10,96,2020-04-05T15:13:27,12.96,76,,10.8,0.0,,10000,high,high,1586096007
9,31,55416,10,96,2020-04-05T15:23:36,12.73,76,,10.8,0.25,,10000,moderate,high,1586096616
9,31,56024,10,96,2020-04-05T15:33:44,12.73,76,,10.8,0.25,,10000,moderate,high,1586097224
9,31,56634,10,96,2020-04-05T15:43:54,12.61,76,,9.8,0.25,,10000,moderate,high,1586097834
9,31,57243,10,96,2020-04-05T15:54:03,12.61,76,,9.8,0.25,,10000,moderate,high,1586098443
9,31,57851,10,96,2020-04-05T16:04:11,12.6,87,,9.3,0.25,,10000,moderate,high,1586099051
9,31,58460,10,96,2020-04-05T16:14:20,12.6,87,,9.3,0.25,,10000,moderate,high,1586099660
9,31,59069,10,96,2020-04-05T16:24:29,12.11,87,,9.3,0.25,,10000,moderate,high,1586100269
9,31,59678,10,96,2020-04-05T16:34:38,12.22,82,,10.3,0.25,,10000,moderate,high,1586100878
9,31,60287,10,96,2020-04-05T16:44:47,12.22,82,,10.3,0.25,,10000,moderate,high,1586101487
9,31,60896,10,96,2020-04-05T16:54:56,12.63,82,,10.3,0.38,,10000,moderate,high,1586102096
