available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
2,28,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
2,28,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
2,28,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
2,28,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
2,28,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,27,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
5,25,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
4,26,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,26,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
6,24,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
6,24,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
6,24,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
2,28,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,27,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
2,28,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,27,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
3,27,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
1,29,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,very low,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
1,29,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,very low,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
2,28,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
1,29,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,very low,high
1,29,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,very low,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
0,30,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,empty,high
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
25,5,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,moderate
22,8,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,moderate
23,7,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,moderate
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
25,5,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,moderate
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
28,2,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
28,2,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
29,1,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,very low
29,1,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,very low
28,2,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
20,10,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,high
29,1,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,very low
19,11,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,high
