available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability
1,39,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
5,35,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
5,35,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
4,36,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,36,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,36,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
3,37,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
3,37,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
3,37,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
5,35,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,moderate,high
3,37,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
3,37,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
3,37,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,38,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
1,39,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
1,39,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
3,37,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
3,37,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
5,35,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
5,35,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
5,35,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,36,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
2,38,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
2,38,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,low,high
2,38,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,low,high
1,39,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,very low,high
0,40,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,empty,high
