available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability
39,1,48845,0,276,2019-10-03T13:34:05,12.0,90,12.7,21,0.0,0.0,14000,high,very low
39,1,48845,0,276,2019-10-03T13:34:05,12.0,90,12.7,21,0.0,0.0,14000,high,very low
39,1,48845,0,276,2019-10-03T13:34:05,12.0,90,12.7,21,0.0,0.0,14000,high,very low
38,2,49513,0,276,2019-10-03T13:45:13,12.0,90,12.7,21,0.0,0.0,14000,high,low
38,2,49513,0,276,2019-10-03T13:45:13,12.0,90,12.7,21,0.0,0.0,14000,high,low
38,2,50235,0,276,2019-10-03T13:57:15,12.0,90,12.7,21,0.0,0.0,14000,high,low
38,2,50436,0,276,2019-10-03T14:00:36,12.0,90,12.7,21,0.0,0.0,14000,high,low
36,4,50852,0,276,2019-10-03T14:07:32,12.0,90,12.7,21,0.0,0.0,14000,high,low
36,4,51106,0,276,2019-10-03T14:11:46,12.0,90,12.7,21,0.0,0.0,14000,high,low
34,6,51298,0,276,2019-10-03T14:14:58,12.0,90,12.7,21,0.0,0.0,14000,high,moderate
34,6,51298,0,276,2019-10-03T14:14:58,12.0,90,12.7,21,0.0,0.0,14000,high,moderate
33,7,51902,0,276,2019-10-03T14:25:02,12.0,90,12.7,21,0.0,0.0,14000,high,moderate
33,7,52313,0,276,2019-10-03T14:31:53,11.9,95,13.2,20,0.0,0.0,6000,high,moderate
28,12,52697,0,276,2019-10-03T14:38:17,11.9,95,13.2,20,0.0,0.0,6000,high,high
27,13,52707,0,276,2019-10-03T14:38:27,11.9,95,13.2,20,0.0,0.0,6000,high,high
27,13,52707,0,276,2019-10-03T14:38:27,11.9,95,13.2,20,0.0,0.0,6000,high,high
28,12,53378,0,276,2019-10-03T14:49:38,11.9,95,13.2,20,0.0,0.0,6000,high,high
27,13,53762,0,276,2019-10-03T14:56:02,11.9,95,13.2,20,0.0,0.0,6000,high,high
25,15,54038,0,276,2019-10-03T15:00:38,11.9,95,13.2,20,0.0,0.0,6000,high,high
24,16,54438,0,276,2019-10-03T15:07:18,11.9,95,13.2,20,0.0,0.0,6000,high,high
23,17,54585,0,276,2019-10-03T15:09:45,11.9,95,13.2,20,0.0,0.0,6000,high,high
19,21,55093,0,276,2019-10-03T15:18:13,11.9,95,13.2,20,0.0,0.0,6000,high,high
19,21,55253,0,276,2019-10-03T15:20:53,11.9,95,13.2,20,0.0,0.0,6000,high,high
15,25,55630,0,276,2019-10-03T15:27:10,11.9,95,13.2,20,0.0,0.0,6000,high,high
14,26,55778,0,276,2019-10-03T15:29:38,11.9,95,13.2,20,0.0,0.0,6000,high,high
